Namespace(batch_norm=False, batch_size=32, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet152_v1_best.log', lr=0.1, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet152_v1', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=8, num_workers=60, rec_train='/media/ramdisk/rec/train.rec', rec_train_idx='/media/ramdisk/rec/train.idx', rec_val='/media/ramdisk/rec/val.rec', rec_val_idx='/media/ramdisk/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet152_v1_best', save_frequency=10, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 260.603286 samples/sec	accuracy=0.000781	lr=0.000196
Epoch[0] Batch [99]	Speed: 626.043518 samples/sec	accuracy=0.001133	lr=0.000396
Epoch[0] Batch [149]	Speed: 643.310801 samples/sec	accuracy=0.001172	lr=0.000596
Epoch[0] Batch [199]	Speed: 659.734543 samples/sec	accuracy=0.001133	lr=0.000795
Epoch[0] Batch [249]	Speed: 621.854564 samples/sec	accuracy=0.001203	lr=0.000995
Epoch[0] Batch [299]	Speed: 677.696819 samples/sec	accuracy=0.001276	lr=0.001195
Epoch[0] Batch [349]	Speed: 644.069614 samples/sec	accuracy=0.001306	lr=0.001395
Epoch[0] Batch [399]	Speed: 648.816999 samples/sec	accuracy=0.001387	lr=0.001595
Epoch[0] Batch [449]	Speed: 621.284976 samples/sec	accuracy=0.001484	lr=0.001795
Epoch[0] Batch [499]	Speed: 658.375556 samples/sec	accuracy=0.001727	lr=0.001994
Epoch[0] Batch [549]	Speed: 626.507714 samples/sec	accuracy=0.001967	lr=0.002194
Epoch[0] Batch [599]	Speed: 623.914605 samples/sec	accuracy=0.002246	lr=0.002394
Epoch[0] Batch [649]	Speed: 643.042132 samples/sec	accuracy=0.002536	lr=0.002594
Epoch[0] Batch [699]	Speed: 639.362170 samples/sec	accuracy=0.002746	lr=0.002794
Epoch[0] Batch [749]	Speed: 634.848894 samples/sec	accuracy=0.003026	lr=0.002994
Epoch[0] Batch [799]	Speed: 632.440814 samples/sec	accuracy=0.003228	lr=0.003193
Epoch[0] Batch [849]	Speed: 609.139268 samples/sec	accuracy=0.003410	lr=0.003393
Epoch[0] Batch [899]	Speed: 619.427568 samples/sec	accuracy=0.003589	lr=0.003593
Epoch[0] Batch [949]	Speed: 625.893912 samples/sec	accuracy=0.003775	lr=0.003793
Epoch[0] Batch [999]	Speed: 623.929056 samples/sec	accuracy=0.003918	lr=0.003993
Epoch[0] Batch [1049]	Speed: 629.728187 samples/sec	accuracy=0.004111	lr=0.004193
Epoch[0] Batch [1099]	Speed: 594.908357 samples/sec	accuracy=0.004382	lr=0.004392
Epoch[0] Batch [1149]	Speed: 633.266916 samples/sec	accuracy=0.004606	lr=0.004592
Epoch[0] Batch [1199]	Speed: 589.339870 samples/sec	accuracy=0.004834	lr=0.004792
Epoch[0] Batch [1249]	Speed: 640.043780 samples/sec	accuracy=0.005081	lr=0.004992
Epoch[0] Batch [1299]	Speed: 624.987580 samples/sec	accuracy=0.005267	lr=0.005192
Epoch[0] Batch [1349]	Speed: 638.439688 samples/sec	accuracy=0.005454	lr=0.005392
Epoch[0] Batch [1399]	Speed: 628.975543 samples/sec	accuracy=0.005603	lr=0.005592
Epoch[0] Batch [1449]	Speed: 623.469642 samples/sec	accuracy=0.005784	lr=0.005791
Epoch[0] Batch [1499]	Speed: 611.149441 samples/sec	accuracy=0.005966	lr=0.005991
Epoch[0] Batch [1549]	Speed: 609.294135 samples/sec	accuracy=0.006116	lr=0.006191
Epoch[0] Batch [1599]	Speed: 634.219060 samples/sec	accuracy=0.006255	lr=0.006391
Epoch[0] Batch [1649]	Speed: 623.768791 samples/sec	accuracy=0.006413	lr=0.006591
Epoch[0] Batch [1699]	Speed: 605.074327 samples/sec	accuracy=0.006613	lr=0.006791
Epoch[0] Batch [1749]	Speed: 615.486434 samples/sec	accuracy=0.006808	lr=0.006990
Epoch[0] Batch [1799]	Speed: 628.401374 samples/sec	accuracy=0.007029	lr=0.007190
Epoch[0] Batch [1849]	Speed: 618.367529 samples/sec	accuracy=0.007183	lr=0.007390
Epoch[0] Batch [1899]	Speed: 631.192872 samples/sec	accuracy=0.007331	lr=0.007590
Epoch[0] Batch [1949]	Speed: 604.698490 samples/sec	accuracy=0.007532	lr=0.007790
Epoch[0] Batch [1999]	Speed: 622.376536 samples/sec	accuracy=0.007754	lr=0.007990
Epoch[0] Batch [2049]	Speed: 617.445244 samples/sec	accuracy=0.008011	lr=0.008189
Epoch[0] Batch [2099]	Speed: 612.851129 samples/sec	accuracy=0.008183	lr=0.008389
Epoch[0] Batch [2149]	Speed: 606.490722 samples/sec	accuracy=0.008348	lr=0.008589
Epoch[0] Batch [2199]	Speed: 611.220995 samples/sec	accuracy=0.008562	lr=0.008789
Epoch[0] Batch [2249]	Speed: 627.418963 samples/sec	accuracy=0.008771	lr=0.008989
Epoch[0] Batch [2299]	Speed: 603.324228 samples/sec	accuracy=0.008972	lr=0.009189
Epoch[0] Batch [2349]	Speed: 618.853734 samples/sec	accuracy=0.009159	lr=0.009388
Epoch[0] Batch [2399]	Speed: 610.350572 samples/sec	accuracy=0.009360	lr=0.009588
Epoch[0] Batch [2449]	Speed: 647.752795 samples/sec	accuracy=0.009584	lr=0.009788
Epoch[0] Batch [2499]	Speed: 621.772217 samples/sec	accuracy=0.009808	lr=0.009988
Epoch[0] Batch [2549]	Speed: 602.310023 samples/sec	accuracy=0.010028	lr=0.010188
Epoch[0] Batch [2599]	Speed: 622.378714 samples/sec	accuracy=0.010240	lr=0.010388
Epoch[0] Batch [2649]	Speed: 603.760913 samples/sec	accuracy=0.010458	lr=0.010588
Epoch[0] Batch [2699]	Speed: 642.124314 samples/sec	accuracy=0.010663	lr=0.010787
Epoch[0] Batch [2749]	Speed: 617.043958 samples/sec	accuracy=0.010884	lr=0.010987
Epoch[0] Batch [2799]	Speed: 603.915877 samples/sec	accuracy=0.011056	lr=0.011187
Epoch[0] Batch [2849]	Speed: 632.630427 samples/sec	accuracy=0.011247	lr=0.011387
Epoch[0] Batch [2899]	Speed: 631.677521 samples/sec	accuracy=0.011459	lr=0.011587
Epoch[0] Batch [2949]	Speed: 623.967895 samples/sec	accuracy=0.011630	lr=0.011787
Epoch[0] Batch [2999]	Speed: 619.854361 samples/sec	accuracy=0.011803	lr=0.011986
Epoch[0] Batch [3049]	Speed: 607.864687 samples/sec	accuracy=0.012013	lr=0.012186
Epoch[0] Batch [3099]	Speed: 623.822803 samples/sec	accuracy=0.012199	lr=0.012386
Epoch[0] Batch [3149]	Speed: 631.424309 samples/sec	accuracy=0.012390	lr=0.012586
Epoch[0] Batch [3199]	Speed: 619.305082 samples/sec	accuracy=0.012596	lr=0.012786
Epoch[0] Batch [3249]	Speed: 621.252560 samples/sec	accuracy=0.012785	lr=0.012986
Epoch[0] Batch [3299]	Speed: 623.396856 samples/sec	accuracy=0.012977	lr=0.013185
Epoch[0] Batch [3349]	Speed: 628.364599 samples/sec	accuracy=0.013191	lr=0.013385
Epoch[0] Batch [3399]	Speed: 604.848103 samples/sec	accuracy=0.013429	lr=0.013585
Epoch[0] Batch [3449]	Speed: 617.308663 samples/sec	accuracy=0.013654	lr=0.013785
Epoch[0] Batch [3499]	Speed: 597.247916 samples/sec	accuracy=0.013813	lr=0.013985
Epoch[0] Batch [3549]	Speed: 615.933864 samples/sec	accuracy=0.014039	lr=0.014185
Epoch[0] Batch [3599]	Speed: 635.782004 samples/sec	accuracy=0.014243	lr=0.014384
Epoch[0] Batch [3649]	Speed: 606.301005 samples/sec	accuracy=0.014460	lr=0.014584
Epoch[0] Batch [3699]	Speed: 607.328665 samples/sec	accuracy=0.014671	lr=0.014784
Epoch[0] Batch [3749]	Speed: 632.764872 samples/sec	accuracy=0.014891	lr=0.014984
Epoch[0] Batch [3799]	Speed: 646.105672 samples/sec	accuracy=0.015094	lr=0.015184
Epoch[0] Batch [3849]	Speed: 607.822803 samples/sec	accuracy=0.015345	lr=0.015384
Epoch[0] Batch [3899]	Speed: 622.116060 samples/sec	accuracy=0.015532	lr=0.015584
Epoch[0] Batch [3949]	Speed: 603.397373 samples/sec	accuracy=0.015763	lr=0.015783
Epoch[0] Batch [3999]	Speed: 595.591122 samples/sec	accuracy=0.016007	lr=0.015983
Epoch[0] Batch [4049]	Speed: 607.840524 samples/sec	accuracy=0.016205	lr=0.016183
Epoch[0] Batch [4099]	Speed: 616.129807 samples/sec	accuracy=0.016442	lr=0.016383
Epoch[0] Batch [4149]	Speed: 630.168307 samples/sec	accuracy=0.016637	lr=0.016583
Epoch[0] Batch [4199]	Speed: 627.353491 samples/sec	accuracy=0.016877	lr=0.016783
Epoch[0] Batch [4249]	Speed: 620.777466 samples/sec	accuracy=0.017074	lr=0.016982
Epoch[0] Batch [4299]	Speed: 619.996317 samples/sec	accuracy=0.017290	lr=0.017182
Epoch[0] Batch [4349]	Speed: 638.604482 samples/sec	accuracy=0.017506	lr=0.017382
Epoch[0] Batch [4399]	Speed: 625.247167 samples/sec	accuracy=0.017740	lr=0.017582
Epoch[0] Batch [4449]	Speed: 619.415097 samples/sec	accuracy=0.017913	lr=0.017782
Epoch[0] Batch [4499]	Speed: 612.926721 samples/sec	accuracy=0.018170	lr=0.017982
Epoch[0] Batch [4549]	Speed: 629.446106 samples/sec	accuracy=0.018408	lr=0.018181
Epoch[0] Batch [4599]	Speed: 617.304965 samples/sec	accuracy=0.018641	lr=0.018381
Epoch[0] Batch [4649]	Speed: 625.037480 samples/sec	accuracy=0.018845	lr=0.018581
Epoch[0] Batch [4699]	Speed: 614.281689 samples/sec	accuracy=0.019065	lr=0.018781
Epoch[0] Batch [4749]	Speed: 616.502797 samples/sec	accuracy=0.019297	lr=0.018981
Epoch[0] Batch [4799]	Speed: 606.101190 samples/sec	accuracy=0.019491	lr=0.019181
Epoch[0] Batch [4849]	Speed: 619.812998 samples/sec	accuracy=0.019737	lr=0.019380
Epoch[0] Batch [4899]	Speed: 631.324746 samples/sec	accuracy=0.019960	lr=0.019580
Epoch[0] Batch [4949]	Speed: 625.138761 samples/sec	accuracy=0.020215	lr=0.019780
Epoch[0] Batch [4999]	Speed: 657.106321 samples/sec	accuracy=0.020419	lr=0.019980
[Epoch 0] training: accuracy=0.020439
[Epoch 0] speed: 613 samples/sec	time cost: 2110.763361
[Epoch 0] validation: err-top1=0.941107 err-top5=0.840482
Epoch[1] Batch [49]	Speed: 604.014193 samples/sec	accuracy=0.042031	lr=0.020196
Epoch[1] Batch [99]	Speed: 648.505075 samples/sec	accuracy=0.042422	lr=0.020396
Epoch[1] Batch [149]	Speed: 648.336534 samples/sec	accuracy=0.043307	lr=0.020596
Epoch[1] Batch [199]	Speed: 612.093263 samples/sec	accuracy=0.043164	lr=0.020795
Epoch[1] Batch [249]	Speed: 634.812885 samples/sec	accuracy=0.043812	lr=0.020995
Epoch[1] Batch [299]	Speed: 632.909140 samples/sec	accuracy=0.044557	lr=0.021195
Epoch[1] Batch [349]	Speed: 633.393142 samples/sec	accuracy=0.045301	lr=0.021395
Epoch[1] Batch [399]	Speed: 659.139099 samples/sec	accuracy=0.045879	lr=0.021595
Epoch[1] Batch [449]	Speed: 634.816976 samples/sec	accuracy=0.045990	lr=0.021795
Epoch[1] Batch [499]	Speed: 607.465567 samples/sec	accuracy=0.046203	lr=0.021994
Epoch[1] Batch [549]	Speed: 625.743197 samples/sec	accuracy=0.046143	lr=0.022194
Epoch[1] Batch [599]	Speed: 585.589914 samples/sec	accuracy=0.046354	lr=0.022394
Epoch[1] Batch [649]	Speed: 622.742472 samples/sec	accuracy=0.047037	lr=0.022594
Epoch[1] Batch [699]	Speed: 634.093636 samples/sec	accuracy=0.047366	lr=0.022794
Epoch[1] Batch [749]	Speed: 634.912793 samples/sec	accuracy=0.047661	lr=0.022994
Epoch[1] Batch [799]	Speed: 642.274711 samples/sec	accuracy=0.047969	lr=0.023193
Epoch[1] Batch [849]	Speed: 625.830174 samples/sec	accuracy=0.048272	lr=0.023393
Epoch[1] Batch [899]	Speed: 630.134394 samples/sec	accuracy=0.048524	lr=0.023593
Epoch[1] Batch [949]	Speed: 620.433839 samples/sec	accuracy=0.048750	lr=0.023793
Epoch[1] Batch [999]	Speed: 625.916533 samples/sec	accuracy=0.049094	lr=0.023993
Epoch[1] Batch [1049]	Speed: 602.820046 samples/sec	accuracy=0.049371	lr=0.024193
Epoch[1] Batch [1099]	Speed: 612.712922 samples/sec	accuracy=0.049702	lr=0.024392
Epoch[1] Batch [1149]	Speed: 594.364708 samples/sec	accuracy=0.050146	lr=0.024592
Epoch[1] Batch [1199]	Speed: 600.580282 samples/sec	accuracy=0.050566	lr=0.024792
Epoch[1] Batch [1249]	Speed: 608.068036 samples/sec	accuracy=0.050987	lr=0.024992
Epoch[1] Batch [1299]	Speed: 615.439239 samples/sec	accuracy=0.051466	lr=0.025192
Epoch[1] Batch [1349]	Speed: 619.280729 samples/sec	accuracy=0.051698	lr=0.025392
Epoch[1] Batch [1399]	Speed: 631.148802 samples/sec	accuracy=0.051973	lr=0.025592
Epoch[1] Batch [1449]	Speed: 635.948367 samples/sec	accuracy=0.052255	lr=0.025791
Epoch[1] Batch [1499]	Speed: 617.969745 samples/sec	accuracy=0.052661	lr=0.025991
Epoch[1] Batch [1549]	Speed: 615.538111 samples/sec	accuracy=0.052964	lr=0.026191
Epoch[1] Batch [1599]	Speed: 639.743145 samples/sec	accuracy=0.053291	lr=0.026391
Epoch[1] Batch [1649]	Speed: 600.998222 samples/sec	accuracy=0.053563	lr=0.026591
Epoch[1] Batch [1699]	Speed: 603.624299 samples/sec	accuracy=0.053938	lr=0.026791
Epoch[1] Batch [1749]	Speed: 597.029517 samples/sec	accuracy=0.054228	lr=0.026990
Epoch[1] Batch [1799]	Speed: 617.004281 samples/sec	accuracy=0.054707	lr=0.027190
Epoch[1] Batch [1849]	Speed: 604.960103 samples/sec	accuracy=0.055021	lr=0.027390
Epoch[1] Batch [1899]	Speed: 598.431534 samples/sec	accuracy=0.055321	lr=0.027590
Epoch[1] Batch [1949]	Speed: 594.614839 samples/sec	accuracy=0.055689	lr=0.027790
Epoch[1] Batch [1999]	Speed: 627.251646 samples/sec	accuracy=0.056027	lr=0.027990
Epoch[1] Batch [2049]	Speed: 606.403920 samples/sec	accuracy=0.056324	lr=0.028189
Epoch[1] Batch [2099]	Speed: 630.840014 samples/sec	accuracy=0.056652	lr=0.028389
Epoch[1] Batch [2149]	Speed: 630.075269 samples/sec	accuracy=0.057073	lr=0.028589
Epoch[1] Batch [2199]	Speed: 607.934903 samples/sec	accuracy=0.057386	lr=0.028789
Epoch[1] Batch [2249]	Speed: 614.260464 samples/sec	accuracy=0.057776	lr=0.028989
Epoch[1] Batch [2299]	Speed: 591.256741 samples/sec	accuracy=0.058106	lr=0.029189
Epoch[1] Batch [2349]	Speed: 632.305659 samples/sec	accuracy=0.058423	lr=0.029388
Epoch[1] Batch [2399]	Speed: 609.063273 samples/sec	accuracy=0.058792	lr=0.029588
Epoch[1] Batch [2449]	Speed: 638.039714 samples/sec	accuracy=0.059134	lr=0.029788
Epoch[1] Batch [2499]	Speed: 614.639601 samples/sec	accuracy=0.059523	lr=0.029988
Epoch[1] Batch [2549]	Speed: 628.030000 samples/sec	accuracy=0.059854	lr=0.030188
Epoch[1] Batch [2599]	Speed: 607.679763 samples/sec	accuracy=0.060138	lr=0.030388
Epoch[1] Batch [2649]	Speed: 599.859025 samples/sec	accuracy=0.060495	lr=0.030588
Epoch[1] Batch [2699]	Speed: 614.533667 samples/sec	accuracy=0.060885	lr=0.030787
Epoch[1] Batch [2749]	Speed: 602.573218 samples/sec	accuracy=0.061300	lr=0.030987
Epoch[1] Batch [2799]	Speed: 627.440367 samples/sec	accuracy=0.061636	lr=0.031187
Epoch[1] Batch [2849]	Speed: 635.570204 samples/sec	accuracy=0.062089	lr=0.031387
Epoch[1] Batch [2899]	Speed: 603.483255 samples/sec	accuracy=0.062511	lr=0.031587
Epoch[1] Batch [2949]	Speed: 595.984188 samples/sec	accuracy=0.062913	lr=0.031787
Epoch[1] Batch [2999]	Speed: 604.458731 samples/sec	accuracy=0.063316	lr=0.031986
Epoch[1] Batch [3049]	Speed: 598.135676 samples/sec	accuracy=0.063737	lr=0.032186
Epoch[1] Batch [3099]	Speed: 618.768778 samples/sec	accuracy=0.064157	lr=0.032386
Epoch[1] Batch [3149]	Speed: 607.563405 samples/sec	accuracy=0.064541	lr=0.032586
Epoch[1] Batch [3199]	Speed: 611.737222 samples/sec	accuracy=0.064972	lr=0.032786
Epoch[1] Batch [3249]	Speed: 621.942488 samples/sec	accuracy=0.065357	lr=0.032986
Epoch[1] Batch [3299]	Speed: 590.596625 samples/sec	accuracy=0.065778	lr=0.033185
Epoch[1] Batch [3349]	Speed: 603.712845 samples/sec	accuracy=0.066222	lr=0.033385
Epoch[1] Batch [3399]	Speed: 602.527347 samples/sec	accuracy=0.066718	lr=0.033585
Epoch[1] Batch [3449]	Speed: 635.851077 samples/sec	accuracy=0.067174	lr=0.033785
Epoch[1] Batch [3499]	Speed: 638.971382 samples/sec	accuracy=0.067625	lr=0.033985
Epoch[1] Batch [3549]	Speed: 597.812911 samples/sec	accuracy=0.068034	lr=0.034185
Epoch[1] Batch [3599]	Speed: 590.211202 samples/sec	accuracy=0.068426	lr=0.034384
Epoch[1] Batch [3649]	Speed: 617.175612 samples/sec	accuracy=0.068882	lr=0.034584
Epoch[1] Batch [3699]	Speed: 611.489370 samples/sec	accuracy=0.069348	lr=0.034784
Epoch[1] Batch [3749]	Speed: 626.255538 samples/sec	accuracy=0.069751	lr=0.034984
Epoch[1] Batch [3799]	Speed: 638.192801 samples/sec	accuracy=0.070256	lr=0.035184
Epoch[1] Batch [3849]	Speed: 610.297203 samples/sec	accuracy=0.070670	lr=0.035384
Epoch[1] Batch [3899]	Speed: 644.522935 samples/sec	accuracy=0.071189	lr=0.035584
Epoch[1] Batch [3949]	Speed: 613.157441 samples/sec	accuracy=0.071737	lr=0.035783
Epoch[1] Batch [3999]	Speed: 616.235316 samples/sec	accuracy=0.072267	lr=0.035983
Epoch[1] Batch [4049]	Speed: 602.585324 samples/sec	accuracy=0.072722	lr=0.036183
Epoch[1] Batch [4099]	Speed: 600.478736 samples/sec	accuracy=0.073224	lr=0.036383
Epoch[1] Batch [4149]	Speed: 604.583611 samples/sec	accuracy=0.073718	lr=0.036583
Epoch[1] Batch [4199]	Speed: 615.018030 samples/sec	accuracy=0.074275	lr=0.036783
Epoch[1] Batch [4249]	Speed: 649.124553 samples/sec	accuracy=0.074749	lr=0.036982
Epoch[1] Batch [4299]	Speed: 619.950160 samples/sec	accuracy=0.075249	lr=0.037182
Epoch[1] Batch [4349]	Speed: 620.450596 samples/sec	accuracy=0.075708	lr=0.037382
Epoch[1] Batch [4399]	Speed: 605.543315 samples/sec	accuracy=0.076170	lr=0.037582
Epoch[1] Batch [4449]	Speed: 618.111501 samples/sec	accuracy=0.076687	lr=0.037782
Epoch[1] Batch [4499]	Speed: 619.087924 samples/sec	accuracy=0.077151	lr=0.037982
Epoch[1] Batch [4549]	Speed: 642.031644 samples/sec	accuracy=0.077668	lr=0.038181
Epoch[1] Batch [4599]	Speed: 633.094457 samples/sec	accuracy=0.078115	lr=0.038381
Epoch[1] Batch [4649]	Speed: 630.190150 samples/sec	accuracy=0.078637	lr=0.038581
Epoch[1] Batch [4699]	Speed: 618.607203 samples/sec	accuracy=0.079139	lr=0.038781
Epoch[1] Batch [4749]	Speed: 632.160512 samples/sec	accuracy=0.079698	lr=0.038981
Epoch[1] Batch [4799]	Speed: 614.843284 samples/sec	accuracy=0.080228	lr=0.039181
Epoch[1] Batch [4849]	Speed: 632.206978 samples/sec	accuracy=0.080714	lr=0.039380
Epoch[1] Batch [4899]	Speed: 624.677594 samples/sec	accuracy=0.081277	lr=0.039580
Epoch[1] Batch [4949]	Speed: 584.473789 samples/sec	accuracy=0.081776	lr=0.039780
