Namespace(batch_norm=False, batch_size=32, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet152_v1b_best.log', lr=0.1, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet152_v1b', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=8, num_workers=60, rec_train='/media/ramdisk/rec/train.rec', rec_train_idx='/media/ramdisk/rec/train.idx', rec_val='/media/ramdisk/rec/val.rec', rec_val_idx='/media/ramdisk/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet152_v1b_best', save_frequency=10, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 283.239613 samples/sec	accuracy=0.001016	lr=0.000196
Epoch[0] Batch [99]	Speed: 791.031874 samples/sec	accuracy=0.000898	lr=0.000396
Epoch[0] Batch [149]	Speed: 756.013977 samples/sec	accuracy=0.000990	lr=0.000596
Epoch[0] Batch [199]	Speed: 779.537667 samples/sec	accuracy=0.001211	lr=0.000795
Epoch[0] Batch [249]	Speed: 754.871699 samples/sec	accuracy=0.001313	lr=0.000995
Epoch[0] Batch [299]	Speed: 784.575254 samples/sec	accuracy=0.001419	lr=0.001195
Epoch[0] Batch [349]	Speed: 784.264142 samples/sec	accuracy=0.001451	lr=0.001395
Epoch[0] Batch [399]	Speed: 769.292402 samples/sec	accuracy=0.001543	lr=0.001595
Epoch[0] Batch [449]	Speed: 746.076137 samples/sec	accuracy=0.001606	lr=0.001795
Epoch[0] Batch [499]	Speed: 763.687333 samples/sec	accuracy=0.001813	lr=0.001994
Epoch[0] Batch [549]	Speed: 769.007830 samples/sec	accuracy=0.001989	lr=0.002194
Epoch[0] Batch [599]	Speed: 809.513666 samples/sec	accuracy=0.002181	lr=0.002394
Epoch[0] Batch [649]	Speed: 805.201503 samples/sec	accuracy=0.002422	lr=0.002594
Epoch[0] Batch [699]	Speed: 805.749530 samples/sec	accuracy=0.002673	lr=0.002794
Epoch[0] Batch [749]	Speed: 823.101316 samples/sec	accuracy=0.002891	lr=0.002994
Epoch[0] Batch [799]	Speed: 780.746121 samples/sec	accuracy=0.003052	lr=0.003193
Epoch[0] Batch [849]	Speed: 799.805152 samples/sec	accuracy=0.003254	lr=0.003393
Epoch[0] Batch [899]	Speed: 780.977494 samples/sec	accuracy=0.003555	lr=0.003593
Epoch[0] Batch [949]	Speed: 825.488556 samples/sec	accuracy=0.003750	lr=0.003793
Epoch[0] Batch [999]	Speed: 804.149920 samples/sec	accuracy=0.003914	lr=0.003993
Epoch[0] Batch [1049]	Speed: 797.195466 samples/sec	accuracy=0.004059	lr=0.004193
Epoch[0] Batch [1099]	Speed: 781.699865 samples/sec	accuracy=0.004286	lr=0.004392
Epoch[0] Batch [1149]	Speed: 816.768986 samples/sec	accuracy=0.004470	lr=0.004592
Epoch[0] Batch [1199]	Speed: 802.655746 samples/sec	accuracy=0.004648	lr=0.004792
Epoch[0] Batch [1249]	Speed: 804.662517 samples/sec	accuracy=0.004888	lr=0.004992
Epoch[0] Batch [1299]	Speed: 823.987681 samples/sec	accuracy=0.005123	lr=0.005192
Epoch[0] Batch [1349]	Speed: 795.076237 samples/sec	accuracy=0.005310	lr=0.005392
Epoch[0] Batch [1399]	Speed: 799.473442 samples/sec	accuracy=0.005446	lr=0.005592
Epoch[0] Batch [1449]	Speed: 784.970755 samples/sec	accuracy=0.005671	lr=0.005791
Epoch[0] Batch [1499]	Speed: 816.228456 samples/sec	accuracy=0.005826	lr=0.005991
Epoch[0] Batch [1549]	Speed: 813.407290 samples/sec	accuracy=0.006016	lr=0.006191
Epoch[0] Batch [1599]	Speed: 822.772020 samples/sec	accuracy=0.006194	lr=0.006391
Epoch[0] Batch [1649]	Speed: 818.182989 samples/sec	accuracy=0.006368	lr=0.006591
Epoch[0] Batch [1699]	Speed: 808.553791 samples/sec	accuracy=0.006540	lr=0.006791
Epoch[0] Batch [1749]	Speed: 782.496159 samples/sec	accuracy=0.006797	lr=0.006990
Epoch[0] Batch [1799]	Speed: 817.247763 samples/sec	accuracy=0.007036	lr=0.007190
