Namespace(batch_norm=False, batch_size=32, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet152_v1c_best.log', lr=0.1, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet152_v1c', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=8, num_workers=60, rec_train='/media/ramdisk/rec/train.rec', rec_train_idx='/media/ramdisk/rec/train.idx', rec_val='/media/ramdisk/rec/val.rec', rec_val_idx='/media/ramdisk/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_resnet152_v1c_best', save_frequency=10, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 273.229917 samples/sec	accuracy=0.000781	lr=0.000196
Epoch[0] Batch [99]	Speed: 776.536277 samples/sec	accuracy=0.000742	lr=0.000396
Epoch[0] Batch [149]	Speed: 832.413510 samples/sec	accuracy=0.000859	lr=0.000596
Epoch[0] Batch [199]	Speed: 834.066171 samples/sec	accuracy=0.001035	lr=0.000795
Epoch[0] Batch [249]	Speed: 833.741083 samples/sec	accuracy=0.001016	lr=0.000995
Epoch[0] Batch [299]	Speed: 829.957419 samples/sec	accuracy=0.001107	lr=0.001195
Epoch[0] Batch [349]	Speed: 840.625207 samples/sec	accuracy=0.001094	lr=0.001395
Epoch[0] Batch [399]	Speed: 873.613216 samples/sec	accuracy=0.001123	lr=0.001595
Epoch[0] Batch [449]	Speed: 872.414729 samples/sec	accuracy=0.001424	lr=0.001795
Epoch[0] Batch [499]	Speed: 859.352063 samples/sec	accuracy=0.001602	lr=0.001994
Epoch[0] Batch [549]	Speed: 822.194531 samples/sec	accuracy=0.001847	lr=0.002194
Epoch[0] Batch [599]	Speed: 859.666379 samples/sec	accuracy=0.002122	lr=0.002394
Epoch[0] Batch [649]	Speed: 827.947099 samples/sec	accuracy=0.002272	lr=0.002594
Epoch[0] Batch [699]	Speed: 830.841248 samples/sec	accuracy=0.002444	lr=0.002794
Epoch[0] Batch [749]	Speed: 845.335608 samples/sec	accuracy=0.002620	lr=0.002994
Epoch[0] Batch [799]	Speed: 840.760380 samples/sec	accuracy=0.002837	lr=0.003193
Epoch[0] Batch [849]	Speed: 860.925845 samples/sec	accuracy=0.003148	lr=0.003393
Epoch[0] Batch [899]	Speed: 838.470610 samples/sec	accuracy=0.003385	lr=0.003593
Epoch[0] Batch [949]	Speed: 854.283528 samples/sec	accuracy=0.003594	lr=0.003793
Epoch[0] Batch [999]	Speed: 871.536487 samples/sec	accuracy=0.003871	lr=0.003993
Epoch[0] Batch [1049]	Speed: 874.066306 samples/sec	accuracy=0.004074	lr=0.004193
Epoch[0] Batch [1099]	Speed: 874.351521 samples/sec	accuracy=0.004354	lr=0.004392
Epoch[0] Batch [1149]	Speed: 882.072368 samples/sec	accuracy=0.004630	lr=0.004592
Epoch[0] Batch [1199]	Speed: 878.515637 samples/sec	accuracy=0.004840	lr=0.004792
Epoch[0] Batch [1249]	Speed: 871.177610 samples/sec	accuracy=0.005119	lr=0.004992
Epoch[0] Batch [1299]	Speed: 850.799309 samples/sec	accuracy=0.005294	lr=0.005192
Epoch[0] Batch [1349]	Speed: 890.830782 samples/sec	accuracy=0.005530	lr=0.005392
Epoch[0] Batch [1399]	Speed: 844.461586 samples/sec	accuracy=0.005728	lr=0.005592
Epoch[0] Batch [1449]	Speed: 875.289630 samples/sec	accuracy=0.005983	lr=0.005791
Epoch[0] Batch [1499]	Speed: 862.317119 samples/sec	accuracy=0.006245	lr=0.005991
Epoch[0] Batch [1549]	Speed: 887.805694 samples/sec	accuracy=0.006469	lr=0.006191
Epoch[0] Batch [1599]	Speed: 884.718861 samples/sec	accuracy=0.006724	lr=0.006391
Epoch[0] Batch [1649]	Speed: 856.791861 samples/sec	accuracy=0.006889	lr=0.006591
Epoch[0] Batch [1699]	Speed: 854.983396 samples/sec	accuracy=0.007073	lr=0.006791
Epoch[0] Batch [1749]	Speed: 875.438694 samples/sec	accuracy=0.007279	lr=0.006990
Epoch[0] Batch [1799]	Speed: 856.153741 samples/sec	accuracy=0.007559	lr=0.007190
Epoch[0] Batch [1849]	Speed: 874.828627 samples/sec	accuracy=0.007766	lr=0.007390
Epoch[0] Batch [1899]	Speed: 852.490850 samples/sec	accuracy=0.007936	lr=0.007590
Epoch[0] Batch [1949]	Speed: 824.771816 samples/sec	accuracy=0.008105	lr=0.007790
Epoch[0] Batch [1999]	Speed: 845.441692 samples/sec	accuracy=0.008320	lr=0.007990
Epoch[0] Batch [2049]	Speed: 838.694424 samples/sec	accuracy=0.008504	lr=0.008189
Epoch[0] Batch [2099]	Speed: 813.476150 samples/sec	accuracy=0.008692	lr=0.008389
Epoch[0] Batch [2149]	Speed: 791.881969 samples/sec	accuracy=0.008881	lr=0.008589
Epoch[0] Batch [2199]	Speed: 803.577170 samples/sec	accuracy=0.009116	lr=0.008789
Epoch[0] Batch [2249]	Speed: 846.697261 samples/sec	accuracy=0.009326	lr=0.008989
Epoch[0] Batch [2299]	Speed: 810.274383 samples/sec	accuracy=0.009513	lr=0.009189
Epoch[0] Batch [2349]	Speed: 822.497571 samples/sec	accuracy=0.009731	lr=0.009388
Epoch[0] Batch [2399]	Speed: 778.571089 samples/sec	accuracy=0.009966	lr=0.009588
Epoch[0] Batch [2449]	Speed: 816.976091 samples/sec	accuracy=0.010204	lr=0.009788
Epoch[0] Batch [2499]	Speed: 752.493225 samples/sec	accuracy=0.010377	lr=0.009988
Epoch[0] Batch [2549]	Speed: 767.724295 samples/sec	accuracy=0.010578	lr=0.010188
Epoch[0] Batch [2599]	Speed: 765.830006 samples/sec	accuracy=0.010816	lr=0.010388
Epoch[0] Batch [2649]	Speed: 758.720572 samples/sec	accuracy=0.011030	lr=0.010588
Epoch[0] Batch [2699]	Speed: 753.239374 samples/sec	accuracy=0.011238	lr=0.010787
Epoch[0] Batch [2749]	Speed: 767.634787 samples/sec	accuracy=0.011447	lr=0.010987
Epoch[0] Batch [2799]	Speed: 772.310491 samples/sec	accuracy=0.011639	lr=0.011187
Epoch[0] Batch [2849]	Speed: 766.374271 samples/sec	accuracy=0.011838	lr=0.011387
Epoch[0] Batch [2899]	Speed: 798.133518 samples/sec	accuracy=0.012043	lr=0.011587
Epoch[0] Batch [2949]	Speed: 775.010472 samples/sec	accuracy=0.012243	lr=0.011787
Epoch[0] Batch [2999]	Speed: 745.343102 samples/sec	accuracy=0.012430	lr=0.011986
Epoch[0] Batch [3049]	Speed: 755.378377 samples/sec	accuracy=0.012617	lr=0.012186
Epoch[0] Batch [3099]	Speed: 748.067779 samples/sec	accuracy=0.012791	lr=0.012386
Epoch[0] Batch [3149]	Speed: 758.672903 samples/sec	accuracy=0.012968	lr=0.012586
Epoch[0] Batch [3199]	Speed: 748.716660 samples/sec	accuracy=0.013179	lr=0.012786
Epoch[0] Batch [3249]	Speed: 732.180500 samples/sec	accuracy=0.013404	lr=0.012986
Epoch[0] Batch [3299]	Speed: 736.978568 samples/sec	accuracy=0.013600	lr=0.013185
Epoch[0] Batch [3349]	Speed: 738.725070 samples/sec	accuracy=0.013806	lr=0.013385
