Namespace(batch_norm=False, batch_size=32, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet152_v1d_mixup.log', lr=0.1, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet152_v1d', momentum=0.9, no_wd=True, num_epochs=200, num_gpus=8, num_workers=60, rec_train='/media/ramdisk/rec/train.rec', rec_train_idx='/media/ramdisk/rec/train.idx', rec_val='/media/ramdisk/rec/val.rec', rec_val_idx='/media/ramdisk/rec/val.idx', save_dir='params_resnet152_v1d_mixup', save_frequency=10, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 249.434086 samples/sec	rmse=0.026493	lr=0.000196
Epoch[0] Batch [99]	Speed: 750.364782 samples/sec	rmse=0.026427	lr=0.000396
Epoch[0] Batch [149]	Speed: 729.669737 samples/sec	rmse=0.026298	lr=0.000596
Epoch[0] Batch [199]	Speed: 764.866525 samples/sec	rmse=0.026362	lr=0.000795
Epoch[0] Batch [249]	Speed: 730.326033 samples/sec	rmse=0.026330	lr=0.000995
Epoch[0] Batch [299]	Speed: 706.256348 samples/sec	rmse=0.026290	lr=0.001195
Epoch[0] Batch [349]	Speed: 730.534855 samples/sec	rmse=0.026387	lr=0.001395
Epoch[0] Batch [399]	Speed: 735.541594 samples/sec	rmse=0.026283	lr=0.001595
Epoch[0] Batch [449]	Speed: 740.948149 samples/sec	rmse=0.026251	lr=0.001795
Epoch[0] Batch [499]	Speed: 706.752763 samples/sec	rmse=0.026239	lr=0.001994
Epoch[0] Batch [549]	Speed: 732.611584 samples/sec	rmse=0.026207	lr=0.002194
Epoch[0] Batch [599]	Speed: 698.658263 samples/sec	rmse=0.026238	lr=0.002394
Epoch[0] Batch [649]	Speed: 709.327155 samples/sec	rmse=0.026267	lr=0.002594
Epoch[0] Batch [699]	Speed: 725.219779 samples/sec	rmse=0.026237	lr=0.002794
Epoch[0] Batch [749]	Speed: 708.474877 samples/sec	rmse=0.026215	lr=0.002994
Epoch[0] Batch [799]	Speed: 696.348716 samples/sec	rmse=0.026244	lr=0.003193
Epoch[0] Batch [849]	Speed: 679.395567 samples/sec	rmse=0.026272	lr=0.003393
Epoch[0] Batch [899]	Speed: 690.003818 samples/sec	rmse=0.026264	lr=0.003593
Epoch[0] Batch [949]	Speed: 706.183831 samples/sec	rmse=0.026235	lr=0.003793
Epoch[0] Batch [999]	Speed: 687.132884 samples/sec	rmse=0.026221	lr=0.003993
Epoch[0] Batch [1049]	Speed: 692.851665 samples/sec	rmse=0.026217	lr=0.004193
Epoch[0] Batch [1099]	Speed: 685.622307 samples/sec	rmse=0.026217	lr=0.004392
Epoch[0] Batch [1149]	Speed: 678.143434 samples/sec	rmse=0.026206	lr=0.004592
Epoch[0] Batch [1199]	Speed: 686.582384 samples/sec	rmse=0.026212	lr=0.004792
Epoch[0] Batch [1249]	Speed: 686.069464 samples/sec	rmse=0.026189	lr=0.004992
Epoch[0] Batch [1299]	Speed: 685.841099 samples/sec	rmse=0.026179	lr=0.005192
Epoch[0] Batch [1349]	Speed: 699.827512 samples/sec	rmse=0.026150	lr=0.005392
Epoch[0] Batch [1399]	Speed: 692.210241 samples/sec	rmse=0.026130	lr=0.005592
Epoch[0] Batch [1449]	Speed: 720.003027 samples/sec	rmse=0.026146	lr=0.005791
Epoch[0] Batch [1499]	Speed: 681.004949 samples/sec	rmse=0.026126	lr=0.005991
Epoch[0] Batch [1549]	Speed: 726.342229 samples/sec	rmse=0.026132	lr=0.006191
Epoch[0] Batch [1599]	Speed: 701.076760 samples/sec	rmse=0.026127	lr=0.006391
Epoch[0] Batch [1649]	Speed: 675.484380 samples/sec	rmse=0.026122	lr=0.006591
Epoch[0] Batch [1699]	Speed: 697.562316 samples/sec	rmse=0.026100	lr=0.006791
Epoch[0] Batch [1749]	Speed: 692.929706 samples/sec	rmse=0.026108	lr=0.006990
Epoch[0] Batch [1799]	Speed: 702.803279 samples/sec	rmse=0.026108	lr=0.007190
