Namespace(batch_norm=False, batch_size=64, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='resnet152_v1d_best.log', lr=0.2, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='resnet152_v1d', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=8, num_workers=60, rec_train='/media/ramdisk/rec/train.rec', rec_train_idx='/media/ramdisk/rec/train.idx', rec_val='/media/ramdisk/rec/val.rec', rec_val_idx='/media/ramdisk/rec/val.idx', save_dir='params_resnet152_v1d_best', save_frequency=10, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 385.513481 samples/sec	accuracy=0.820061	lr=0.000783
Epoch[0] Batch [99]	Speed: 735.125244 samples/sec	accuracy=0.833358	lr=0.001583
Epoch[0] Batch [149]	Speed: 731.644426 samples/sec	accuracy=0.850772	lr=0.002382
Epoch[0] Batch [199]	Speed: 729.159361 samples/sec	accuracy=0.866983	lr=0.003181
Epoch[0] Batch [249]	Speed: 724.475473 samples/sec	accuracy=0.879329	lr=0.003981
Epoch[0] Batch [299]	Speed: 733.529485 samples/sec	accuracy=0.887961	lr=0.004780
Epoch[0] Batch [349]	Speed: 742.029503 samples/sec	accuracy=0.893129	lr=0.005580
Epoch[0] Batch [399]	Speed: 744.795523 samples/sec	accuracy=0.895456	lr=0.006379
Epoch[0] Batch [449]	Speed: 741.403670 samples/sec	accuracy=0.895590	lr=0.007178
Epoch[0] Batch [499]	Speed: 739.292087 samples/sec	accuracy=0.893721	lr=0.007978
Epoch[0] Batch [549]	Speed: 747.421775 samples/sec	accuracy=0.890275	lr=0.008777
Epoch[0] Batch [599]	Speed: 736.218999 samples/sec	accuracy=0.885786	lr=0.009576
Epoch[0] Batch [649]	Speed: 739.008134 samples/sec	accuracy=0.880432	lr=0.010376
Epoch[0] Batch [699]	Speed: 731.308220 samples/sec	accuracy=0.874291	lr=0.011175
Epoch[0] Batch [749]	Speed: 735.777670 samples/sec	accuracy=0.867698	lr=0.011974
Epoch[0] Batch [799]	Speed: 738.996527 samples/sec	accuracy=0.860743	lr=0.012774
Epoch[0] Batch [849]	Speed: 734.278646 samples/sec	accuracy=0.853472	lr=0.013573
Epoch[0] Batch [899]	Speed: 730.758422 samples/sec	accuracy=0.845780	lr=0.014373
Epoch[0] Batch [949]	Speed: 716.849733 samples/sec	accuracy=0.838089	lr=0.015172
Epoch[0] Batch [999]	Speed: 727.536353 samples/sec	accuracy=0.830276	lr=0.015971
Epoch[0] Batch [1049]	Speed: 713.812913 samples/sec	accuracy=0.822442	lr=0.016771
Epoch[0] Batch [1099]	Speed: 734.895199 samples/sec	accuracy=0.814823	lr=0.017570
Epoch[0] Batch [1149]	Speed: 725.402117 samples/sec	accuracy=0.807286	lr=0.018369
Epoch[0] Batch [1199]	Speed: 741.305495 samples/sec	accuracy=0.799881	lr=0.019169
Epoch[0] Batch [1249]	Speed: 725.390728 samples/sec	accuracy=0.792561	lr=0.019968
Epoch[0] Batch [1299]	Speed: 720.705667 samples/sec	accuracy=0.785288	lr=0.020767
Epoch[0] Batch [1349]	Speed: 719.429250 samples/sec	accuracy=0.778327	lr=0.021567
Epoch[0] Batch [1399]	Speed: 726.446605 samples/sec	accuracy=0.771486	lr=0.022366
Epoch[0] Batch [1449]	Speed: 733.787152 samples/sec	accuracy=0.764906	lr=0.023165
Epoch[0] Batch [1499]	Speed: 721.763376 samples/sec	accuracy=0.758480	lr=0.023965
Epoch[0] Batch [1549]	Speed: 732.775665 samples/sec	accuracy=0.752215	lr=0.024764
Epoch[0] Batch [1599]	Speed: 735.028890 samples/sec	accuracy=0.746121	lr=0.025564
Epoch[0] Batch [1649]	Speed: 725.900998 samples/sec	accuracy=0.740282	lr=0.026363
Epoch[0] Batch [1699]	Speed: 732.935256 samples/sec	accuracy=0.734589	lr=0.027162
Epoch[0] Batch [1749]	Speed: 730.293011 samples/sec	accuracy=0.729082	lr=0.027962
Epoch[0] Batch [1799]	Speed: 734.063503 samples/sec	accuracy=0.723660	lr=0.028761
Epoch[0] Batch [1849]	Speed: 730.455458 samples/sec	accuracy=0.718420	lr=0.029560
Epoch[0] Batch [1899]	Speed: 722.193450 samples/sec	accuracy=0.713278	lr=0.030360
Epoch[0] Batch [1949]	Speed: 740.667163 samples/sec	accuracy=0.708313	lr=0.031159
Epoch[0] Batch [1999]	Speed: 737.909292 samples/sec	accuracy=0.703457	lr=0.031958
Epoch[0] Batch [2049]	Speed: 729.117082 samples/sec	accuracy=0.698744	lr=0.032758
Epoch[0] Batch [2099]	Speed: 723.985320 samples/sec	accuracy=0.694180	lr=0.033557
Epoch[0] Batch [2149]	Speed: 731.424411 samples/sec	accuracy=0.689748	lr=0.034357
Epoch[0] Batch [2199]	Speed: 732.996728 samples/sec	accuracy=0.685443	lr=0.035156
Epoch[0] Batch [2249]	Speed: 729.085619 samples/sec	accuracy=0.681234	lr=0.035955
Epoch[0] Batch [2299]	Speed: 723.612584 samples/sec	accuracy=0.677111	lr=0.036755
Epoch[0] Batch [2349]	Speed: 729.314517 samples/sec	accuracy=0.673103	lr=0.037554
Epoch[0] Batch [2399]	Speed: 734.104190 samples/sec	accuracy=0.669237	lr=0.038353
Epoch[0] Batch [2449]	Speed: 721.698976 samples/sec	accuracy=0.665473	lr=0.039153
Epoch[0] Batch [2499]	Speed: 733.755120 samples/sec	accuracy=0.661809	lr=0.039952
[Epoch 0] training: accuracy=0.661591
[Epoch 0] speed: 718 samples/sec	time cost: 1784.030406
[Epoch 0] validation: err-top1=1.000000 err-top5=1.000000
Epoch[1] Batch [49]	Speed: 714.902998 samples/sec	accuracy=0.475846	lr=0.040783
Epoch[1] Batch [99]	Speed: 737.319842 samples/sec	accuracy=0.474868	lr=0.041583
Epoch[1] Batch [149]	Speed: 745.659461 samples/sec	accuracy=0.473447	lr=0.042382
Epoch[1] Batch [199]	Speed: 731.771875 samples/sec	accuracy=0.471981	lr=0.043181
Epoch[1] Batch [249]	Speed: 725.286474 samples/sec	accuracy=0.470760	lr=0.043981
Epoch[1] Batch [299]	Speed: 726.559629 samples/sec	accuracy=0.470295	lr=0.044780
Epoch[1] Batch [349]	Speed: 738.440892 samples/sec	accuracy=0.469159	lr=0.045580
Epoch[1] Batch [399]	Speed: 718.960239 samples/sec	accuracy=0.468389	lr=0.046379
Epoch[1] Batch [449]	Speed: 725.801268 samples/sec	accuracy=0.467303	lr=0.047178
Epoch[1] Batch [499]	Speed: 722.931645 samples/sec	accuracy=0.465992	lr=0.047978
Epoch[1] Batch [549]	Speed: 731.848550 samples/sec	accuracy=0.464861	lr=0.048777
Epoch[1] Batch [599]	Speed: 722.688256 samples/sec	accuracy=0.463918	lr=0.049576
Epoch[1] Batch [649]	Speed: 714.527709 samples/sec	accuracy=0.462967	lr=0.050376
Epoch[1] Batch [699]	Speed: 730.906663 samples/sec	accuracy=0.462018	lr=0.051175
Epoch[1] Batch [749]	Speed: 731.585214 samples/sec	accuracy=0.461091	lr=0.051974
Epoch[1] Batch [799]	Speed: 730.932625 samples/sec	accuracy=0.460052	lr=0.052774
Epoch[1] Batch [849]	Speed: 730.873399 samples/sec	accuracy=0.459166	lr=0.053573
Epoch[1] Batch [899]	Speed: 743.952243 samples/sec	accuracy=0.458379	lr=0.054373
Epoch[1] Batch [949]	Speed: 728.069818 samples/sec	accuracy=0.457455	lr=0.055172
Epoch[1] Batch [999]	Speed: 714.293105 samples/sec	accuracy=0.456718	lr=0.055971
Epoch[1] Batch [1049]	Speed: 712.021907 samples/sec	accuracy=0.455843	lr=0.056771
Epoch[1] Batch [1099]	Speed: 724.124330 samples/sec	accuracy=0.454995	lr=0.057570
