INFO:root:Namespace(batch_norm=False, batch_size=128, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', last_gamma=False, log_interval=50, logging_dir='logs', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mode='hybrid', model='resnet50_v1', momentum=0.9, num_epochs=120, num_gpus=8, num_workers=60, rec_train='/media/ramdisk/rec/train.rec', rec_train_idx='/media/ramdisk/rec/train.idx', rec_val='/media/ramdisk/rec/val.rec', rec_val_idx='/media/ramdisk/rec/val.idx', save_dir='params_resnet50_v1', save_frequency=10, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
[04:26:07] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: /media/ramdisk/rec/train.rec, use 31 threads for decoding..
[04:27:27] src/io/iter_image_recordio_2.cc:170: ImageRecordIOParser2: /media/ramdisk/rec/val.rec, use 31 threads for decoding..
[04:29:17] src/kvstore/././comm.h:689: only 32 out of 56 GPU pairs are enabled direct access. It may affect the performance. You can set MXNET_ENABLE_GPU_P2P=0 to turn it off
[04:29:17] src/kvstore/././comm.h:698: .vvvv...
[04:29:17] src/kvstore/././comm.h:698: v.vv.v..
[04:29:17] src/kvstore/././comm.h:698: vv.v..v.
[04:29:17] src/kvstore/././comm.h:698: vvv....v
[04:29:17] src/kvstore/././comm.h:698: v....vvv
[04:29:17] src/kvstore/././comm.h:698: .v..v.vv
[04:29:17] src/kvstore/././comm.h:698: ..v.vv.v
[04:29:17] src/kvstore/././comm.h:698: ...vvvv.
[04:29:18] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [49]	Speed: 1468.555644 samples/sec	top1-err=0.999043	lr=0.003133
INFO:root:Epoch[0] Batch [99]	Speed: 2778.633562 samples/sec	top1-err=0.998857	lr=0.006331
INFO:root:Epoch[0] Batch [149]	Speed: 2772.703034 samples/sec	top1-err=0.998730	lr=0.009528
INFO:root:Epoch[0] Batch [199]	Speed: 2782.167789 samples/sec	top1-err=0.998564	lr=0.012726
INFO:root:Epoch[0] Batch [249]	Speed: 2811.707734 samples/sec	top1-err=0.998379	lr=0.015923
INFO:root:Epoch[0] Batch [299]	Speed: 2799.802710 samples/sec	top1-err=0.997962	lr=0.019121
INFO:root:Epoch[0] Batch [349]	Speed: 2810.108055 samples/sec	top1-err=0.997461	lr=0.022318
INFO:root:Epoch[0] Batch [399]	Speed: 2734.254743 samples/sec	top1-err=0.996875	lr=0.025516
INFO:root:Epoch[0] Batch [449]	Speed: 2782.692766 samples/sec	top1-err=0.996148	lr=0.028713
INFO:root:Epoch[0] Batch [499]	Speed: 2886.761968 samples/sec	top1-err=0.995324	lr=0.031910
INFO:root:Epoch[0] Batch [549]	Speed: 2824.914242 samples/sec	top1-err=0.994308	lr=0.035108
INFO:root:Epoch[0] Batch [599]	Speed: 2790.043392 samples/sec	top1-err=0.993226	lr=0.038305
INFO:root:Epoch[0] Batch [649]	Speed: 2771.601241 samples/sec	top1-err=0.992025	lr=0.041503
INFO:root:Epoch[0] Batch [699]	Speed: 2773.182722 samples/sec	top1-err=0.990713	lr=0.044700
INFO:root:Epoch[0] Batch [749]	Speed: 2779.042334 samples/sec	top1-err=0.989301	lr=0.047898
INFO:root:Epoch[0] Batch [799]	Speed: 2788.108077 samples/sec	top1-err=0.987665	lr=0.051095
INFO:root:Epoch[0] Batch [849]	Speed: 2735.982202 samples/sec	top1-err=0.985950	lr=0.054293
INFO:root:Epoch[0] Batch [899]	Speed: 2793.562786 samples/sec	top1-err=0.984226	lr=0.057490
INFO:root:Epoch[0] Batch [949]	Speed: 2815.374598 samples/sec	top1-err=0.982389	lr=0.060687
INFO:root:Epoch[0] Batch [999]	Speed: 2775.611568 samples/sec	top1-err=0.980397	lr=0.063885
INFO:root:Epoch[0] Batch [1049]	Speed: 2776.287970 samples/sec	top1-err=0.978408	lr=0.067082
INFO:root:Epoch[0] Batch [1099]	Speed: 2855.371808 samples/sec	top1-err=0.976345	lr=0.070280
INFO:root:Epoch[0] Batch [1149]	Speed: 2848.549398 samples/sec	top1-err=0.974138	lr=0.073477
INFO:root:Epoch[0] Batch [1199]	Speed: 2816.524071 samples/sec	top1-err=0.971942	lr=0.076675
INFO:root:Epoch[0] Batch [1249]	Speed: 2874.993665 samples/sec	top1-err=0.969684	lr=0.079872
INFO:root:[Epoch 0] training: err-top1=0.969613
INFO:root:[Epoch 0] speed: 2698 samples/sec	time cost: 487.368299
INFO:root:[Epoch 0] validation: err-top1=0.915438 err-top5=0.775132
INFO:root:Epoch[1] Batch [49]	Speed: 2767.397767 samples/sec	top1-err=0.906777	lr=0.083133
INFO:root:Epoch[1] Batch [99]	Speed: 2796.222364 samples/sec	top1-err=0.903906	lr=0.086331
INFO:root:Epoch[1] Batch [149]	Speed: 2748.599113 samples/sec	top1-err=0.900664	lr=0.089528
INFO:root:Epoch[1] Batch [199]	Speed: 2797.578908 samples/sec	top1-err=0.901387	lr=0.092726
INFO:root:Epoch[1] Batch [249]	Speed: 2853.517498 samples/sec	top1-err=0.898797	lr=0.095923
INFO:root:Epoch[1] Batch [299]	Speed: 2784.980176 samples/sec	top1-err=0.895700	lr=0.099121
INFO:root:Epoch[1] Batch [349]	Speed: 2844.512715 samples/sec	top1-err=0.892369	lr=0.102318
INFO:root:Epoch[1] Batch [399]	Speed: 2811.600904 samples/sec	top1-err=0.888843	lr=0.105516
INFO:root:Epoch[1] Batch [449]	Speed: 2772.203112 samples/sec	top1-err=0.885206	lr=0.108713
INFO:root:Epoch[1] Batch [499]	Speed: 2773.427017 samples/sec	top1-err=0.881596	lr=0.111910
INFO:root:Epoch[1] Batch [549]	Speed: 2833.363184 samples/sec	top1-err=0.878329	lr=0.115108
INFO:root:Epoch[1] Batch [599]	Speed: 2823.594994 samples/sec	top1-err=0.874746	lr=0.118305
INFO:root:Epoch[1] Batch [649]	Speed: 2831.929224 samples/sec	top1-err=0.871196	lr=0.121503
INFO:root:Epoch[1] Batch [699]	Speed: 2861.246321 samples/sec	top1-err=0.867815	lr=0.124700
INFO:root:Epoch[1] Batch [749]	Speed: 2818.393257 samples/sec	top1-err=0.864465	lr=0.127898
INFO:root:Epoch[1] Batch [799]	Speed: 2806.540860 samples/sec	top1-err=0.864009	lr=0.131095
INFO:root:Epoch[1] Batch [849]	Speed: 2810.162956 samples/sec	top1-err=0.861588	lr=0.134293
INFO:root:Epoch[1] Batch [899]	Speed: 2862.858817 samples/sec	top1-err=0.858788	lr=0.137490
INFO:root:Epoch[1] Batch [949]	Speed: 2795.689323 samples/sec	top1-err=0.855969	lr=0.140687
INFO:root:Epoch[1] Batch [999]	Speed: 2823.297017 samples/sec	top1-err=0.853179	lr=0.143885
INFO:root:Epoch[1] Batch [1049]	Speed: 2797.924593 samples/sec	top1-err=0.850291	lr=0.147082
INFO:root:Epoch[1] Batch [1099]	Speed: 2821.995485 samples/sec	top1-err=0.847385	lr=0.150280
INFO:root:Epoch[1] Batch [1149]	Speed: 2809.314741 samples/sec	top1-err=0.844308	lr=0.153477
INFO:root:Epoch[1] Batch [1199]	Speed: 2834.458482 samples/sec	top1-err=0.841365	lr=0.156675
INFO:root:Epoch[1] Batch [1249]	Speed: 2893.948997 samples/sec	top1-err=0.838331	lr=0.159872
INFO:root:[Epoch 1] training: err-top1=0.838271
INFO:root:[Epoch 1] speed: 2812 samples/sec	time cost: 467.567640
INFO:root:[Epoch 1] validation: err-top1=0.763473 err-top5=0.520906
INFO:root:Epoch[2] Batch [49]	Speed: 2892.708157 samples/sec	top1-err=0.756074	lr=0.163133
INFO:root:Epoch[2] Batch [99]	Speed: 2863.923417 samples/sec	top1-err=0.756885	lr=0.166331
INFO:root:Epoch[2] Batch [149]	Speed: 2793.003986 samples/sec	top1-err=0.754622	lr=0.169528
INFO:root:Epoch[2] Batch [199]	Speed: 2816.820066 samples/sec	top1-err=0.752427	lr=0.172726
INFO:root:Epoch[2] Batch [249]	Speed: 2812.195748 samples/sec	top1-err=0.751148	lr=0.175923
INFO:root:Epoch[2] Batch [299]	Speed: 2926.916310 samples/sec	top1-err=0.749626	lr=0.179121
INFO:root:Epoch[2] Batch [349]	Speed: 2789.761732 samples/sec	top1-err=0.747542	lr=0.182318
INFO:root:Epoch[2] Batch [399]	Speed: 2806.063422 samples/sec	top1-err=0.745701	lr=0.185516
INFO:root:Epoch[2] Batch [449]	Speed: 2824.804511 samples/sec	top1-err=0.743863	lr=0.188713
INFO:root:Epoch[2] Batch [499]	Speed: 2834.295338 samples/sec	top1-err=0.742154	lr=0.191910
INFO:root:Epoch[2] Batch [549]	Speed: 2834.816335 samples/sec	top1-err=0.739973	lr=0.195108
INFO:root:Epoch[2] Batch [599]	Speed: 2872.035472 samples/sec	top1-err=0.737718	lr=0.198305
INFO:root:Epoch[2] Batch [649]	Speed: 2770.827408 samples/sec	top1-err=0.735681	lr=0.201503
INFO:root:Epoch[2] Batch [699]	Speed: 2785.568541 samples/sec	top1-err=0.734004	lr=0.204700
INFO:root:Epoch[2] Batch [749]	Speed: 2777.887778 samples/sec	top1-err=0.732280	lr=0.207898
INFO:root:Epoch[2] Batch [799]	Speed: 2825.965753 samples/sec	top1-err=0.730669	lr=0.211095
INFO:root:Epoch[2] Batch [849]	Speed: 2797.885916 samples/sec	top1-err=0.729088	lr=0.214293
INFO:root:Epoch[2] Batch [899]	Speed: 2762.375970 samples/sec	top1-err=0.727125	lr=0.217490
INFO:root:Epoch[2] Batch [949]	Speed: 2794.304977 samples/sec	top1-err=0.725554	lr=0.220687
INFO:root:Epoch[2] Batch [999]	Speed: 2784.617859 samples/sec	top1-err=0.723745	lr=0.223885
INFO:root:Epoch[2] Batch [1049]	Speed: 2801.623955 samples/sec	top1-err=0.722126	lr=0.227082
INFO:root:Epoch[2] Batch [1099]	Speed: 2792.296143 samples/sec	top1-err=0.720550	lr=0.230280
INFO:root:Epoch[2] Batch [1149]	Speed: 2806.605636 samples/sec	top1-err=0.719091	lr=0.233477
INFO:root:Epoch[2] Batch [1199]	Speed: 2806.001568 samples/sec	top1-err=0.717394	lr=0.236675
INFO:root:Epoch[2] Batch [1249]	Speed: 2887.826327 samples/sec	top1-err=0.716040	lr=0.239872
INFO:root:[Epoch 2] training: err-top1=0.716015
INFO:root:[Epoch 2] speed: 2815 samples/sec	time cost: 467.207457
INFO:root:[Epoch 2] validation: err-top1=0.670181 err-top5=0.412329
INFO:root:Epoch[3] Batch [49]	Speed: 2858.031223 samples/sec	top1-err=0.668457	lr=0.243133
INFO:root:Epoch[3] Batch [99]	Speed: 2858.054996 samples/sec	top1-err=0.668926	lr=0.246331
INFO:root:Epoch[3] Batch [149]	Speed: 2819.395980 samples/sec	top1-err=0.669590	lr=0.249528
INFO:root:Epoch[3] Batch [199]	Speed: 2814.136189 samples/sec	top1-err=0.668027	lr=0.252726
INFO:root:Epoch[3] Batch [249]	Speed: 2827.013879 samples/sec	top1-err=0.667832	lr=0.255923
INFO:root:Epoch[3] Batch [299]	Speed: 2843.923066 samples/sec	top1-err=0.667103	lr=0.259121
INFO:root:Epoch[3] Batch [349]	Speed: 2812.555369 samples/sec	top1-err=0.665979	lr=0.262318
INFO:root:Epoch[3] Batch [399]	Speed: 2822.053633 samples/sec	top1-err=0.664502	lr=0.265516
INFO:root:Epoch[3] Batch [449]	Speed: 2810.570354 samples/sec	top1-err=0.664160	lr=0.268713
INFO:root:Epoch[3] Batch [499]	Speed: 2857.416794 samples/sec	top1-err=0.662871	lr=0.271910
INFO:root:Epoch[3] Batch [549]	Speed: 2808.906164 samples/sec	top1-err=0.662294	lr=0.275108
INFO:root:Epoch[3] Batch [599]	Speed: 2818.426769 samples/sec	top1-err=0.661540	lr=0.278305
INFO:root:Epoch[3] Batch [649]	Speed: 2856.345095 samples/sec	top1-err=0.660473	lr=0.281503
INFO:root:Epoch[3] Batch [699]	Speed: 2840.497112 samples/sec	top1-err=0.659491	lr=0.284700
INFO:root:Epoch[3] Batch [749]	Speed: 2806.196306 samples/sec	top1-err=0.658430	lr=0.287898
INFO:root:Epoch[3] Batch [799]	Speed: 2820.446386 samples/sec	top1-err=0.657419	lr=0.291095
INFO:root:Epoch[3] Batch [849]	Speed: 2858.389384 samples/sec	top1-err=0.656721	lr=0.294293
INFO:root:Epoch[3] Batch [899]	Speed: 2799.331795 samples/sec	top1-err=0.655902	lr=0.297490
INFO:root:Epoch[3] Batch [949]	Speed: 2821.114615 samples/sec	top1-err=0.655094	lr=0.300687
INFO:root:Epoch[3] Batch [999]	Speed: 2837.468361 samples/sec	top1-err=0.654097	lr=0.303885
INFO:root:Epoch[3] Batch [1049]	Speed: 2830.952274 samples/sec	top1-err=0.653433	lr=0.307082
INFO:root:Epoch[3] Batch [1099]	Speed: 2832.108754 samples/sec	top1-err=0.652748	lr=0.310280
INFO:root:Epoch[3] Batch [1149]	Speed: 2806.539026 samples/sec	top1-err=0.651994	lr=0.313477
INFO:root:Epoch[3] Batch [1199]	Speed: 2832.364288 samples/sec	top1-err=0.651191	lr=0.316675
INFO:root:Epoch[3] Batch [1249]	Speed: 2885.974123 samples/sec	top1-err=0.650523	lr=0.319872
INFO:root:[Epoch 3] training: err-top1=0.650528
INFO:root:[Epoch 3] speed: 2828 samples/sec	time cost: 465.115338
INFO:root:[Epoch 3] validation: err-top1=0.611647 err-top5=0.348872
INFO:root:Epoch[4] Batch [49]	Speed: 2805.444854 samples/sec	top1-err=0.629687	lr=0.323133
INFO:root:Epoch[4] Batch [99]	Speed: 2824.433505 samples/sec	top1-err=0.627725	lr=0.326331
INFO:root:Epoch[4] Batch [149]	Speed: 2843.169118 samples/sec	top1-err=0.627012	lr=0.329528
INFO:root:Epoch[4] Batch [199]	Speed: 2815.057430 samples/sec	top1-err=0.626211	lr=0.332726
INFO:root:Epoch[4] Batch [249]	Speed: 2833.315185 samples/sec	top1-err=0.625809	lr=0.335923
INFO:root:Epoch[4] Batch [299]	Speed: 2807.653102 samples/sec	top1-err=0.625882	lr=0.339121
INFO:root:Epoch[4] Batch [349]	Speed: 2810.442608 samples/sec	top1-err=0.625720	lr=0.342318
INFO:root:Epoch[4] Batch [399]	Speed: 2774.936894 samples/sec	top1-err=0.625618	lr=0.345516
INFO:root:Epoch[4] Batch [449]	Speed: 2824.672831 samples/sec	top1-err=0.624987	lr=0.348713
INFO:root:Epoch[4] Batch [499]	Speed: 2841.233705 samples/sec	top1-err=0.624814	lr=0.351910
INFO:root:Epoch[4] Batch [549]	Speed: 2803.474617 samples/sec	top1-err=0.624402	lr=0.355108
INFO:root:Epoch[4] Batch [599]	Speed: 2779.585163 samples/sec	top1-err=0.623926	lr=0.358305
INFO:root:Epoch[4] Batch [649]	Speed: 2790.292623 samples/sec	top1-err=0.623142	lr=0.361503
INFO:root:Epoch[4] Batch [699]	Speed: 2804.251123 samples/sec	top1-err=0.623096	lr=0.364700
