INFO:root:Namespace(batch_norm=False, batch_size=64, data_dir='~/.mxnet/datasets/imagenet', log_interval=50, logging_dir='logs', lr=0.1, lr_decay=0.1, lr_decay_epoch='30,60,90', lr_decay_period=0, mode='hybrid', model='resnet50_v2', momentum=0.9, num_epochs=120, num_gpus=4, num_workers=32, save_dir='params', save_frequency=10, save_plot_dir='.', use_pretrained=False, use_thumbnail=False, wd=0.0001)
[23:39:04] src/operator/nn/./cudnn/./cudnn_algoreg-inl.h:107: Running performance tests to find the best convolution algorithm, this can take a while... (setting env variable MXNET_CUDNN_AUTOTUNE_DEFAULT to 0 to disable)
INFO:root:Epoch[0] Batch [49]	Speed: 426.445570 samples/sec	top1-err=0.998516	top5-err=0.993984
INFO:root:Epoch[0] Batch [99]	Speed: 1045.063810 samples/sec	top1-err=0.998320	top5-err=0.992188
INFO:root:Epoch[0] Batch [149]	Speed: 1055.225653 samples/sec	top1-err=0.997865	top5-err=0.990313
INFO:root:Epoch[0] Batch [199]	Speed: 1047.918697 samples/sec	top1-err=0.997461	top5-err=0.989062
INFO:root:Epoch[0] Batch [249]	Speed: 1054.985428 samples/sec	top1-err=0.997234	top5-err=0.987641
INFO:root:Epoch[0] Batch [299]	Speed: 1045.147956 samples/sec	top1-err=0.996940	top5-err=0.986198
INFO:root:Epoch[0] Batch [349]	Speed: 1052.595496 samples/sec	top1-err=0.996362	top5-err=0.984475
INFO:root:Epoch[0] Batch [399]	Speed: 1041.188362 samples/sec	top1-err=0.995938	top5-err=0.982607
INFO:root:Epoch[0] Batch [449]	Speed: 1045.231586 samples/sec	top1-err=0.995477	top5-err=0.981181
INFO:root:Epoch[0] Batch [499]	Speed: 1040.405605 samples/sec	top1-err=0.994992	top5-err=0.979477
INFO:root:Epoch[0] Batch [549]	Speed: 1045.047068 samples/sec	top1-err=0.994389	top5-err=0.977464
INFO:root:Epoch[0] Batch [599]	Speed: 1044.871258 samples/sec	top1-err=0.993854	top5-err=0.975169
INFO:root:Epoch[0] Batch [649]	Speed: 1038.092563 samples/sec	top1-err=0.993341	top5-err=0.973119
INFO:root:Epoch[0] Batch [699]	Speed: 1046.795262 samples/sec	top1-err=0.992723	top5-err=0.970770
INFO:root:Epoch[0] Batch [749]	Speed: 1046.908614 samples/sec	top1-err=0.991896	top5-err=0.968255
INFO:root:Epoch[0] Batch [799]	Speed: 1043.539495 samples/sec	top1-err=0.991235	top5-err=0.965933
INFO:root:Epoch[0] Batch [849]	Speed: 1053.398590 samples/sec	top1-err=0.990528	top5-err=0.963704
INFO:root:Epoch[0] Batch [899]	Speed: 1053.757772 samples/sec	top1-err=0.989831	top5-err=0.961289
INFO:root:Epoch[0] Batch [949]	Speed: 1043.688825 samples/sec	top1-err=0.989075	top5-err=0.958594
INFO:root:Epoch[0] Batch [999]	Speed: 1048.342846 samples/sec	top1-err=0.988277	top5-err=0.956109
INFO:root:Epoch[0] Batch [1049]	Speed: 1052.064271 samples/sec	top1-err=0.987500	top5-err=0.953910
INFO:root:Epoch[0] Batch [1099]	Speed: 1036.974283 samples/sec	top1-err=0.986900	top5-err=0.951911
INFO:root:Epoch[0] Batch [1149]	Speed: 1043.554282 samples/sec	top1-err=0.986196	top5-err=0.949654
INFO:root:Epoch[0] Batch [1199]	Speed: 1049.350449 samples/sec	top1-err=0.985439	top5-err=0.947184
INFO:root:Epoch[0] Batch [1249]	Speed: 1045.524498 samples/sec	top1-err=0.984606	top5-err=0.944638
INFO:root:Epoch[0] Batch [1299]	Speed: 1042.068809 samples/sec	top1-err=0.983723	top5-err=0.941968
INFO:root:Epoch[0] Batch [1349]	Speed: 1043.356953 samples/sec	top1-err=0.982856	top5-err=0.939381
INFO:root:Epoch[0] Batch [1399]	Speed: 1047.192213 samples/sec	top1-err=0.981775	top5-err=0.936468
INFO:root:Epoch[0] Batch [1449]	Speed: 1042.696880 samples/sec	top1-err=0.980894	top5-err=0.934011
INFO:root:Epoch[0] Batch [1499]	Speed: 1054.115397 samples/sec	top1-err=0.980055	top5-err=0.931490
INFO:root:Epoch[0] Batch [1549]	Speed: 1043.982924 samples/sec	top1-err=0.979168	top5-err=0.928896
INFO:root:Epoch[0] Batch [1599]	Speed: 1037.894926 samples/sec	top1-err=0.978262	top5-err=0.926433
INFO:root:Epoch[0] Batch [1649]	Speed: 1046.752035 samples/sec	top1-err=0.977199	top5-err=0.923840
INFO:root:Epoch[0] Batch [1699]	Speed: 1035.805190 samples/sec	top1-err=0.976193	top5-err=0.921190
INFO:root:Epoch[0] Batch [1749]	Speed: 1049.015665 samples/sec	top1-err=0.975201	top5-err=0.918674
