Namespace(batch_norm=False, batch_size=64, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', input_size=224, label_smoothing=True, last_gamma=True, log_interval=50, logging_file='se_resnext101_64x4d_best.log', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=True, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='se_resnext101_64x4d', momentum=0.9, no_wd=True, num_epochs=200, num_gpus=8, num_workers=90, rec_train='/media/ramdisk/rec/train.rec', rec_train_idx='/media/ramdisk/rec/train.idx', rec_val='/media/ramdisk/rec/val.rec', rec_val_idx='/media/ramdisk/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_se_resnext101_64x4d_best', save_frequency=10, use_pretrained=False, use_rec=True, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [49]	Speed: 378.433704 samples/sec	rmse=0.025846	lr=0.001567
Epoch[0] Batch [99]	Speed: 544.745795 samples/sec	rmse=0.026277	lr=0.003165
Epoch[0] Batch [149]	Speed: 545.974963 samples/sec	rmse=0.026349	lr=0.004764
Epoch[0] Batch [199]	Speed: 545.953709 samples/sec	rmse=0.026287	lr=0.006363
Epoch[0] Batch [249]	Speed: 538.274822 samples/sec	rmse=0.026170	lr=0.007962
Epoch[0] Batch [299]	Speed: 551.219350 samples/sec	rmse=0.026234	lr=0.009560
Epoch[0] Batch [349]	Speed: 552.717611 samples/sec	rmse=0.026273	lr=0.011159
Epoch[0] Batch [399]	Speed: 549.376167 samples/sec	rmse=0.026211	lr=0.012758
Epoch[0] Batch [449]	Speed: 549.881732 samples/sec	rmse=0.026165	lr=0.014357
Epoch[0] Batch [499]	Speed: 548.642212 samples/sec	rmse=0.026152	lr=0.015955
Epoch[0] Batch [549]	Speed: 548.915858 samples/sec	rmse=0.026201	lr=0.017554
Epoch[0] Batch [599]	Speed: 549.951740 samples/sec	rmse=0.026151	lr=0.019153
Epoch[0] Batch [649]	Speed: 550.697285 samples/sec	rmse=0.026146	lr=0.020751
Epoch[0] Batch [699]	Speed: 553.407617 samples/sec	rmse=0.026153	lr=0.022350
Epoch[0] Batch [749]	Speed: 553.748765 samples/sec	rmse=0.026159	lr=0.023949
Epoch[0] Batch [799]	Speed: 552.428577 samples/sec	rmse=0.026115	lr=0.025548
Epoch[0] Batch [849]	Speed: 554.316182 samples/sec	rmse=0.026095	lr=0.027146
Epoch[0] Batch [899]	Speed: 554.172962 samples/sec	rmse=0.026088	lr=0.028745
Epoch[0] Batch [949]	Speed: 549.779512 samples/sec	rmse=0.026087	lr=0.030344
Epoch[0] Batch [999]	Speed: 547.182489 samples/sec	rmse=0.026156	lr=0.031942
Epoch[0] Batch [1049]	Speed: 548.137665 samples/sec	rmse=0.026139	lr=0.033541
Epoch[0] Batch [1099]	Speed: 550.893637 samples/sec	rmse=0.026140	lr=0.035140
Epoch[0] Batch [1149]	Speed: 548.943649 samples/sec	rmse=0.026164	lr=0.036739
Epoch[0] Batch [1199]	Speed: 552.163960 samples/sec	rmse=0.026165	lr=0.038337
Epoch[0] Batch [1249]	Speed: 554.268914 samples/sec	rmse=0.026169	lr=0.039936
Epoch[0] Batch [1299]	Speed: 555.064187 samples/sec	rmse=0.026184	lr=0.041535
Epoch[0] Batch [1349]	Speed: 552.662556 samples/sec	rmse=0.026177	lr=0.043133
Epoch[0] Batch [1399]	Speed: 551.211130 samples/sec	rmse=0.026190	lr=0.044732
Epoch[0] Batch [1449]	Speed: 549.501712 samples/sec	rmse=0.026193	lr=0.046331
Epoch[0] Batch [1499]	Speed: 552.347257 samples/sec	rmse=0.026202	lr=0.047930
Epoch[0] Batch [1549]	Speed: 551.588524 samples/sec	rmse=0.026195	lr=0.049528
Epoch[0] Batch [1599]	Speed: 547.683504 samples/sec	rmse=0.026165	lr=0.051127
Epoch[0] Batch [1649]	Speed: 553.237181 samples/sec	rmse=0.026147	lr=0.052726
Epoch[0] Batch [1699]	Speed: 553.081584 samples/sec	rmse=0.026143	lr=0.054325
Epoch[0] Batch [1749]	Speed: 552.401603 samples/sec	rmse=0.026122	lr=0.055923
Epoch[0] Batch [1799]	Speed: 552.993270 samples/sec	rmse=0.026099	lr=0.057522
Epoch[0] Batch [1849]	Speed: 553.725051 samples/sec	rmse=0.026118	lr=0.059121
