Namespace(batch_size=8, dataset='coco', disable_hybridization=False, epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, num_workers=8, resume='', save_interval=1, save_prefix='faster_rcnn_fpn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=True, val_interval=2, verbose=True, wd=0.0001)
Trainable parameters:
odict_keys(['resnetv1d_layers2_conv0_weight', 'resnetv1d_layers2_conv1_weight', 'resnetv1d_layers2_conv2_weight', 'resnetv1d_down2_conv0_weight', 'resnetv1d_layers2_conv3_weight', 'resnetv1d_layers2_conv4_weight', 'resnetv1d_layers2_conv5_weight', 'resnetv1d_layers2_conv6_weight', 'resnetv1d_layers2_conv7_weight', 'resnetv1d_layers2_conv8_weight', 'resnetv1d_layers2_conv9_weight', 'resnetv1d_layers2_conv10_weight', 'resnetv1d_layers2_conv11_weight', 'resnetv1d_layers3_conv0_weight', 'resnetv1d_layers3_conv1_weight', 'resnetv1d_layers3_conv2_weight', 'resnetv1d_down3_conv0_weight', 'resnetv1d_layers3_conv3_weight', 'resnetv1d_layers3_conv4_weight', 'resnetv1d_layers3_conv5_weight', 'resnetv1d_layers3_conv6_weight', 'resnetv1d_layers3_conv7_weight', 'resnetv1d_layers3_conv8_weight', 'resnetv1d_layers3_conv9_weight', 'resnetv1d_layers3_conv10_weight', 'resnetv1d_layers3_conv11_weight', 'resnetv1d_layers3_conv12_weight', 'resnetv1d_layers3_conv13_weight', 'resnetv1d_layers3_conv14_weight', 'resnetv1d_layers3_conv15_weight', 'resnetv1d_layers3_conv16_weight', 'resnetv1d_layers3_conv17_weight', 'resnetv1d_layers3_conv18_weight', 'resnetv1d_layers3_conv19_weight', 'resnetv1d_layers3_conv20_weight', 'resnetv1d_layers3_conv21_weight', 'resnetv1d_layers3_conv22_weight', 'resnetv1d_layers3_conv23_weight', 'resnetv1d_layers3_conv24_weight', 'resnetv1d_layers3_conv25_weight', 'resnetv1d_layers3_conv26_weight', 'resnetv1d_layers3_conv27_weight', 'resnetv1d_layers3_conv28_weight', 'resnetv1d_layers3_conv29_weight', 'resnetv1d_layers3_conv30_weight', 'resnetv1d_layers3_conv31_weight', 'resnetv1d_layers3_conv32_weight', 'resnetv1d_layers3_conv33_weight', 'resnetv1d_layers3_conv34_weight', 'resnetv1d_layers3_conv35_weight', 'resnetv1d_layers3_conv36_weight', 'resnetv1d_layers3_conv37_weight', 'resnetv1d_layers3_conv38_weight', 'resnetv1d_layers3_conv39_weight', 'resnetv1d_layers3_conv40_weight', 'resnetv1d_layers3_conv41_weight', 'resnetv1d_layers3_conv42_weight', 'resnetv1d_layers3_conv43_weight', 'resnetv1d_layers3_conv44_weight', 'resnetv1d_layers3_conv45_weight', 'resnetv1d_layers3_conv46_weight', 'resnetv1d_layers3_conv47_weight', 'resnetv1d_layers3_conv48_weight', 'resnetv1d_layers3_conv49_weight', 'resnetv1d_layers3_conv50_weight', 'resnetv1d_layers3_conv51_weight', 'resnetv1d_layers3_conv52_weight', 'resnetv1d_layers3_conv53_weight', 'resnetv1d_layers3_conv54_weight', 'resnetv1d_layers3_conv55_weight', 'resnetv1d_layers3_conv56_weight', 'resnetv1d_layers3_conv57_weight', 'resnetv1d_layers3_conv58_weight', 'resnetv1d_layers3_conv59_weight', 'resnetv1d_layers3_conv60_weight', 'resnetv1d_layers3_conv61_weight', 'resnetv1d_layers3_conv62_weight', 'resnetv1d_layers3_conv63_weight', 'resnetv1d_layers3_conv64_weight', 'resnetv1d_layers3_conv65_weight', 'resnetv1d_layers3_conv66_weight', 'resnetv1d_layers3_conv67_weight', 'resnetv1d_layers3_conv68_weight', 'resnetv1d_layers4_conv0_weight', 'resnetv1d_layers4_conv1_weight', 'resnetv1d_layers4_conv2_weight', 'resnetv1d_down4_conv0_weight', 'resnetv1d_layers4_conv3_weight', 'resnetv1d_layers4_conv4_weight', 'resnetv1d_layers4_conv5_weight', 'resnetv1d_layers4_conv6_weight', 'resnetv1d_layers4_conv7_weight', 'resnetv1d_layers4_conv8_weight', 'dense0_weight', 'dense0_bias', 'dense1_weight', 'dense1_bias', 'fasterrcnn0_dense0_weight', 'fasterrcnn0_dense0_bias', 'fasterrcnn0_dense1_weight', 'fasterrcnn0_dense1_bias', 'fasterrcnn0_rpn0_rpnanchorgenerator0_anchor_', 'fasterrcnn0_rpn0_rpnanchorgenerator1_anchor_', 'fasterrcnn0_rpn0_rpnanchorgenerator2_anchor_', 'fasterrcnn0_rpn0_rpnanchorgenerator3_anchor_', 'fasterrcnn0_rpn0_rpnanchorgenerator4_anchor_', 'fasterrcnn0_rpn0_rpnhead0_conv0_weight', 'fasterrcnn0_rpn0_rpnhead0_conv0_bias', 'fasterrcnn0_rpn0_rpnhead0_conv1_weight', 'fasterrcnn0_rpn0_rpnhead0_conv1_bias', 'fasterrcnn0_rpn0_rpnhead0_conv2_weight', 'fasterrcnn0_rpn0_rpnhead0_conv2_bias'])
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 99], Speed: 7.010 samples/sec, RPN_Conf=0.246,RPN_SmoothL1=0.077,RCNN_CrossEntropy=0.576,RCNN_SmoothL1=0.143,RPNAcc=0.907,RPNL1Loss=0.643,RCNNAcc=0.925,RCNNL1Loss=2.171
[Epoch 0 Iteration 100] Set learning rate to 0.004
[Epoch 0][Batch 199], Speed: 7.937 samples/sec, RPN_Conf=0.193,RPN_SmoothL1=0.074,RCNN_CrossEntropy=0.536,RCNN_SmoothL1=0.159,RPNAcc=0.925,RPNL1Loss=0.615,RCNNAcc=0.924,RCNNL1Loss=2.218
[Epoch 0 Iteration 200] Set learning rate to 0.004666666666666667
[Epoch 0][Batch 299], Speed: 8.101 samples/sec, RPN_Conf=0.169,RPN_SmoothL1=0.070,RCNN_CrossEntropy=0.531,RCNN_SmoothL1=0.173,RPNAcc=0.934,RPNL1Loss=0.593,RCNNAcc=0.920,RCNNL1Loss=2.244
[Epoch 0 Iteration 300] Set learning rate to 0.005333333333333333
[Epoch 0][Batch 399], Speed: 8.104 samples/sec, RPN_Conf=0.153,RPN_SmoothL1=0.069,RCNN_CrossEntropy=0.530,RCNN_SmoothL1=0.184,RPNAcc=0.940,RPNL1Loss=0.580,RCNNAcc=0.917,RCNNL1Loss=2.254
[Epoch 0 Iteration 400] Set learning rate to 0.006
[Epoch 0][Batch 499], Speed: 8.038 samples/sec, RPN_Conf=0.141,RPN_SmoothL1=0.068,RCNN_CrossEntropy=0.531,RCNN_SmoothL1=0.192,RPNAcc=0.944,RPNL1Loss=0.568,RCNNAcc=0.914,RCNNL1Loss=2.239
[Epoch 0 Iteration 500] Set learning rate to 0.006666666666666666
[Epoch 0][Batch 599], Speed: 8.050 samples/sec, RPN_Conf=0.134,RPN_SmoothL1=0.067,RCNN_CrossEntropy=0.530,RCNN_SmoothL1=0.197,RPNAcc=0.947,RPNL1Loss=0.559,RCNNAcc=0.912,RCNNL1Loss=2.224
[Epoch 0 Iteration 600] Set learning rate to 0.007333333333333333
[Epoch 0][Batch 699], Speed: 8.226 samples/sec, RPN_Conf=0.127,RPN_SmoothL1=0.066,RCNN_CrossEntropy=0.530,RCNN_SmoothL1=0.202,RPNAcc=0.950,RPNL1Loss=0.552,RCNNAcc=0.911,RCNNL1Loss=2.207
[Epoch 0 Iteration 700] Set learning rate to 0.008
[Epoch 0][Batch 799], Speed: 8.117 samples/sec, RPN_Conf=0.122,RPN_SmoothL1=0.065,RCNN_CrossEntropy=0.531,RCNN_SmoothL1=0.205,RPNAcc=0.952,RPNL1Loss=0.546,RCNNAcc=0.909,RCNNL1Loss=2.190
[Epoch 0 Iteration 800] Set learning rate to 0.008666666666666668
[Epoch 0][Batch 899], Speed: 8.141 samples/sec, RPN_Conf=0.119,RPN_SmoothL1=0.064,RCNN_CrossEntropy=0.529,RCNN_SmoothL1=0.207,RPNAcc=0.953,RPNL1Loss=0.540,RCNNAcc=0.908,RCNNL1Loss=2.169
[Epoch 0 Iteration 900] Set learning rate to 0.009333333333333334
[Epoch 0][Batch 999], Speed: 8.182 samples/sec, RPN_Conf=0.114,RPN_SmoothL1=0.064,RCNN_CrossEntropy=0.525,RCNN_SmoothL1=0.208,RPNAcc=0.955,RPNL1Loss=0.536,RCNNAcc=0.907,RCNNL1Loss=2.146
[Epoch 0 Iteration 1000] Set learning rate to 0.01
[Epoch 0][Batch 1099], Speed: 8.117 samples/sec, RPN_Conf=0.111,RPN_SmoothL1=0.063,RCNN_CrossEntropy=0.522,RCNN_SmoothL1=0.209,RPNAcc=0.956,RPNL1Loss=0.531,RCNNAcc=0.907,RCNNL1Loss=2.125
[Epoch 0][Batch 1199], Speed: 8.144 samples/sec, RPN_Conf=0.109,RPN_SmoothL1=0.063,RCNN_CrossEntropy=0.520,RCNN_SmoothL1=0.210,RPNAcc=0.957,RPNL1Loss=0.526,RCNNAcc=0.905,RCNNL1Loss=2.101
[Epoch 0][Batch 1299], Speed: 8.078 samples/sec, RPN_Conf=0.107,RPN_SmoothL1=0.063,RCNN_CrossEntropy=0.518,RCNN_SmoothL1=0.211,RPNAcc=0.958,RPNL1Loss=0.522,RCNNAcc=0.905,RCNNL1Loss=2.080
[Epoch 0][Batch 1399], Speed: 8.137 samples/sec, RPN_Conf=0.105,RPN_SmoothL1=0.062,RCNN_CrossEntropy=0.514,RCNN_SmoothL1=0.211,RPNAcc=0.959,RPNL1Loss=0.518,RCNNAcc=0.904,RCNNL1Loss=2.055
[Epoch 0][Batch 1499], Speed: 8.113 samples/sec, RPN_Conf=0.104,RPN_SmoothL1=0.062,RCNN_CrossEntropy=0.510,RCNN_SmoothL1=0.211,RPNAcc=0.959,RPNL1Loss=0.515,RCNNAcc=0.904,RCNNL1Loss=2.031
[Epoch 0][Batch 1599], Speed: 8.020 samples/sec, RPN_Conf=0.102,RPN_SmoothL1=0.061,RCNN_CrossEntropy=0.505,RCNN_SmoothL1=0.210,RPNAcc=0.960,RPNL1Loss=0.512,RCNNAcc=0.903,RCNNL1Loss=2.007
[Epoch 0][Batch 1699], Speed: 8.104 samples/sec, RPN_Conf=0.100,RPN_SmoothL1=0.061,RCNN_CrossEntropy=0.501,RCNN_SmoothL1=0.209,RPNAcc=0.961,RPNL1Loss=0.508,RCNNAcc=0.903,RCNNL1Loss=1.985
[Epoch 0][Batch 1799], Speed: 8.125 samples/sec, RPN_Conf=0.099,RPN_SmoothL1=0.061,RCNN_CrossEntropy=0.496,RCNN_SmoothL1=0.208,RPNAcc=0.961,RPNL1Loss=0.506,RCNNAcc=0.903,RCNNL1Loss=1.961
