Namespace(batch_size=8, dataset='coco', epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, val_interval=26, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 99], Speed: 8.512 samples/sec, RPN_Conf=0.322,RPN_SmoothL1=0.157,RCNN_CrossEntropy=1.118,RCNN_SmoothL1=0.324,RPNAcc=0.879,RPNL1Loss=0.636,RCNNAcc=0.818,RCNNL1Loss=1.946
[Epoch 0 Iteration 100] Set learning rate to 0.004
[Epoch 0][Batch 199], Speed: 11.807 samples/sec, RPN_Conf=0.279,RPN_SmoothL1=0.154,RCNN_CrossEntropy=1.009,RCNN_SmoothL1=0.352,RPNAcc=0.888,RPNL1Loss=0.613,RCNNAcc=0.817,RCNNL1Loss=1.998
[Epoch 0 Iteration 200] Set learning rate to 0.004666666666666667
[Epoch 0][Batch 299], Speed: 11.779 samples/sec, RPN_Conf=0.255,RPN_SmoothL1=0.150,RCNN_CrossEntropy=0.966,RCNN_SmoothL1=0.382,RPNAcc=0.897,RPNL1Loss=0.593,RCNNAcc=0.811,RCNNL1Loss=2.062
[Epoch 0 Iteration 300] Set learning rate to 0.005333333333333333
[Epoch 0][Batch 399], Speed: 11.828 samples/sec, RPN_Conf=0.240,RPN_SmoothL1=0.147,RCNN_CrossEntropy=0.929,RCNN_SmoothL1=0.397,RPNAcc=0.903,RPNL1Loss=0.586,RCNNAcc=0.808,RCNNL1Loss=2.084
[Epoch 0 Iteration 400] Set learning rate to 0.006
[Epoch 0][Batch 499], Speed: 11.849 samples/sec, RPN_Conf=0.229,RPN_SmoothL1=0.145,RCNN_CrossEntropy=0.897,RCNN_SmoothL1=0.405,RPNAcc=0.907,RPNL1Loss=0.573,RCNNAcc=0.807,RCNNL1Loss=2.087
[Epoch 0 Iteration 500] Set learning rate to 0.006666666666666666
[Epoch 0][Batch 599], Speed: 11.981 samples/sec, RPN_Conf=0.222,RPN_SmoothL1=0.143,RCNN_CrossEntropy=0.872,RCNN_SmoothL1=0.410,RPNAcc=0.910,RPNL1Loss=0.566,RCNNAcc=0.807,RCNNL1Loss=2.083
[Epoch 0 Iteration 600] Set learning rate to 0.007333333333333333
[Epoch 0][Batch 699], Speed: 12.003 samples/sec, RPN_Conf=0.216,RPN_SmoothL1=0.142,RCNN_CrossEntropy=0.850,RCNN_SmoothL1=0.412,RPNAcc=0.912,RPNL1Loss=0.562,RCNNAcc=0.808,RCNNL1Loss=2.072
[Epoch 0 Iteration 700] Set learning rate to 0.008
[Epoch 0][Batch 799], Speed: 12.062 samples/sec, RPN_Conf=0.211,RPN_SmoothL1=0.141,RCNN_CrossEntropy=0.835,RCNN_SmoothL1=0.414,RPNAcc=0.914,RPNL1Loss=0.554,RCNNAcc=0.809,RCNNL1Loss=2.060
[Epoch 0 Iteration 800] Set learning rate to 0.008666666666666668
[Epoch 0][Batch 899], Speed: 11.895 samples/sec, RPN_Conf=0.207,RPN_SmoothL1=0.139,RCNN_CrossEntropy=0.821,RCNN_SmoothL1=0.413,RPNAcc=0.916,RPNL1Loss=0.550,RCNNAcc=0.809,RCNNL1Loss=2.040
[Epoch 0 Iteration 900] Set learning rate to 0.009333333333333334
[Epoch 0][Batch 999], Speed: 12.113 samples/sec, RPN_Conf=0.203,RPN_SmoothL1=0.137,RCNN_CrossEntropy=0.810,RCNN_SmoothL1=0.412,RPNAcc=0.918,RPNL1Loss=0.544,RCNNAcc=0.810,RCNNL1Loss=2.024
[Epoch 0 Iteration 1000] Set learning rate to 0.01
[Epoch 0][Batch 1099], Speed: 12.028 samples/sec, RPN_Conf=0.200,RPN_SmoothL1=0.137,RCNN_CrossEntropy=0.801,RCNN_SmoothL1=0.411,RPNAcc=0.919,RPNL1Loss=0.540,RCNNAcc=0.810,RCNNL1Loss=2.006
[Epoch 0][Batch 1199], Speed: 11.921 samples/sec, RPN_Conf=0.197,RPN_SmoothL1=0.136,RCNN_CrossEntropy=0.791,RCNN_SmoothL1=0.409,RPNAcc=0.920,RPNL1Loss=0.535,RCNNAcc=0.810,RCNNL1Loss=1.986
[Epoch 0][Batch 1299], Speed: 12.087 samples/sec, RPN_Conf=0.194,RPN_SmoothL1=0.135,RCNN_CrossEntropy=0.781,RCNN_SmoothL1=0.407,RPNAcc=0.922,RPNL1Loss=0.532,RCNNAcc=0.811,RCNNL1Loss=1.963
[Epoch 0][Batch 1399], Speed: 12.151 samples/sec, RPN_Conf=0.191,RPN_SmoothL1=0.134,RCNN_CrossEntropy=0.773,RCNN_SmoothL1=0.405,RPNAcc=0.923,RPNL1Loss=0.528,RCNNAcc=0.812,RCNNL1Loss=1.944
