Namespace(batch_size=8, dataset='coco', epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, mixup=False, momentum=0.9, network='resnet50_v1b', no_mixup_epochs=20, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet50_v1b_coco', seed=233, start_epoch=0, val_interval=26, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 99], Speed: 10.250 samples/sec, RPN_Conf=0.335,RPN_SmoothL1=0.154,RCNN_CrossEntropy=1.089,RCNN_SmoothL1=0.315,RPNAcc=0.876,RPNL1Loss=0.626,RCNNAcc=0.823,RCNNL1Loss=1.941
[Epoch 0 Iteration 100] Set learning rate to 0.004
[Epoch 0][Batch 199], Speed: 14.810 samples/sec, RPN_Conf=0.294,RPN_SmoothL1=0.152,RCNN_CrossEntropy=0.968,RCNN_SmoothL1=0.330,RPNAcc=0.885,RPNL1Loss=0.604,RCNNAcc=0.827,RCNNL1Loss=1.962
[Epoch 0 Iteration 200] Set learning rate to 0.004666666666666667
[Epoch 0][Batch 299], Speed: 15.090 samples/sec, RPN_Conf=0.271,RPN_SmoothL1=0.147,RCNN_CrossEntropy=0.928,RCNN_SmoothL1=0.350,RPNAcc=0.892,RPNL1Loss=0.582,RCNNAcc=0.824,RCNNL1Loss=1.988
[Epoch 0 Iteration 300] Set learning rate to 0.005333333333333333
[Epoch 0][Batch 399], Speed: 14.807 samples/sec, RPN_Conf=0.256,RPN_SmoothL1=0.145,RCNN_CrossEntropy=0.899,RCNN_SmoothL1=0.365,RPNAcc=0.896,RPNL1Loss=0.576,RCNNAcc=0.821,RCNNL1Loss=2.005
[Epoch 0 Iteration 400] Set learning rate to 0.006
[Epoch 0][Batch 499], Speed: 14.805 samples/sec, RPN_Conf=0.245,RPN_SmoothL1=0.143,RCNN_CrossEntropy=0.875,RCNN_SmoothL1=0.374,RPNAcc=0.900,RPNL1Loss=0.565,RCNNAcc=0.820,RCNNL1Loss=2.015
[Epoch 0 Iteration 500] Set learning rate to 0.006666666666666666
[Epoch 0][Batch 599], Speed: 14.867 samples/sec, RPN_Conf=0.238,RPN_SmoothL1=0.141,RCNN_CrossEntropy=0.853,RCNN_SmoothL1=0.379,RPNAcc=0.902,RPNL1Loss=0.560,RCNNAcc=0.819,RCNNL1Loss=2.010
[Epoch 0 Iteration 600] Set learning rate to 0.007333333333333333
[Epoch 0][Batch 699], Speed: 14.778 samples/sec, RPN_Conf=0.232,RPN_SmoothL1=0.141,RCNN_CrossEntropy=0.838,RCNN_SmoothL1=0.381,RPNAcc=0.905,RPNL1Loss=0.557,RCNNAcc=0.819,RCNNL1Loss=2.004
[Epoch 0 Iteration 700] Set learning rate to 0.008
[Epoch 0][Batch 799], Speed: 15.180 samples/sec, RPN_Conf=0.226,RPN_SmoothL1=0.140,RCNN_CrossEntropy=0.826,RCNN_SmoothL1=0.385,RPNAcc=0.907,RPNL1Loss=0.552,RCNNAcc=0.819,RCNNL1Loss=1.999
[Epoch 0 Iteration 800] Set learning rate to 0.008666666666666668
[Epoch 0][Batch 899], Speed: 15.126 samples/sec, RPN_Conf=0.221,RPN_SmoothL1=0.138,RCNN_CrossEntropy=0.813,RCNN_SmoothL1=0.387,RPNAcc=0.909,RPNL1Loss=0.548,RCNNAcc=0.819,RCNNL1Loss=1.989
[Epoch 0 Iteration 900] Set learning rate to 0.009333333333333334
[Epoch 0][Batch 999], Speed: 15.130 samples/sec, RPN_Conf=0.217,RPN_SmoothL1=0.137,RCNN_CrossEntropy=0.804,RCNN_SmoothL1=0.387,RPNAcc=0.910,RPNL1Loss=0.544,RCNNAcc=0.818,RCNNL1Loss=1.979
[Epoch 0 Iteration 1000] Set learning rate to 0.01
[Epoch 0][Batch 1099], Speed: 15.063 samples/sec, RPN_Conf=0.214,RPN_SmoothL1=0.137,RCNN_CrossEntropy=0.799,RCNN_SmoothL1=0.388,RPNAcc=0.912,RPNL1Loss=0.541,RCNNAcc=0.818,RCNNL1Loss=1.970
[Epoch 0][Batch 1199], Speed: 15.202 samples/sec, RPN_Conf=0.211,RPN_SmoothL1=0.136,RCNN_CrossEntropy=0.792,RCNN_SmoothL1=0.389,RPNAcc=0.913,RPNL1Loss=0.535,RCNNAcc=0.817,RCNNL1Loss=1.957
