Namespace(batch_size=32, data_shape=300, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='vgg16_atrous', num_workers=32, resume='', save_interval=10, save_prefix='ssd_300_vgg16_atrous_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 99], Speed: 112.990 samples/sec, CrossEntropy=11.955, SmoothL1=4.368
[Epoch 0][Batch 199], Speed: 93.537 samples/sec, CrossEntropy=13.290, SmoothL1=4.298
[Epoch 0][Batch 299], Speed: 188.465 samples/sec, CrossEntropy=12.890, SmoothL1=4.246
[Epoch 0][Batch 399], Speed: 154.064 samples/sec, CrossEntropy=12.355, SmoothL1=4.213
[Epoch 0][Batch 499], Speed: 146.057 samples/sec, CrossEntropy=12.212, SmoothL1=4.192
[Epoch 0][Batch 599], Speed: 113.051 samples/sec, CrossEntropy=12.534, SmoothL1=4.185
[Epoch 0][Batch 699], Speed: 178.164 samples/sec, CrossEntropy=12.864, SmoothL1=4.167
[Epoch 0][Batch 799], Speed: 152.822 samples/sec, CrossEntropy=12.615, SmoothL1=4.133
[Epoch 0][Batch 899], Speed: 142.517 samples/sec, CrossEntropy=12.157, SmoothL1=4.092
[Epoch 0][Batch 999], Speed: 184.382 samples/sec, CrossEntropy=11.607, SmoothL1=4.049
[Epoch 0][Batch 1099], Speed: 178.103 samples/sec, CrossEntropy=11.151, SmoothL1=4.003
[Epoch 0][Batch 1199], Speed: 126.960 samples/sec, CrossEntropy=10.739, SmoothL1=3.959
[Epoch 0][Batch 1299], Speed: 185.221 samples/sec, CrossEntropy=10.393, SmoothL1=3.919
[Epoch 0][Batch 1399], Speed: 159.405 samples/sec, CrossEntropy=10.081, SmoothL1=3.878
[Epoch 0][Batch 1499], Speed: 138.216 samples/sec, CrossEntropy=9.809, SmoothL1=3.846
[Epoch 0][Batch 1599], Speed: 123.686 samples/sec, CrossEntropy=9.567, SmoothL1=3.813
[Epoch 0][Batch 1699], Speed: 185.551 samples/sec, CrossEntropy=9.348, SmoothL1=3.791
[Epoch 0][Batch 1799], Speed: 147.177 samples/sec, CrossEntropy=9.154, SmoothL1=3.772
[Epoch 0][Batch 1899], Speed: 124.640 samples/sec, CrossEntropy=8.979, SmoothL1=3.748
[Epoch 0][Batch 1999], Speed: 189.980 samples/sec, CrossEntropy=8.817, SmoothL1=3.727
[Epoch 0][Batch 2099], Speed: 139.570 samples/sec, CrossEntropy=8.669, SmoothL1=3.710
[Epoch 0][Batch 2199], Speed: 108.883 samples/sec, CrossEntropy=8.535, SmoothL1=3.690
[Epoch 0][Batch 2299], Speed: 200.524 samples/sec, CrossEntropy=8.413, SmoothL1=3.673
[Epoch 0][Batch 2399], Speed: 183.301 samples/sec, CrossEntropy=8.297, SmoothL1=3.656
[Epoch 0][Batch 2499], Speed: 133.456 samples/sec, CrossEntropy=8.193, SmoothL1=3.640
[Epoch 0][Batch 2599], Speed: 189.160 samples/sec, CrossEntropy=8.095, SmoothL1=3.626
[Epoch 0][Batch 2699], Speed: 152.615 samples/sec, CrossEntropy=8.003, SmoothL1=3.614
[Epoch 0][Batch 2799], Speed: 138.185 samples/sec, CrossEntropy=7.915, SmoothL1=3.598
[Epoch 0][Batch 2899], Speed: 113.341 samples/sec, CrossEntropy=7.832, SmoothL1=3.585
[Epoch 0][Batch 2999], Speed: 164.915 samples/sec, CrossEntropy=7.757, SmoothL1=3.574
[Epoch 0][Batch 3099], Speed: 135.305 samples/sec, CrossEntropy=7.684, SmoothL1=3.562
[Epoch 0][Batch 3199], Speed: 125.445 samples/sec, CrossEntropy=7.616, SmoothL1=3.553
[Epoch 0][Batch 3299], Speed: 194.939 samples/sec, CrossEntropy=7.554, SmoothL1=3.541
[Epoch 0][Batch 3399], Speed: 148.738 samples/sec, CrossEntropy=7.493, SmoothL1=3.528
[Epoch 0][Batch 3499], Speed: 215.959 samples/sec, CrossEntropy=7.436, SmoothL1=3.517
[Epoch 0][Batch 3599], Speed: 221.076 samples/sec, CrossEntropy=7.382, SmoothL1=3.509
[Epoch 0] Training cost: 781.271, CrossEntropy=7.349, SmoothL1=3.503
[Epoch 1][Batch 99], Speed: 105.161 samples/sec, CrossEntropy=5.403, SmoothL1=3.157
[Epoch 1][Batch 199], Speed: 98.720 samples/sec, CrossEntropy=5.410, SmoothL1=3.144
[Epoch 1][Batch 299], Speed: 149.888 samples/sec, CrossEntropy=5.416, SmoothL1=3.125
[Epoch 1][Batch 399], Speed: 123.929 samples/sec, CrossEntropy=5.408, SmoothL1=3.109
[Epoch 1][Batch 499], Speed: 172.221 samples/sec, CrossEntropy=5.415, SmoothL1=3.084
[Epoch 1][Batch 599], Speed: 150.080 samples/sec, CrossEntropy=5.413, SmoothL1=3.072
[Epoch 1][Batch 699], Speed: 122.752 samples/sec, CrossEntropy=5.409, SmoothL1=3.066
[Epoch 1][Batch 799], Speed: 181.323 samples/sec, CrossEntropy=5.403, SmoothL1=3.061
[Epoch 1][Batch 899], Speed: 146.151 samples/sec, CrossEntropy=5.398, SmoothL1=3.053
[Epoch 1][Batch 999], Speed: 154.220 samples/sec, CrossEntropy=5.387, SmoothL1=3.044
[Epoch 1][Batch 1099], Speed: 195.759 samples/sec, CrossEntropy=5.378, SmoothL1=3.034
[Epoch 1][Batch 1199], Speed: 164.840 samples/sec, CrossEntropy=5.373, SmoothL1=3.022
[Epoch 1][Batch 1299], Speed: 113.832 samples/sec, CrossEntropy=5.367, SmoothL1=3.011
[Epoch 1][Batch 1399], Speed: 135.366 samples/sec, CrossEntropy=5.360, SmoothL1=3.000
[Epoch 1][Batch 1499], Speed: 184.383 samples/sec, CrossEntropy=5.353, SmoothL1=2.987
[Epoch 1][Batch 1599], Speed: 142.977 samples/sec, CrossEntropy=5.345, SmoothL1=2.984
[Epoch 1][Batch 1699], Speed: 138.176 samples/sec, CrossEntropy=5.336, SmoothL1=2.977
[Epoch 1][Batch 1799], Speed: 176.472 samples/sec, CrossEntropy=5.326, SmoothL1=2.974
[Epoch 1][Batch 1899], Speed: 148.349 samples/sec, CrossEntropy=5.317, SmoothL1=2.972
[Epoch 1][Batch 1999], Speed: 117.101 samples/sec, CrossEntropy=5.310, SmoothL1=2.968
[Epoch 1][Batch 2099], Speed: 177.335 samples/sec, CrossEntropy=5.301, SmoothL1=2.961
[Epoch 1][Batch 2199], Speed: 158.622 samples/sec, CrossEntropy=5.290, SmoothL1=2.950
[Epoch 1][Batch 2299], Speed: 122.709 samples/sec, CrossEntropy=5.283, SmoothL1=2.944
[Epoch 1][Batch 2399], Speed: 193.762 samples/sec, CrossEntropy=5.273, SmoothL1=2.936
[Epoch 1][Batch 2499], Speed: 175.364 samples/sec, CrossEntropy=5.263, SmoothL1=2.933
[Epoch 1][Batch 2599], Speed: 161.025 samples/sec, CrossEntropy=5.254, SmoothL1=2.927
[Epoch 1][Batch 2699], Speed: 172.995 samples/sec, CrossEntropy=5.245, SmoothL1=2.920
[Epoch 1][Batch 2799], Speed: 172.591 samples/sec, CrossEntropy=5.235, SmoothL1=2.914
[Epoch 1][Batch 2899], Speed: 122.750 samples/sec, CrossEntropy=5.225, SmoothL1=2.907
[Epoch 1][Batch 2999], Speed: 193.258 samples/sec, CrossEntropy=5.216, SmoothL1=2.903
[Epoch 1][Batch 3099], Speed: 201.153 samples/sec, CrossEntropy=5.206, SmoothL1=2.897
[Epoch 1][Batch 3199], Speed: 157.532 samples/sec, CrossEntropy=5.196, SmoothL1=2.891
[Epoch 1][Batch 3299], Speed: 112.282 samples/sec, CrossEntropy=5.187, SmoothL1=2.887
[Epoch 1][Batch 3399], Speed: 182.920 samples/sec, CrossEntropy=5.178, SmoothL1=2.880
[Epoch 1][Batch 3499], Speed: 218.395 samples/sec, CrossEntropy=5.168, SmoothL1=2.873
[Epoch 1][Batch 3599], Speed: 213.453 samples/sec, CrossEntropy=5.158, SmoothL1=2.868
[Epoch 1] Training cost: 780.762, CrossEntropy=5.152, SmoothL1=2.866
[Epoch 2][Batch 99], Speed: 76.213 samples/sec, CrossEntropy=4.782, SmoothL1=2.682
[Epoch 2][Batch 199], Speed: 109.853 samples/sec, CrossEntropy=4.784, SmoothL1=2.681
[Epoch 2][Batch 299], Speed: 193.515 samples/sec, CrossEntropy=4.778, SmoothL1=2.685
[Epoch 2][Batch 399], Speed: 156.273 samples/sec, CrossEntropy=4.781, SmoothL1=2.672
[Epoch 2][Batch 499], Speed: 156.126 samples/sec, CrossEntropy=4.772, SmoothL1=2.663
[Epoch 2][Batch 599], Speed: 145.140 samples/sec, CrossEntropy=4.770, SmoothL1=2.685
[Epoch 2][Batch 699], Speed: 197.472 samples/sec, CrossEntropy=4.762, SmoothL1=2.680
[Epoch 2][Batch 799], Speed: 175.316 samples/sec, CrossEntropy=4.753, SmoothL1=2.668
[Epoch 2][Batch 899], Speed: 164.927 samples/sec, CrossEntropy=4.746, SmoothL1=2.669
[Epoch 2][Batch 999], Speed: 179.912 samples/sec, CrossEntropy=4.738, SmoothL1=2.664
[Epoch 2][Batch 1099], Speed: 152.334 samples/sec, CrossEntropy=4.729, SmoothL1=2.659
[Epoch 2][Batch 1199], Speed: 139.020 samples/sec, CrossEntropy=4.719, SmoothL1=2.653
[Epoch 2][Batch 1299], Speed: 200.989 samples/sec, CrossEntropy=4.715, SmoothL1=2.656
[Epoch 2][Batch 1399], Speed: 187.334 samples/sec, CrossEntropy=4.711, SmoothL1=2.654
[Epoch 2][Batch 1499], Speed: 170.683 samples/sec, CrossEntropy=4.703, SmoothL1=2.653
[Epoch 2][Batch 1599], Speed: 149.017 samples/sec, CrossEntropy=4.698, SmoothL1=2.655
[Epoch 2][Batch 1699], Speed: 131.269 samples/sec, CrossEntropy=4.691, SmoothL1=2.652
[Epoch 2][Batch 1799], Speed: 159.242 samples/sec, CrossEntropy=4.685, SmoothL1=2.650
[Epoch 2][Batch 1899], Speed: 125.374 samples/sec, CrossEntropy=4.678, SmoothL1=2.647
[Epoch 2][Batch 1999], Speed: 187.628 samples/sec, CrossEntropy=4.670, SmoothL1=2.648
[Epoch 2][Batch 2099], Speed: 189.522 samples/sec, CrossEntropy=4.662, SmoothL1=2.647
[Epoch 2][Batch 2199], Speed: 179.452 samples/sec, CrossEntropy=4.655, SmoothL1=2.643
[Epoch 2][Batch 2299], Speed: 110.844 samples/sec, CrossEntropy=4.649, SmoothL1=2.639
[Epoch 2][Batch 2399], Speed: 166.657 samples/sec, CrossEntropy=4.643, SmoothL1=2.638
[Epoch 2][Batch 2499], Speed: 154.477 samples/sec, CrossEntropy=4.639, SmoothL1=2.637
[Epoch 2][Batch 2599], Speed: 123.792 samples/sec, CrossEntropy=4.634, SmoothL1=2.634
[Epoch 2][Batch 2699], Speed: 181.498 samples/sec, CrossEntropy=4.627, SmoothL1=2.630
[Epoch 2][Batch 2799], Speed: 138.784 samples/sec, CrossEntropy=4.621, SmoothL1=2.626
[Epoch 2][Batch 2899], Speed: 124.381 samples/sec, CrossEntropy=4.616, SmoothL1=2.625
[Epoch 2][Batch 2999], Speed: 193.096 samples/sec, CrossEntropy=4.609, SmoothL1=2.621
[Epoch 2][Batch 3099], Speed: 165.339 samples/sec, CrossEntropy=4.604, SmoothL1=2.621
[Epoch 2][Batch 3199], Speed: 146.804 samples/sec, CrossEntropy=4.599, SmoothL1=2.619
[Epoch 2][Batch 3299], Speed: 209.072 samples/sec, CrossEntropy=4.592, SmoothL1=2.615
[Epoch 2][Batch 3399], Speed: 151.263 samples/sec, CrossEntropy=4.587, SmoothL1=2.614
[Epoch 2][Batch 3499], Speed: 220.776 samples/sec, CrossEntropy=4.582, SmoothL1=2.612
[Epoch 2][Batch 3599], Speed: 204.273 samples/sec, CrossEntropy=4.577, SmoothL1=2.610
[Epoch 2] Training cost: 782.208, CrossEntropy=4.575, SmoothL1=2.611
[Epoch 3][Batch 99], Speed: 116.759 samples/sec, CrossEntropy=4.373, SmoothL1=2.542
[Epoch 3][Batch 199], Speed: 95.196 samples/sec, CrossEntropy=4.386, SmoothL1=2.546
[Epoch 3][Batch 299], Speed: 118.449 samples/sec, CrossEntropy=4.378, SmoothL1=2.538
[Epoch 3][Batch 399], Speed: 161.024 samples/sec, CrossEntropy=4.372, SmoothL1=2.524
[Epoch 3][Batch 499], Speed: 186.484 samples/sec, CrossEntropy=4.375, SmoothL1=2.526
[Epoch 3][Batch 599], Speed: 126.687 samples/sec, CrossEntropy=4.367, SmoothL1=2.526
[Epoch 3][Batch 699], Speed: 173.343 samples/sec, CrossEntropy=4.366, SmoothL1=2.519
[Epoch 3][Batch 799], Speed: 167.988 samples/sec, CrossEntropy=4.361, SmoothL1=2.524
[Epoch 3][Batch 899], Speed: 163.007 samples/sec, CrossEntropy=4.361, SmoothL1=2.527
[Epoch 3][Batch 999], Speed: 119.103 samples/sec, CrossEntropy=4.356, SmoothL1=2.527
[Epoch 3][Batch 1099], Speed: 172.703 samples/sec, CrossEntropy=4.350, SmoothL1=2.524
[Epoch 3][Batch 1199], Speed: 156.122 samples/sec, CrossEntropy=4.348, SmoothL1=2.521
[Epoch 3][Batch 1299], Speed: 129.660 samples/sec, CrossEntropy=4.342, SmoothL1=2.516
[Epoch 3][Batch 1399], Speed: 177.566 samples/sec, CrossEntropy=4.336, SmoothL1=2.514
[Epoch 3][Batch 1499], Speed: 143.044 samples/sec, CrossEntropy=4.335, SmoothL1=2.511
