Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='mobilenet1.0', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_mobilenet1.0_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 99], Speed: 271.845 samples/sec, CrossEntropy=11.553, SmoothL1=6.402
[Epoch 0][Batch 199], Speed: 270.942 samples/sec, CrossEntropy=9.012, SmoothL1=6.294
[Epoch 0][Batch 299], Speed: 232.245 samples/sec, CrossEntropy=8.060, SmoothL1=6.125
[Epoch 0][Batch 399], Speed: 216.577 samples/sec, CrossEntropy=7.525, SmoothL1=5.968
[Epoch 0][Batch 499], Speed: 230.541 samples/sec, CrossEntropy=7.183, SmoothL1=5.851
[Epoch 0][Batch 599], Speed: 186.195 samples/sec, CrossEntropy=6.940, SmoothL1=5.744
[Epoch 0][Batch 699], Speed: 184.376 samples/sec, CrossEntropy=6.757, SmoothL1=5.666
[Epoch 0][Batch 799], Speed: 206.865 samples/sec, CrossEntropy=6.619, SmoothL1=5.594
[Epoch 0][Batch 899], Speed: 157.260 samples/sec, CrossEntropy=6.503, SmoothL1=5.537
[Epoch 0][Batch 999], Speed: 88.996 samples/sec, CrossEntropy=6.408, SmoothL1=5.487
[Epoch 0][Batch 1099], Speed: 185.009 samples/sec, CrossEntropy=6.330, SmoothL1=5.435
[Epoch 0][Batch 1199], Speed: 212.183 samples/sec, CrossEntropy=6.263, SmoothL1=5.390
[Epoch 0][Batch 1299], Speed: 144.300 samples/sec, CrossEntropy=6.206, SmoothL1=5.342
[Epoch 0][Batch 1399], Speed: 183.959 samples/sec, CrossEntropy=6.153, SmoothL1=5.287
[Epoch 0][Batch 1499], Speed: 127.370 samples/sec, CrossEntropy=6.105, SmoothL1=5.246
[Epoch 0][Batch 1599], Speed: 167.609 samples/sec, CrossEntropy=6.063, SmoothL1=5.210
[Epoch 0][Batch 1699], Speed: 201.896 samples/sec, CrossEntropy=6.022, SmoothL1=5.191
[Epoch 0][Batch 1799], Speed: 126.885 samples/sec, CrossEntropy=5.984, SmoothL1=5.168
[Epoch 0][Batch 1899], Speed: 177.218 samples/sec, CrossEntropy=5.951, SmoothL1=5.137
[Epoch 0][Batch 1999], Speed: 197.908 samples/sec, CrossEntropy=5.919, SmoothL1=5.118
[Epoch 0][Batch 2099], Speed: 176.155 samples/sec, CrossEntropy=5.890, SmoothL1=5.096
[Epoch 0][Batch 2199], Speed: 134.725 samples/sec, CrossEntropy=5.863, SmoothL1=5.077
[Epoch 0][Batch 2299], Speed: 100.442 samples/sec, CrossEntropy=5.837, SmoothL1=5.064
[Epoch 0][Batch 2399], Speed: 176.503 samples/sec, CrossEntropy=5.813, SmoothL1=5.042
[Epoch 0][Batch 2499], Speed: 186.756 samples/sec, CrossEntropy=5.791, SmoothL1=5.029
[Epoch 0][Batch 2599], Speed: 203.761 samples/sec, CrossEntropy=5.768, SmoothL1=5.009
[Epoch 0][Batch 2699], Speed: 145.549 samples/sec, CrossEntropy=5.747, SmoothL1=4.997
[Epoch 0][Batch 2799], Speed: 132.363 samples/sec, CrossEntropy=5.725, SmoothL1=4.982
[Epoch 0][Batch 2899], Speed: 168.955 samples/sec, CrossEntropy=5.704, SmoothL1=4.972
[Epoch 0][Batch 2999], Speed: 150.925 samples/sec, CrossEntropy=5.685, SmoothL1=4.965
