Namespace(batch_size=32, data_shape=512, dataset='coco', epochs=240, gpus='0,1,2,3', log_interval=100, lr=0.001, lr_decay=0.1, lr_decay_epoch='160,200', momentum=0.9, network='resnet50_v1', num_workers=32, resume='', save_interval=10, save_prefix='ssd_512_resnet50_v1_coco', seed=233, start_epoch=0, val_interval=10, wd=0.0005)
Start training from [Epoch 0]
[Epoch 0][Batch 99], Speed: 89.952 samples/sec, CrossEntropy=10.077, SmoothL1=4.600
[Epoch 0][Batch 199], Speed: 117.329 samples/sec, CrossEntropy=8.214, SmoothL1=4.335
[Epoch 0][Batch 299], Speed: 141.562 samples/sec, CrossEntropy=7.498, SmoothL1=4.094
[Epoch 0][Batch 399], Speed: 116.772 samples/sec, CrossEntropy=7.089, SmoothL1=3.900
[Epoch 0][Batch 499], Speed: 127.579 samples/sec, CrossEntropy=6.820, SmoothL1=3.755
[Epoch 0][Batch 599], Speed: 116.021 samples/sec, CrossEntropy=6.625, SmoothL1=3.643
[Epoch 0][Batch 699], Speed: 136.690 samples/sec, CrossEntropy=6.470, SmoothL1=3.561
[Epoch 0][Batch 799], Speed: 118.842 samples/sec, CrossEntropy=6.346, SmoothL1=3.481
[Epoch 0][Batch 899], Speed: 120.630 samples/sec, CrossEntropy=6.244, SmoothL1=3.420
[Epoch 0][Batch 999], Speed: 135.907 samples/sec, CrossEntropy=6.161, SmoothL1=3.373
[Epoch 0][Batch 1099], Speed: 114.784 samples/sec, CrossEntropy=6.085, SmoothL1=3.326
[Epoch 0][Batch 1199], Speed: 118.664 samples/sec, CrossEntropy=6.020, SmoothL1=3.284
[Epoch 0][Batch 1299], Speed: 139.376 samples/sec, CrossEntropy=5.963, SmoothL1=3.241
[Epoch 0][Batch 1399], Speed: 124.518 samples/sec, CrossEntropy=5.908, SmoothL1=3.203
[Epoch 0][Batch 1499], Speed: 120.524 samples/sec, CrossEntropy=5.859, SmoothL1=3.171
[Epoch 0][Batch 1599], Speed: 121.876 samples/sec, CrossEntropy=5.813, SmoothL1=3.139
[Epoch 0][Batch 1699], Speed: 112.999 samples/sec, CrossEntropy=5.768, SmoothL1=3.118
[Epoch 0][Batch 1799], Speed: 116.212 samples/sec, CrossEntropy=5.727, SmoothL1=3.102
[Epoch 0][Batch 1899], Speed: 115.513 samples/sec, CrossEntropy=5.688, SmoothL1=3.076
[Epoch 0][Batch 1999], Speed: 132.485 samples/sec, CrossEntropy=5.650, SmoothL1=3.058
[Epoch 0][Batch 2099], Speed: 127.364 samples/sec, CrossEntropy=5.615, SmoothL1=3.038
[Epoch 0][Batch 2199], Speed: 123.374 samples/sec, CrossEntropy=5.583, SmoothL1=3.018
[Epoch 0][Batch 2299], Speed: 84.154 samples/sec, CrossEntropy=5.552, SmoothL1=3.003
[Epoch 0][Batch 2399], Speed: 129.864 samples/sec, CrossEntropy=5.522, SmoothL1=2.985
