Namespace(batch_size=8, dataset='coco', disable_hybridization=False, epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, momentum=0.9, network='resnet101_v1d', num_workers=8, resume='', save_interval=1, save_prefix='mask_rcnn_fpn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=True, val_interval=2, verbose=True, wd=0.0001)
Trainable parameters:
odict_keys(['P2_conv_lat_weight', 'P2_conv_lat_bias', 'resnetv1d_layers2_conv0_weight', 'resnetv1d_layers2_conv1_weight', 'resnetv1d_layers2_conv2_weight', 'resnetv1d_down2_conv0_weight', 'resnetv1d_layers2_conv3_weight', 'resnetv1d_layers2_conv4_weight', 'resnetv1d_layers2_conv5_weight', 'resnetv1d_layers2_conv6_weight', 'resnetv1d_layers2_conv7_weight', 'resnetv1d_layers2_conv8_weight', 'resnetv1d_layers2_conv9_weight', 'resnetv1d_layers2_conv10_weight', 'resnetv1d_layers2_conv11_weight', 'P3_conv_lat_weight', 'P3_conv_lat_bias', 'resnetv1d_layers3_conv0_weight', 'resnetv1d_layers3_conv1_weight', 'resnetv1d_layers3_conv2_weight', 'resnetv1d_down3_conv0_weight', 'resnetv1d_layers3_conv3_weight', 'resnetv1d_layers3_conv4_weight', 'resnetv1d_layers3_conv5_weight', 'resnetv1d_layers3_conv6_weight', 'resnetv1d_layers3_conv7_weight', 'resnetv1d_layers3_conv8_weight', 'resnetv1d_layers3_conv9_weight', 'resnetv1d_layers3_conv10_weight', 'resnetv1d_layers3_conv11_weight', 'resnetv1d_layers3_conv12_weight', 'resnetv1d_layers3_conv13_weight', 'resnetv1d_layers3_conv14_weight', 'resnetv1d_layers3_conv15_weight', 'resnetv1d_layers3_conv16_weight', 'resnetv1d_layers3_conv17_weight', 'resnetv1d_layers3_conv18_weight', 'resnetv1d_layers3_conv19_weight', 'resnetv1d_layers3_conv20_weight', 'resnetv1d_layers3_conv21_weight', 'resnetv1d_layers3_conv22_weight', 'resnetv1d_layers3_conv23_weight', 'resnetv1d_layers3_conv24_weight', 'resnetv1d_layers3_conv25_weight', 'resnetv1d_layers3_conv26_weight', 'resnetv1d_layers3_conv27_weight', 'resnetv1d_layers3_conv28_weight', 'resnetv1d_layers3_conv29_weight', 'resnetv1d_layers3_conv30_weight', 'resnetv1d_layers3_conv31_weight', 'resnetv1d_layers3_conv32_weight', 'resnetv1d_layers3_conv33_weight', 'resnetv1d_layers3_conv34_weight', 'resnetv1d_layers3_conv35_weight', 'resnetv1d_layers3_conv36_weight', 'resnetv1d_layers3_conv37_weight', 'resnetv1d_layers3_conv38_weight', 'resnetv1d_layers3_conv39_weight', 'resnetv1d_layers3_conv40_weight', 'resnetv1d_layers3_conv41_weight', 'resnetv1d_layers3_conv42_weight', 'resnetv1d_layers3_conv43_weight', 'resnetv1d_layers3_conv44_weight', 'resnetv1d_layers3_conv45_weight', 'resnetv1d_layers3_conv46_weight', 'resnetv1d_layers3_conv47_weight', 'resnetv1d_layers3_conv48_weight', 'resnetv1d_layers3_conv49_weight', 'resnetv1d_layers3_conv50_weight', 'resnetv1d_layers3_conv51_weight', 'resnetv1d_layers3_conv52_weight', 'resnetv1d_layers3_conv53_weight', 'resnetv1d_layers3_conv54_weight', 'resnetv1d_layers3_conv55_weight', 'resnetv1d_layers3_conv56_weight', 'resnetv1d_layers3_conv57_weight', 'resnetv1d_layers3_conv58_weight', 'resnetv1d_layers3_conv59_weight', 'resnetv1d_layers3_conv60_weight', 'resnetv1d_layers3_conv61_weight', 'resnetv1d_layers3_conv62_weight', 'resnetv1d_layers3_conv63_weight', 'resnetv1d_layers3_conv64_weight', 'resnetv1d_layers3_conv65_weight', 'resnetv1d_layers3_conv66_weight', 'resnetv1d_layers3_conv67_weight', 'resnetv1d_layers3_conv68_weight', 'P4_conv_lat_weight', 'P4_conv_lat_bias', 'resnetv1d_layers4_conv0_weight', 'resnetv1d_layers4_conv1_weight', 'resnetv1d_layers4_conv2_weight', 'resnetv1d_down4_conv0_weight', 'resnetv1d_layers4_conv3_weight', 'resnetv1d_layers4_conv4_weight', 'resnetv1d_layers4_conv5_weight', 'resnetv1d_layers4_conv6_weight', 'resnetv1d_layers4_conv7_weight', 'resnetv1d_layers4_conv8_weight', 'P5_conv_lat_weight', 'P5_conv_lat_bias', 'P2_conv1_weight', 'P2_conv1_bias', 'P3_conv1_weight', 'P3_conv1_bias', 'P4_conv1_weight', 'P4_conv1_bias', 'P5_conv1_weight', 'P5_conv1_bias', 'P6_conv1_weight', 'P6_conv1_bias', 'dense0_weight', 'dense0_bias', 'dense1_weight', 'dense1_bias', 'maskrcnn0_dense0_weight', 'maskrcnn0_dense0_bias', 'maskrcnn0_dense1_weight', 'maskrcnn0_dense1_bias', 'maskrcnn0_rpn0_rpnanchorgenerator0_anchor_', 'maskrcnn0_rpn0_rpnanchorgenerator1_anchor_', 'maskrcnn0_rpn0_rpnanchorgenerator2_anchor_', 'maskrcnn0_rpn0_rpnanchorgenerator3_anchor_', 'maskrcnn0_rpn0_rpnanchorgenerator4_anchor_', 'maskrcnn0_rpn0_rpnhead0_conv0_weight', 'maskrcnn0_rpn0_rpnhead0_conv0_bias', 'maskrcnn0_rpn0_rpnhead0_conv1_weight', 'maskrcnn0_rpn0_rpnhead0_conv1_bias', 'maskrcnn0_rpn0_rpnhead0_conv2_weight', 'maskrcnn0_rpn0_rpnhead0_conv2_bias', 'maskrcnn0_mask0_conv0_weight', 'maskrcnn0_mask0_conv0_bias', 'maskrcnn0_mask0_conv1_weight', 'maskrcnn0_mask0_conv1_bias', 'maskrcnn0_mask0_conv2_weight', 'maskrcnn0_mask0_conv2_bias', 'maskrcnn0_mask0_conv3_weight', 'maskrcnn0_mask0_conv3_bias', 'maskrcnn0_mask0_conv4_weight', 'maskrcnn0_mask0_conv4_bias', 'maskrcnn0_mask0_conv5_weight', 'maskrcnn0_mask0_conv5_bias'])
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 99], Speed: 5.796 samples/sec, RPN_Conf=0.230,RPN_SmoothL1=0.077,RCNN_CrossEntropy=0.590,RCNN_SmoothL1=0.140,RCNN_Mask=0.728,RPNAcc=0.897,RPNL1Loss=0.640,RCNNAcc=0.926,RCNNL1Loss=2.169,MaskAcc=0.530,MaskFGAcc=0.569
[Epoch 0 Iteration 100] Set learning rate to 0.004
[Epoch 0][Batch 199], Speed: 6.597 samples/sec, RPN_Conf=0.178,RPN_SmoothL1=0.074,RCNN_CrossEntropy=0.546,RCNN_SmoothL1=0.158,RCNN_Mask=0.697,RPNAcc=0.923,RPNL1Loss=0.616,RCNNAcc=0.924,RCNNL1Loss=2.220,MaskAcc=0.561,MaskFGAcc=0.583
[Epoch 0 Iteration 200] Set learning rate to 0.004666666666666667
[Epoch 0][Batch 299], Speed: 6.666 samples/sec, RPN_Conf=0.156,RPN_SmoothL1=0.071,RCNN_CrossEntropy=0.552,RCNN_SmoothL1=0.177,RCNN_Mask=0.674,RPNAcc=0.934,RPNL1Loss=0.593,RCNNAcc=0.919,RCNNL1Loss=2.259,MaskAcc=0.585,MaskFGAcc=0.602
[Epoch 0 Iteration 300] Set learning rate to 0.005333333333333333
[Epoch 0][Batch 399], Speed: 6.680 samples/sec, RPN_Conf=0.143,RPN_SmoothL1=0.070,RCNN_CrossEntropy=0.560,RCNN_SmoothL1=0.192,RCNN_Mask=0.653,RPNAcc=0.940,RPNL1Loss=0.583,RCNNAcc=0.914,RCNNL1Loss=2.288,MaskAcc=0.608,MaskFGAcc=0.622
[Epoch 0 Iteration 400] Set learning rate to 0.006
[Epoch 0][Batch 499], Speed: 6.631 samples/sec, RPN_Conf=0.133,RPN_SmoothL1=0.068,RCNN_CrossEntropy=0.563,RCNN_SmoothL1=0.203,RCNN_Mask=0.632,RPNAcc=0.945,RPNL1Loss=0.570,RCNNAcc=0.910,RCNNL1Loss=2.298,MaskAcc=0.631,MaskFGAcc=0.638
[Epoch 0 Iteration 500] Set learning rate to 0.006666666666666666
[Epoch 0][Batch 599], Speed: 6.719 samples/sec, RPN_Conf=0.127,RPN_SmoothL1=0.067,RCNN_CrossEntropy=0.566,RCNN_SmoothL1=0.211,RCNN_Mask=0.615,RPNAcc=0.948,RPNL1Loss=0.563,RCNNAcc=0.908,RCNNL1Loss=2.292,MaskAcc=0.648,MaskFGAcc=0.646
[Epoch 0 Iteration 600] Set learning rate to 0.007333333333333333
[Epoch 0][Batch 699], Speed: 6.676 samples/sec, RPN_Conf=0.121,RPN_SmoothL1=0.067,RCNN_CrossEntropy=0.566,RCNN_SmoothL1=0.215,RCNN_Mask=0.600,RPNAcc=0.950,RPNL1Loss=0.557,RCNNAcc=0.906,RCNNL1Loss=2.279,MaskAcc=0.662,MaskFGAcc=0.651
[Epoch 0 Iteration 700] Set learning rate to 0.008
[Epoch 0][Batch 799], Speed: 6.621 samples/sec, RPN_Conf=0.117,RPN_SmoothL1=0.065,RCNN_CrossEntropy=0.570,RCNN_SmoothL1=0.220,RCNN_Mask=0.585,RPNAcc=0.952,RPNL1Loss=0.549,RCNNAcc=0.904,RCNNL1Loss=2.263,MaskAcc=0.676,MaskFGAcc=0.656
[Epoch 0 Iteration 800] Set learning rate to 0.008666666666666668
[Epoch 0][Batch 899], Speed: 6.634 samples/sec, RPN_Conf=0.114,RPN_SmoothL1=0.064,RCNN_CrossEntropy=0.570,RCNN_SmoothL1=0.223,RCNN_Mask=0.571,RPNAcc=0.954,RPNL1Loss=0.542,RCNNAcc=0.903,RCNNL1Loss=2.245,MaskAcc=0.688,MaskFGAcc=0.657
[Epoch 0 Iteration 900] Set learning rate to 0.009333333333333334
[Epoch 0][Batch 999], Speed: 6.645 samples/sec, RPN_Conf=0.110,RPN_SmoothL1=0.064,RCNN_CrossEntropy=0.567,RCNN_SmoothL1=0.224,RCNN_Mask=0.560,RPNAcc=0.955,RPNL1Loss=0.536,RCNNAcc=0.902,RCNNL1Loss=2.224,MaskAcc=0.698,MaskFGAcc=0.656
[Epoch 0 Iteration 1000] Set learning rate to 0.01
[Epoch 0][Batch 1099], Speed: 6.669 samples/sec, RPN_Conf=0.107,RPN_SmoothL1=0.063,RCNN_CrossEntropy=0.566,RCNN_SmoothL1=0.225,RCNN_Mask=0.549,RPNAcc=0.957,RPNL1Loss=0.531,RCNNAcc=0.901,RCNNL1Loss=2.204,MaskAcc=0.706,MaskFGAcc=0.654
[Epoch 0][Batch 1199], Speed: 6.647 samples/sec, RPN_Conf=0.105,RPN_SmoothL1=0.063,RCNN_CrossEntropy=0.565,RCNN_SmoothL1=0.227,RCNN_Mask=0.541,RPNAcc=0.958,RPNL1Loss=0.526,RCNNAcc=0.900,RCNNL1Loss=2.179,MaskAcc=0.713,MaskFGAcc=0.651
[Epoch 0][Batch 1299], Speed: 6.632 samples/sec, RPN_Conf=0.104,RPN_SmoothL1=0.063,RCNN_CrossEntropy=0.563,RCNN_SmoothL1=0.227,RCNN_Mask=0.533,RPNAcc=0.958,RPNL1Loss=0.522,RCNNAcc=0.899,RCNNL1Loss=2.150,MaskAcc=0.720,MaskFGAcc=0.648
[Epoch 0][Batch 1399], Speed: 6.705 samples/sec, RPN_Conf=0.102,RPN_SmoothL1=0.062,RCNN_CrossEntropy=0.560,RCNN_SmoothL1=0.227,RCNN_Mask=0.526,RPNAcc=0.959,RPNL1Loss=0.518,RCNNAcc=0.899,RCNNL1Loss=2.123,MaskAcc=0.725,MaskFGAcc=0.647
[Epoch 0][Batch 1499], Speed: 6.605 samples/sec, RPN_Conf=0.100,RPN_SmoothL1=0.062,RCNN_CrossEntropy=0.557,RCNN_SmoothL1=0.226,RCNN_Mask=0.519,RPNAcc=0.960,RPNL1Loss=0.514,RCNNAcc=0.898,RCNNL1Loss=2.093,MaskAcc=0.731,MaskFGAcc=0.645
[Epoch 0][Batch 1599], Speed: 6.643 samples/sec, RPN_Conf=0.098,RPN_SmoothL1=0.061,RCNN_CrossEntropy=0.553,RCNN_SmoothL1=0.225,RCNN_Mask=0.512,RPNAcc=0.961,RPNL1Loss=0.511,RCNNAcc=0.898,RCNNL1Loss=2.064,MaskAcc=0.736,MaskFGAcc=0.644
[Epoch 0][Batch 1699], Speed: 6.656 samples/sec, RPN_Conf=0.097,RPN_SmoothL1=0.061,RCNN_CrossEntropy=0.548,RCNN_SmoothL1=0.224,RCNN_Mask=0.506,RPNAcc=0.961,RPNL1Loss=0.507,RCNNAcc=0.898,RCNNL1Loss=2.038,MaskAcc=0.740,MaskFGAcc=0.643
