Namespace(batch_size=8, dataset='coco', disable_hybridization=False, epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, momentum=0.9, network='resnet101_v1d', num_workers=8, resume='', save_interval=1, save_prefix='mask_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=2, verbose=True, wd=0.0001)
Trainable parameters:
odict_keys(['resnetv1d_layers2_conv0_weight', 'resnetv1d_layers2_conv1_weight', 'resnetv1d_layers2_conv2_weight', 'resnetv1d_down2_conv0_weight', 'resnetv1d_layers2_conv3_weight', 'resnetv1d_layers2_conv4_weight', 'resnetv1d_layers2_conv5_weight', 'resnetv1d_layers2_conv6_weight', 'resnetv1d_layers2_conv7_weight', 'resnetv1d_layers2_conv8_weight', 'resnetv1d_layers2_conv9_weight', 'resnetv1d_layers2_conv10_weight', 'resnetv1d_layers2_conv11_weight', 'resnetv1d_layers3_conv0_weight', 'resnetv1d_layers3_conv1_weight', 'resnetv1d_layers3_conv2_weight', 'resnetv1d_down3_conv0_weight', 'resnetv1d_layers3_conv3_weight', 'resnetv1d_layers3_conv4_weight', 'resnetv1d_layers3_conv5_weight', 'resnetv1d_layers3_conv6_weight', 'resnetv1d_layers3_conv7_weight', 'resnetv1d_layers3_conv8_weight', 'resnetv1d_layers3_conv9_weight', 'resnetv1d_layers3_conv10_weight', 'resnetv1d_layers3_conv11_weight', 'resnetv1d_layers3_conv12_weight', 'resnetv1d_layers3_conv13_weight', 'resnetv1d_layers3_conv14_weight', 'resnetv1d_layers3_conv15_weight', 'resnetv1d_layers3_conv16_weight', 'resnetv1d_layers3_conv17_weight', 'resnetv1d_layers3_conv18_weight', 'resnetv1d_layers3_conv19_weight', 'resnetv1d_layers3_conv20_weight', 'resnetv1d_layers3_conv21_weight', 'resnetv1d_layers3_conv22_weight', 'resnetv1d_layers3_conv23_weight', 'resnetv1d_layers3_conv24_weight', 'resnetv1d_layers3_conv25_weight', 'resnetv1d_layers3_conv26_weight', 'resnetv1d_layers3_conv27_weight', 'resnetv1d_layers3_conv28_weight', 'resnetv1d_layers3_conv29_weight', 'resnetv1d_layers3_conv30_weight', 'resnetv1d_layers3_conv31_weight', 'resnetv1d_layers3_conv32_weight', 'resnetv1d_layers3_conv33_weight', 'resnetv1d_layers3_conv34_weight', 'resnetv1d_layers3_conv35_weight', 'resnetv1d_layers3_conv36_weight', 'resnetv1d_layers3_conv37_weight', 'resnetv1d_layers3_conv38_weight', 'resnetv1d_layers3_conv39_weight', 'resnetv1d_layers3_conv40_weight', 'resnetv1d_layers3_conv41_weight', 'resnetv1d_layers3_conv42_weight', 'resnetv1d_layers3_conv43_weight', 'resnetv1d_layers3_conv44_weight', 'resnetv1d_layers3_conv45_weight', 'resnetv1d_layers3_conv46_weight', 'resnetv1d_layers3_conv47_weight', 'resnetv1d_layers3_conv48_weight', 'resnetv1d_layers3_conv49_weight', 'resnetv1d_layers3_conv50_weight', 'resnetv1d_layers3_conv51_weight', 'resnetv1d_layers3_conv52_weight', 'resnetv1d_layers3_conv53_weight', 'resnetv1d_layers3_conv54_weight', 'resnetv1d_layers3_conv55_weight', 'resnetv1d_layers3_conv56_weight', 'resnetv1d_layers3_conv57_weight', 'resnetv1d_layers3_conv58_weight', 'resnetv1d_layers3_conv59_weight', 'resnetv1d_layers3_conv60_weight', 'resnetv1d_layers3_conv61_weight', 'resnetv1d_layers3_conv62_weight', 'resnetv1d_layers3_conv63_weight', 'resnetv1d_layers3_conv64_weight', 'resnetv1d_layers3_conv65_weight', 'resnetv1d_layers3_conv66_weight', 'resnetv1d_layers3_conv67_weight', 'resnetv1d_layers3_conv68_weight', 'resnetv1d_layers4_conv0_weight', 'resnetv1d_layers4_conv1_weight', 'resnetv1d_layers4_conv2_weight', 'resnetv1d_down4_conv0_weight', 'resnetv1d_layers4_conv3_weight', 'resnetv1d_layers4_conv4_weight', 'resnetv1d_layers4_conv5_weight', 'resnetv1d_layers4_conv6_weight', 'resnetv1d_layers4_conv7_weight', 'resnetv1d_layers4_conv8_weight', 'maskrcnn0_dense0_weight', 'maskrcnn0_dense0_bias', 'maskrcnn0_dense1_weight', 'maskrcnn0_dense1_bias', 'maskrcnn0_rpn0_rpnanchorgenerator0_anchor_', 'maskrcnn0_rpn0_conv0_weight', 'maskrcnn0_rpn0_conv0_bias', 'maskrcnn0_rpn0_conv1_weight', 'maskrcnn0_rpn0_conv1_bias', 'maskrcnn0_rpn0_conv2_weight', 'maskrcnn0_rpn0_conv2_bias', 'maskrcnn0_mask0_conv0_weight', 'maskrcnn0_mask0_conv0_bias', 'maskrcnn0_mask0_conv1_weight', 'maskrcnn0_mask0_conv1_bias'])
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 99], Speed: 5.582 samples/sec, RPN_Conf=0.326,RPN_SmoothL1=0.154,RCNN_CrossEntropy=1.129,RCNN_SmoothL1=0.324,RCNN_Mask=0.674,RPNAcc=0.879,RPNL1Loss=0.621,RCNNAcc=0.821,RCNNL1Loss=1.968,MaskAcc=0.601,MaskFGAcc=0.579
[Epoch 0 Iteration 100] Set learning rate to 0.004
[Epoch 0][Batch 199], Speed: 8.716 samples/sec, RPN_Conf=0.277,RPN_SmoothL1=0.150,RCNN_CrossEntropy=1.052,RCNN_SmoothL1=0.359,RCNN_Mask=0.615,RPNAcc=0.891,RPNL1Loss=0.594,RCNNAcc=0.816,RCNNL1Loss=2.030,MaskAcc=0.655,MaskFGAcc=0.617
[Epoch 0 Iteration 200] Set learning rate to 0.004666666666666667
[Epoch 0][Batch 299], Speed: 9.092 samples/sec, RPN_Conf=0.252,RPN_SmoothL1=0.148,RCNN_CrossEntropy=1.031,RCNN_SmoothL1=0.387,RCNN_Mask=0.587,RPNAcc=0.899,RPNL1Loss=0.584,RCNNAcc=0.811,RCNNL1Loss=2.084,MaskAcc=0.680,MaskFGAcc=0.627
[Epoch 0 Iteration 300] Set learning rate to 0.005333333333333333
[Epoch 0][Batch 399], Speed: 9.132 samples/sec, RPN_Conf=0.240,RPN_SmoothL1=0.145,RCNN_CrossEntropy=1.009,RCNN_SmoothL1=0.401,RCNN_Mask=0.571,RPNAcc=0.904,RPNL1Loss=0.574,RCNNAcc=0.809,RCNNL1Loss=2.103,MaskAcc=0.694,MaskFGAcc=0.623
[Epoch 0 Iteration 400] Set learning rate to 0.006
[Epoch 0][Batch 499], Speed: 8.889 samples/sec, RPN_Conf=0.229,RPN_SmoothL1=0.143,RCNN_CrossEntropy=0.975,RCNN_SmoothL1=0.409,RCNN_Mask=0.556,RPNAcc=0.908,RPNL1Loss=0.562,RCNNAcc=0.808,RCNNL1Loss=2.105,MaskAcc=0.707,MaskFGAcc=0.615
[Epoch 0 Iteration 500] Set learning rate to 0.006666666666666666
[Epoch 0][Batch 599], Speed: 9.208 samples/sec, RPN_Conf=0.222,RPN_SmoothL1=0.141,RCNN_CrossEntropy=0.948,RCNN_SmoothL1=0.412,RCNN_Mask=0.546,RPNAcc=0.911,RPNL1Loss=0.556,RCNNAcc=0.808,RCNNL1Loss=2.092,MaskAcc=0.715,MaskFGAcc=0.607
[Epoch 0 Iteration 600] Set learning rate to 0.007333333333333333
[Epoch 0][Batch 699], Speed: 9.802 samples/sec, RPN_Conf=0.216,RPN_SmoothL1=0.140,RCNN_CrossEntropy=0.928,RCNN_SmoothL1=0.414,RCNN_Mask=0.538,RPNAcc=0.913,RPNL1Loss=0.553,RCNNAcc=0.808,RCNNL1Loss=2.083,MaskAcc=0.722,MaskFGAcc=0.599
[Epoch 0 Iteration 700] Set learning rate to 0.008
[Epoch 0][Batch 799], Speed: 9.948 samples/sec, RPN_Conf=0.212,RPN_SmoothL1=0.139,RCNN_CrossEntropy=0.909,RCNN_SmoothL1=0.415,RCNN_Mask=0.529,RPNAcc=0.914,RPNL1Loss=0.548,RCNNAcc=0.808,RCNNL1Loss=2.068,MaskAcc=0.729,MaskFGAcc=0.595
[Epoch 0 Iteration 800] Set learning rate to 0.008666666666666668
[Epoch 0][Batch 899], Speed: 10.220 samples/sec, RPN_Conf=0.207,RPN_SmoothL1=0.139,RCNN_CrossEntropy=0.892,RCNN_SmoothL1=0.415,RCNN_Mask=0.520,RPNAcc=0.916,RPNL1Loss=0.546,RCNNAcc=0.809,RCNNL1Loss=2.050,MaskAcc=0.736,MaskFGAcc=0.591
[Epoch 0 Iteration 900] Set learning rate to 0.009333333333333334
[Epoch 0][Batch 999], Speed: 10.140 samples/sec, RPN_Conf=0.203,RPN_SmoothL1=0.137,RCNN_CrossEntropy=0.879,RCNN_SmoothL1=0.413,RCNN_Mask=0.513,RPNAcc=0.918,RPNL1Loss=0.541,RCNNAcc=0.810,RCNNL1Loss=2.030,MaskAcc=0.741,MaskFGAcc=0.588
[Epoch 0 Iteration 1000] Set learning rate to 0.01
[Epoch 0][Batch 1099], Speed: 10.219 samples/sec, RPN_Conf=0.200,RPN_SmoothL1=0.137,RCNN_CrossEntropy=0.867,RCNN_SmoothL1=0.412,RCNN_Mask=0.506,RPNAcc=0.919,RPNL1Loss=0.539,RCNNAcc=0.810,RCNNL1Loss=2.011,MaskAcc=0.746,MaskFGAcc=0.585
[Epoch 0][Batch 1199], Speed: 10.215 samples/sec, RPN_Conf=0.197,RPN_SmoothL1=0.136,RCNN_CrossEntropy=0.858,RCNN_SmoothL1=0.411,RCNN_Mask=0.500,RPNAcc=0.920,RPNL1Loss=0.534,RCNNAcc=0.810,RCNNL1Loss=1.992,MaskAcc=0.750,MaskFGAcc=0.582
[Epoch 0][Batch 1299], Speed: 9.956 samples/sec, RPN_Conf=0.194,RPN_SmoothL1=0.135,RCNN_CrossEntropy=0.845,RCNN_SmoothL1=0.409,RCNN_Mask=0.495,RPNAcc=0.922,RPNL1Loss=0.531,RCNNAcc=0.811,RCNNL1Loss=1.970,MaskAcc=0.754,MaskFGAcc=0.579
[Epoch 0][Batch 1399], Speed: 10.088 samples/sec, RPN_Conf=0.192,RPN_SmoothL1=0.134,RCNN_CrossEntropy=0.835,RCNN_SmoothL1=0.406,RCNN_Mask=0.491,RPNAcc=0.923,RPNL1Loss=0.527,RCNNAcc=0.811,RCNNL1Loss=1.949,MaskAcc=0.757,MaskFGAcc=0.577
