Namespace(batch_size=128, data_dir='~/.mxnet/datasets/coco', dtype='float16', input_size='256,192', last_gamma=False, log_interval=20, logging_file='simple_pose_resnet50_v1d.log', lr=0.008, lr_decay=0.1, lr_decay_epoch='90,120', lr_decay_period=0, lr_mode='step', mode='hybrid', model='simple_pose_resnet50_v1b', no_wd=True, num_epochs=140, num_gpus=8, num_joints=17, num_workers=60, save_dir='params_simple_pose_resnet50_v1d', save_frequency=1, use_pretrained=False, use_pretrained_base=True, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [19]	Speed: 351.174862 samples/sec	loss=0.000793	lr=0.000208
Epoch[0] Batch [39]	Speed: 2005.107529 samples/sec	loss=0.000773	lr=0.000427
Epoch[0] Batch [59]	Speed: 2498.884466 samples/sec	loss=0.000774	lr=0.000647
Epoch[0] Batch [79]	Speed: 2453.998629 samples/sec	loss=0.000766	lr=0.000866
Epoch[0] Batch [99]	Speed: 2535.294158 samples/sec	loss=0.000743	lr=0.001085
Epoch[0] Batch [119]	Speed: 2508.791817 samples/sec	loss=0.000762	lr=0.001304
Epoch[0] Batch [139]	Speed: 2420.044895 samples/sec	loss=0.000751	lr=0.001523
Epoch[1] Batch [19]	Speed: 488.742095 samples/sec	loss=0.000763	lr=0.001808
Epoch[1] Batch [39]	Speed: 1875.172831 samples/sec	loss=0.000807	lr=0.002027
Epoch[1] Batch [59]	Speed: 1767.851140 samples/sec	loss=0.000807	lr=0.002247
Epoch[1] Batch [79]	Speed: 1937.596335 samples/sec	loss=0.000754	lr=0.002466
Epoch[1] Batch [99]	Speed: 2455.005211 samples/sec	loss=0.000761	lr=0.002685
Epoch[1] Batch [119]	Speed: 2526.446892 samples/sec	loss=0.000757	lr=0.002904
Epoch[1] Batch [139]	Speed: 2408.734174 samples/sec	loss=0.000789	lr=0.003123
Epoch[2] Batch [19]	Speed: 456.396679 samples/sec	loss=0.000751	lr=0.003408
Epoch[2] Batch [39]	Speed: 1770.322904 samples/sec	loss=0.000764	lr=0.003627
Epoch[2] Batch [59]	Speed: 1747.750444 samples/sec	loss=0.000753	lr=0.003847
Epoch[2] Batch [79]	Speed: 2008.414970 samples/sec	loss=0.000741	lr=0.004066
Epoch[2] Batch [99]	Speed: 2502.315925 samples/sec	loss=0.000761	lr=0.004285
Epoch[2] Batch [119]	Speed: 2553.665615 samples/sec	loss=0.000786	lr=0.004504
Epoch[2] Batch [139]	Speed: 2396.922973 samples/sec	loss=0.000760	lr=0.004723
Epoch[3] Batch [19]	Speed: 440.672630 samples/sec	loss=0.000777	lr=0.005008
Epoch[3] Batch [39]	Speed: 1796.467280 samples/sec	loss=0.000752	lr=0.005227
Epoch[3] Batch [59]	Speed: 1725.662319 samples/sec	loss=0.000746	lr=0.005447
Epoch[3] Batch [79]	Speed: 2072.757026 samples/sec	loss=0.000727	lr=0.005666
Epoch[3] Batch [99]	Speed: 2496.029305 samples/sec	loss=0.000771	lr=0.005885
Epoch[3] Batch [119]	Speed: 2503.213942 samples/sec	loss=0.000730	lr=0.006104
Epoch[3] Batch [139]	Speed: 2406.798833 samples/sec	loss=0.000729	lr=0.006323
Epoch[4] Batch [19]	Speed: 462.913195 samples/sec	loss=0.000757	lr=0.006608
Epoch[4] Batch [39]	Speed: 1857.583582 samples/sec	loss=0.000701	lr=0.006827
Epoch[4] Batch [59]	Speed: 1768.681796 samples/sec	loss=0.000745	lr=0.007047
Epoch[4] Batch [79]	Speed: 2089.724499 samples/sec	loss=0.000698	lr=0.007266
Epoch[4] Batch [99]	Speed: 2462.435558 samples/sec	loss=0.000747	lr=0.007485
Epoch[4] Batch [119]	Speed: 2611.017921 samples/sec	loss=0.000716	lr=0.007704
Epoch[4] Batch [139]	Speed: 2441.098902 samples/sec	loss=0.000726	lr=0.007923
Epoch[5] Batch [19]	Speed: 462.577848 samples/sec	loss=0.000731	lr=0.008000
Epoch[5] Batch [39]	Speed: 1824.764510 samples/sec	loss=0.000705	lr=0.008000
Epoch[5] Batch [59]	Speed: 1821.441132 samples/sec	loss=0.000732	lr=0.008000
Epoch[5] Batch [79]	Speed: 1971.538025 samples/sec	loss=0.000741	lr=0.008000
Epoch[5] Batch [99]	Speed: 2465.041370 samples/sec	loss=0.000726	lr=0.008000
Epoch[5] Batch [119]	Speed: 2469.527933 samples/sec	loss=0.000721	lr=0.008000
Epoch[5] Batch [139]	Speed: 2399.159766 samples/sec	loss=0.000744	lr=0.008000
Epoch[6] Batch [19]	Speed: 452.896719 samples/sec	loss=0.000704	lr=0.008000
Epoch[6] Batch [39]	Speed: 1818.116138 samples/sec	loss=0.000730	lr=0.008000
Epoch[6] Batch [59]	Speed: 1795.902696 samples/sec	loss=0.000695	lr=0.008000
Epoch[6] Batch [79]	Speed: 2086.943149 samples/sec	loss=0.000735	lr=0.008000
Epoch[6] Batch [99]	Speed: 2458.670153 samples/sec	loss=0.000729	lr=0.008000
Epoch[6] Batch [119]	Speed: 2505.935697 samples/sec	loss=0.000722	lr=0.008000
Epoch[6] Batch [139]	Speed: 2404.103820 samples/sec	loss=0.000728	lr=0.008000
Epoch[7] Batch [19]	Speed: 465.193837 samples/sec	loss=0.000747	lr=0.008000
Epoch[7] Batch [39]	Speed: 1825.380438 samples/sec	loss=0.000706	lr=0.008000
Epoch[7] Batch [59]	Speed: 1807.907196 samples/sec	loss=0.000733	lr=0.008000
Epoch[7] Batch [79]	Speed: 2044.992655 samples/sec	loss=0.000705	lr=0.008000
Epoch[7] Batch [99]	Speed: 2473.162340 samples/sec	loss=0.000710	lr=0.008000
Epoch[7] Batch [119]	Speed: 2558.597266 samples/sec	loss=0.000737	lr=0.008000
Epoch[7] Batch [139]	Speed: 2421.827478 samples/sec	loss=0.000759	lr=0.008000
Epoch[8] Batch [19]	Speed: 474.629479 samples/sec	loss=0.000734	lr=0.008000
Epoch[8] Batch [39]	Speed: 1814.099124 samples/sec	loss=0.000716	lr=0.008000
Epoch[8] Batch [59]	Speed: 1757.000482 samples/sec	loss=0.000701	lr=0.008000
Epoch[8] Batch [79]	Speed: 2012.246827 samples/sec	loss=0.000701	lr=0.008000
Epoch[8] Batch [99]	Speed: 2504.548996 samples/sec	loss=0.000706	lr=0.008000
Epoch[8] Batch [119]	Speed: 2589.610269 samples/sec	loss=0.000752	lr=0.008000
Epoch[8] Batch [139]	Speed: 2435.850742 samples/sec	loss=0.000705	lr=0.008000
Epoch[9] Batch [19]	Speed: 458.748478 samples/sec	loss=0.000738	lr=0.008000
Epoch[9] Batch [39]	Speed: 1863.826010 samples/sec	loss=0.000741	lr=0.008000
Epoch[9] Batch [59]	Speed: 1821.418306 samples/sec	loss=0.000729	lr=0.008000
Epoch[9] Batch [79]	Speed: 2091.829479 samples/sec	loss=0.000748	lr=0.008000
Epoch[9] Batch [99]	Speed: 2569.745747 samples/sec	loss=0.000694	lr=0.008000
Epoch[9] Batch [119]	Speed: 2482.860643 samples/sec	loss=0.000734	lr=0.008000
Epoch[9] Batch [139]	Speed: 2392.548570 samples/sec	loss=0.000714	lr=0.008000
Epoch[10] Batch [19]	Speed: 454.658896 samples/sec	loss=0.000722	lr=0.008000
Epoch[10] Batch [39]	Speed: 1866.152443 samples/sec	loss=0.000719	lr=0.008000
Epoch[10] Batch [59]	Speed: 1773.359135 samples/sec	loss=0.000727	lr=0.008000
Epoch[10] Batch [79]	Speed: 2075.827735 samples/sec	loss=0.000732	lr=0.008000
Epoch[10] Batch [99]	Speed: 2458.203312 samples/sec	loss=0.000702	lr=0.008000
Epoch[10] Batch [119]	Speed: 2487.555782 samples/sec	loss=0.000741	lr=0.008000
Epoch[10] Batch [139]	Speed: 2404.737204 samples/sec	loss=0.000725	lr=0.008000
Epoch[11] Batch [19]	Speed: 457.578771 samples/sec	loss=0.000713	lr=0.008000
Epoch[11] Batch [39]	Speed: 1796.822844 samples/sec	loss=0.000709	lr=0.008000
Epoch[11] Batch [59]	Speed: 1777.997572 samples/sec	loss=0.000711	lr=0.008000
Epoch[11] Batch [79]	Speed: 2124.564852 samples/sec	loss=0.000697	lr=0.008000
Epoch[11] Batch [99]	Speed: 2506.079212 samples/sec	loss=0.000700	lr=0.008000
Epoch[11] Batch [119]	Speed: 2504.425517 samples/sec	loss=0.000720	lr=0.008000
Epoch[11] Batch [139]	Speed: 2365.573823 samples/sec	loss=0.000678	lr=0.008000
Epoch[12] Batch [19]	Speed: 455.637991 samples/sec	loss=0.000755	lr=0.008000
Epoch[12] Batch [39]	Speed: 1873.018005 samples/sec	loss=0.000670	lr=0.008000
Epoch[12] Batch [59]	Speed: 1731.921404 samples/sec	loss=0.000733	lr=0.008000
Epoch[12] Batch [79]	Speed: 2191.971574 samples/sec	loss=0.000691	lr=0.008000
Epoch[12] Batch [99]	Speed: 2495.610450 samples/sec	loss=0.000689	lr=0.008000
Epoch[12] Batch [119]	Speed: 2518.084644 samples/sec	loss=0.000706	lr=0.008000
Epoch[12] Batch [139]	Speed: 2436.281353 samples/sec	loss=0.000672	lr=0.008000
Epoch[13] Batch [19]	Speed: 446.907634 samples/sec	loss=0.000687	lr=0.008000
Epoch[13] Batch [39]	Speed: 1870.945181 samples/sec	loss=0.000712	lr=0.008000
Epoch[13] Batch [59]	Speed: 1739.906116 samples/sec	loss=0.000695	lr=0.008000
Epoch[13] Batch [79]	Speed: 2112.231923 samples/sec	loss=0.000689	lr=0.008000
Epoch[13] Batch [99]	Speed: 2464.389966 samples/sec	loss=0.000728	lr=0.008000
Epoch[13] Batch [119]	Speed: 2500.447505 samples/sec	loss=0.000722	lr=0.008000
Epoch[13] Batch [139]	Speed: 2401.135791 samples/sec	loss=0.000708	lr=0.008000
Epoch[14] Batch [19]	Speed: 468.489678 samples/sec	loss=0.000742	lr=0.008000
Epoch[14] Batch [39]	Speed: 1790.840345 samples/sec	loss=0.000701	lr=0.008000
Epoch[14] Batch [59]	Speed: 1807.555676 samples/sec	loss=0.000713	lr=0.008000
Epoch[14] Batch [79]	Speed: 2039.862346 samples/sec	loss=0.000699	lr=0.008000
Epoch[14] Batch [99]	Speed: 2462.028466 samples/sec	loss=0.000700	lr=0.008000
Epoch[14] Batch [119]	Speed: 2577.672818 samples/sec	loss=0.000698	lr=0.008000
Epoch[14] Batch [139]	Speed: 2435.347645 samples/sec	loss=0.000717	lr=0.008000
Epoch[15] Batch [19]	Speed: 447.917173 samples/sec	loss=0.000717	lr=0.008000
Epoch[15] Batch [39]	Speed: 1871.331167 samples/sec	loss=0.000685	lr=0.008000
Epoch[15] Batch [59]	Speed: 1786.360547 samples/sec	loss=0.000661	lr=0.008000
Epoch[15] Batch [79]	Speed: 2083.962744 samples/sec	loss=0.000688	lr=0.008000
Epoch[15] Batch [99]	Speed: 2457.222363 samples/sec	loss=0.000736	lr=0.008000
Epoch[15] Batch [119]	Speed: 2559.900517 samples/sec	loss=0.000736	lr=0.008000
Epoch[15] Batch [139]	Speed: 2454.963184 samples/sec	loss=0.000715	lr=0.008000
Epoch[16] Batch [19]	Speed: 483.879374 samples/sec	loss=0.000678	lr=0.008000
Epoch[16] Batch [39]	Speed: 1824.363666 samples/sec	loss=0.000696	lr=0.008000
Epoch[16] Batch [59]	Speed: 1826.380598 samples/sec	loss=0.000701	lr=0.008000
Epoch[16] Batch [79]	Speed: 1998.585575 samples/sec	loss=0.000684	lr=0.008000
Epoch[16] Batch [99]	Speed: 2545.398021 samples/sec	loss=0.000721	lr=0.008000
Epoch[16] Batch [119]	Speed: 2581.898998 samples/sec	loss=0.000711	lr=0.008000
Epoch[16] Batch [139]	Speed: 2358.465031 samples/sec	loss=0.000680	lr=0.008000
Epoch[17] Batch [19]	Speed: 448.579475 samples/sec	loss=0.000692	lr=0.008000
Epoch[17] Batch [39]	Speed: 1859.218511 samples/sec	loss=0.000628	lr=0.008000
Epoch[17] Batch [59]	Speed: 1777.998198 samples/sec	loss=0.000679	lr=0.008000
Epoch[17] Batch [79]	Speed: 2136.510264 samples/sec	loss=0.000700	lr=0.008000
Epoch[17] Batch [99]	Speed: 2475.875620 samples/sec	loss=0.000683	lr=0.008000
Epoch[17] Batch [119]	Speed: 2574.804513 samples/sec	loss=0.000675	lr=0.008000
Epoch[17] Batch [139]	Speed: 2391.430216 samples/sec	loss=0.000689	lr=0.008000
