INFO:root:10:31:03 Namespace(accumulate=None, batch_size=32, bert_dataset='wiki_cn_cased', bert_model='bert_12_768_12', dev_batch_size=8, dtype='float32', early_stop=None, epochs=4, epsilon=1e-06, gpu=0, log_interval=10, lr=2e-05, max_len=128, model_parameters=None, only_inference=False, optimizer='bertadam', output_dir='./output_dir', pad=False, pretrained_bert_parameters=None, seed=6, task_name='XNLI', training_steps=None, warmup_ratio=0.1)
INFO:root:10:31:04 Model file not found. Downloading to /home/ubuntu/.mxnet/models/bert_12_768_12_wiki_cn_cased-885ebb9a.params.
INFO:root:10:31:19 processing dataset...
INFO:root:10:33:16 Now we are doing BERT classification training on gpu(0)!
INFO:root:10:33:16 training steps=49087
INFO:root:10:33:19 [Epoch 1 Batch 10/12277] loss=1.1177, lr=0.0000000, metrics:accuracy:0.3688
INFO:root:10:33:20 [Epoch 1 Batch 20/12277] loss=1.1138, lr=0.0000001, metrics:accuracy:0.3797
INFO:root:10:33:22 [Epoch 1 Batch 30/12277] loss=1.1232, lr=0.0000001, metrics:accuracy:0.3677
INFO:root:10:33:23 [Epoch 1 Batch 40/12277] loss=1.1245, lr=0.0000002, metrics:accuracy:0.3617
INFO:root:10:33:25 [Epoch 1 Batch 50/12277] loss=1.1261, lr=0.0000002, metrics:accuracy:0.3575
INFO:root:10:33:26 [Epoch 1 Batch 60/12277] loss=1.1123, lr=0.0000002, metrics:accuracy:0.3573
INFO:root:10:33:28 [Epoch 1 Batch 70/12277] loss=1.1012, lr=0.0000003, metrics:accuracy:0.3603
INFO:root:10:33:29 [Epoch 1 Batch 80/12277] loss=1.1151, lr=0.0000003, metrics:accuracy:0.3586
INFO:root:10:33:31 [Epoch 1 Batch 90/12277] loss=1.1048, lr=0.0000004, metrics:accuracy:0.3594
INFO:root:10:33:33 [Epoch 1 Batch 100/12277] loss=1.1153, lr=0.0000004, metrics:accuracy:0.3581
INFO:root:10:33:35 [Epoch 1 Batch 110/12277] loss=1.0973, lr=0.0000004, metrics:accuracy:0.3588
INFO:root:10:33:36 [Epoch 1 Batch 120/12277] loss=1.0709, lr=0.0000005, metrics:accuracy:0.3656
INFO:root:10:33:38 [Epoch 1 Batch 130/12277] loss=1.1091, lr=0.0000005, metrics:accuracy:0.3635
INFO:root:10:33:40 [Epoch 1 Batch 140/12277] loss=1.1056, lr=0.0000006, metrics:accuracy:0.3625
INFO:root:10:33:42 [Epoch 1 Batch 150/12277] loss=1.1031, lr=0.0000006, metrics:accuracy:0.3621
INFO:root:10:33:43 [Epoch 1 Batch 160/12277] loss=1.0999, lr=0.0000006, metrics:accuracy:0.3619
INFO:root:10:33:45 [Epoch 1 Batch 170/12277] loss=1.0876, lr=0.0000007, metrics:accuracy:0.3638
INFO:root:10:33:47 [Epoch 1 Batch 180/12277] loss=1.0896, lr=0.0000007, metrics:accuracy:0.3641
INFO:root:10:33:49 [Epoch 1 Batch 190/12277] loss=1.0871, lr=0.0000008, metrics:accuracy:0.3635
INFO:root:10:33:51 [Epoch 1 Batch 200/12277] loss=1.0875, lr=0.0000008, metrics:accuracy:0.3639
INFO:root:10:33:52 [Epoch 1 Batch 210/12277] loss=1.0869, lr=0.0000009, metrics:accuracy:0.3650
INFO:root:10:33:53 [Epoch 1 Batch 220/12277] loss=1.0785, lr=0.0000009, metrics:accuracy:0.3678
INFO:root:10:33:55 [Epoch 1 Batch 230/12277] loss=1.0741, lr=0.0000009, metrics:accuracy:0.3697
INFO:root:10:33:57 [Epoch 1 Batch 240/12277] loss=1.0758, lr=0.0000010, metrics:accuracy:0.3712
INFO:root:10:33:58 [Epoch 1 Batch 250/12277] loss=1.0693, lr=0.0000010, metrics:accuracy:0.3728
INFO:root:10:34:00 [Epoch 1 Batch 260/12277] loss=1.0463, lr=0.0000011, metrics:accuracy:0.3761
INFO:root:10:34:01 [Epoch 1 Batch 270/12277] loss=1.0539, lr=0.0000011, metrics:accuracy:0.3780
INFO:root:10:34:03 [Epoch 1 Batch 280/12277] loss=1.0624, lr=0.0000011, metrics:accuracy:0.3802
INFO:root:10:34:05 [Epoch 1 Batch 290/12277] loss=1.0831, lr=0.0000012, metrics:accuracy:0.3806
INFO:root:10:34:06 [Epoch 1 Batch 300/12277] loss=1.0650, lr=0.0000012, metrics:accuracy:0.3827
INFO:root:10:34:08 [Epoch 1 Batch 310/12277] loss=1.0619, lr=0.0000013, metrics:accuracy:0.3854
INFO:root:10:34:10 [Epoch 1 Batch 320/12277] loss=1.0577, lr=0.0000013, metrics:accuracy:0.3870
INFO:root:10:34:12 [Epoch 1 Batch 330/12277] loss=1.0344, lr=0.0000013, metrics:accuracy:0.3891
INFO:root:10:34:13 [Epoch 1 Batch 340/12277] loss=1.0468, lr=0.0000014, metrics:accuracy:0.3921
INFO:root:10:34:16 [Epoch 1 Batch 350/12277] loss=1.0390, lr=0.0000014, metrics:accuracy:0.3946
INFO:root:10:34:17 [Epoch 1 Batch 360/12277] loss=1.0205, lr=0.0000015, metrics:accuracy:0.3972
INFO:root:10:34:19 [Epoch 1 Batch 370/12277] loss=1.0406, lr=0.0000015, metrics:accuracy:0.3993
INFO:root:10:34:21 [Epoch 1 Batch 380/12277] loss=1.0458, lr=0.0000015, metrics:accuracy:0.4005
INFO:root:10:34:22 [Epoch 1 Batch 390/12277] loss=1.0310, lr=0.0000016, metrics:accuracy:0.4021
INFO:root:10:34:24 [Epoch 1 Batch 400/12277] loss=1.0568, lr=0.0000016, metrics:accuracy:0.4037
INFO:root:10:34:25 [Epoch 1 Batch 410/12277] loss=1.0358, lr=0.0000017, metrics:accuracy:0.4047
INFO:root:10:34:27 [Epoch 1 Batch 420/12277] loss=1.0337, lr=0.0000017, metrics:accuracy:0.4066
INFO:root:10:34:29 [Epoch 1 Batch 430/12277] loss=1.0242, lr=0.0000017, metrics:accuracy:0.4086
INFO:root:10:34:30 [Epoch 1 Batch 440/12277] loss=1.0286, lr=0.0000018, metrics:accuracy:0.4101
INFO:root:10:34:31 [Epoch 1 Batch 450/12277] loss=1.0303, lr=0.0000018, metrics:accuracy:0.4112
INFO:root:10:34:33 [Epoch 1 Batch 460/12277] loss=1.0072, lr=0.0000019, metrics:accuracy:0.4134
INFO:root:10:34:35 [Epoch 1 Batch 470/12277] loss=1.0029, lr=0.0000019, metrics:accuracy:0.4158
INFO:root:10:34:37 [Epoch 1 Batch 480/12277] loss=1.0004, lr=0.0000020, metrics:accuracy:0.4176
INFO:root:10:34:38 [Epoch 1 Batch 490/12277] loss=1.0024, lr=0.0000020, metrics:accuracy:0.4190
INFO:root:10:34:40 [Epoch 1 Batch 500/12277] loss=1.0139, lr=0.0000020, metrics:accuracy:0.4202
INFO:root:10:34:42 [Epoch 1 Batch 510/12277] loss=0.9694, lr=0.0000021, metrics:accuracy:0.4228
INFO:root:10:34:43 [Epoch 1 Batch 520/12277] loss=0.9709, lr=0.0000021, metrics:accuracy:0.4245
INFO:root:10:34:45 [Epoch 1 Batch 530/12277] loss=0.9694, lr=0.0000022, metrics:accuracy:0.4272
INFO:root:10:34:47 [Epoch 1 Batch 540/12277] loss=0.9792, lr=0.0000022, metrics:accuracy:0.4290
INFO:root:10:34:49 [Epoch 1 Batch 550/12277] loss=1.0071, lr=0.0000022, metrics:accuracy:0.4302
INFO:root:10:34:50 [Epoch 1 Batch 560/12277] loss=0.9754, lr=0.0000023, metrics:accuracy:0.4323
INFO:root:10:34:52 [Epoch 1 Batch 570/12277] loss=0.9625, lr=0.0000023, metrics:accuracy:0.4342
INFO:root:10:34:54 [Epoch 1 Batch 580/12277] loss=0.9698, lr=0.0000024, metrics:accuracy:0.4364
INFO:root:10:34:55 [Epoch 1 Batch 590/12277] loss=0.9347, lr=0.0000024, metrics:accuracy:0.4387
INFO:root:10:34:57 [Epoch 1 Batch 600/12277] loss=0.8810, lr=0.0000024, metrics:accuracy:0.4418
INFO:root:10:34:58 [Epoch 1 Batch 610/12277] loss=0.9826, lr=0.0000025, metrics:accuracy:0.4438
INFO:root:10:35:00 [Epoch 1 Batch 620/12277] loss=0.9336, lr=0.0000025, metrics:accuracy:0.4463
INFO:root:10:35:02 [Epoch 1 Batch 630/12277] loss=0.9991, lr=0.0000026, metrics:accuracy:0.4476
INFO:root:10:35:03 [Epoch 1 Batch 640/12277] loss=0.8969, lr=0.0000026, metrics:accuracy:0.4499
INFO:root:10:35:05 [Epoch 1 Batch 650/12277] loss=0.9405, lr=0.0000026, metrics:accuracy:0.4512
INFO:root:10:35:06 [Epoch 1 Batch 660/12277] loss=0.8827, lr=0.0000027, metrics:accuracy:0.4537
INFO:root:10:35:08 [Epoch 1 Batch 670/12277] loss=0.9311, lr=0.0000027, metrics:accuracy:0.4558
INFO:root:10:35:09 [Epoch 1 Batch 680/12277] loss=0.8932, lr=0.0000028, metrics:accuracy:0.4579
INFO:root:10:35:11 [Epoch 1 Batch 690/12277] loss=0.8971, lr=0.0000028, metrics:accuracy:0.4601
INFO:root:10:35:13 [Epoch 1 Batch 700/12277] loss=0.9301, lr=0.0000028, metrics:accuracy:0.4618
INFO:root:10:35:14 [Epoch 1 Batch 710/12277] loss=0.9258, lr=0.0000029, metrics:accuracy:0.4630
INFO:root:10:35:16 [Epoch 1 Batch 720/12277] loss=0.9533, lr=0.0000029, metrics:accuracy:0.4641
INFO:root:10:35:17 [Epoch 1 Batch 730/12277] loss=0.8968, lr=0.0000030, metrics:accuracy:0.4657
INFO:root:10:35:19 [Epoch 1 Batch 740/12277] loss=0.8832, lr=0.0000030, metrics:accuracy:0.4677
INFO:root:10:35:20 [Epoch 1 Batch 750/12277] loss=0.8824, lr=0.0000031, metrics:accuracy:0.4693
INFO:root:10:35:22 [Epoch 1 Batch 760/12277] loss=0.8775, lr=0.0000031, metrics:accuracy:0.4715
INFO:root:10:35:23 [Epoch 1 Batch 770/12277] loss=0.8444, lr=0.0000031, metrics:accuracy:0.4740
INFO:root:10:35:25 [Epoch 1 Batch 780/12277] loss=0.9014, lr=0.0000032, metrics:accuracy:0.4751
INFO:root:10:35:26 [Epoch 1 Batch 790/12277] loss=0.8453, lr=0.0000032, metrics:accuracy:0.4772
INFO:root:10:35:28 [Epoch 1 Batch 800/12277] loss=0.8779, lr=0.0000033, metrics:accuracy:0.4784
INFO:root:10:35:29 [Epoch 1 Batch 810/12277] loss=0.8824, lr=0.0000033, metrics:accuracy:0.4803
INFO:root:10:35:31 [Epoch 1 Batch 820/12277] loss=0.9162, lr=0.0000033, metrics:accuracy:0.4815
