NFO:root:Ngrams range for the training run : 1
INFO:root:Loading Training data
INFO:root:Opening file fastText/data/ag_news.train for reading input
INFO:root:Vocabulary size: 95814
INFO:root:Training data converting to sequences...
INFO:root:Reading test dataset
INFO:root:Opening file fastText/data/ag_news.test for reading input
INFO:root:Encoding labels
INFO:root:Label mapping:{'__label__1': 0, '__label__2': 1, '__label__3': 2, '__label__4': 3}
INFO:root:Number of labels: 4
INFO:root:Initializing network
INFO:root:Running Training on ctx:gpu(0)
INFO:root:Number of output units in the last layer :4
INFO:root:Network initialized
INFO:root:Loss function for training:SoftmaxCrossEntropyLoss(batch_axis=0, w=None)
INFO:root:Starting Training!
INFO:root:Loading the training data to memory and creating sequences!
INFO:root:Loading the test data to memory and creating sequences
INFO:root:Training on 120000 samples and testing on 7600 samples
INFO:root:Number of batches for each epoch : 7500.0, Display cadence: 750
INFO:root:Epoch : 0, Batches complete :0
INFO:root:Epoch : 0, Batches complete :750
INFO:root:Epoch : 0, Batches complete :1500
INFO:root:Epoch : 0, Batches complete :2250
INFO:root:Epoch : 0, Batches complete :3000
INFO:root:Epoch : 0, Batches complete :3750
INFO:root:Epoch : 0, Batches complete :4500
INFO:root:Epoch : 0, Batches complete :5250
INFO:root:Epoch : 0, Batches complete :6000
INFO:root:Epoch : 0, Batches complete :6750
INFO:root:Epoch complete :0, Computing Accuracy
INFO:root:Epochs completed : 0 Test Accuracy: 0.901578947368421, Test Loss: 0.3497309461236
INFO:root:Epoch : 1, Batches complete :0
INFO:root:Epoch : 1, Batches complete :750
INFO:root:Epoch : 1, Batches complete :1500
INFO:root:Epoch : 1, Batches complete :2250
INFO:root:Epoch : 1, Batches complete :3000
INFO:root:Epoch : 1, Batches complete :3750
INFO:root:Epoch : 1, Batches complete :4500
INFO:root:Epoch : 1, Batches complete :5250
INFO:root:Epoch : 1, Batches complete :6000
INFO:root:Epoch : 1, Batches complete :6750
INFO:root:Epoch complete :1, Computing Accuracy
