('21.3200 %', 'train_loss:', '0.8739120671153069', ' train_acc:', 0.855, 'time:', 11.890928983688354)
('23.9867 %', 'train_loss:', '0.7899068287014961', ' train_acc:', 0.856875, 'time:', 11.76943302154541)
('26.6533 %', 'train_loss:', '0.7140824256837368', ' train_acc:', 0.861875, 'time:', 11.885962009429932)
('29.3200 %', 'train_loss:', '0.6353627501428127', ' train_acc:', 0.865625, 'time:', 11.582000017166138)
('31.9867 %', 'train_loss:', '0.5894742141664028', ' train_acc:', 0.864375, 'time:', 11.721051931381226)
('34.6533 %', 'train_loss:', '0.5459776310622693', ' train_acc:', 0.8771875, 'time:', 11.743381977081299)
('37.3200 %', 'train_loss:', '0.5131121780723333', ' train_acc:', 0.8771875, 'time:', 11.8004150390625)
('39.9867 %', 'train_loss:', '0.49390754409134385', ' train_acc:', 0.8778125, 'time:', 11.956537961959839)
('42.6533 %', 'train_loss:', '0.4602626732736826', ' train_acc:', 0.883125, 'time:', 11.899863958358765)
('45.3200 %', 'train_loss:', '0.46133653514087203', ' train_acc:', 0.8765625, 'time:', 11.605340003967285)
('47.9867 %', 'train_loss:', '0.43220304608345034', ' train_acc:', 0.8878125, 'time:', 11.570568084716797)
('50.6533 %', 'train_loss:', '0.4325612383335829', ' train_acc:', 0.884375, 'time:', 11.594261884689331)
('53.3200 %', 'train_loss:', '0.4155414628237486', ' train_acc:', 0.8890625, 'time:', 11.748355865478516)
('55.9867 %', 'train_loss:', '0.412607661485672', ' train_acc:', 0.88375, 'time:', 11.709891080856323)
('58.6533 %', 'train_loss:', '0.3938926624879241', ' train_acc:', 0.8915625, 'time:', 11.586623907089233)
('61.3200 %', 'train_loss:', '0.3829314846545458', ' train_acc:', 0.88875, 'time:', 11.73936414718628)
('63.9867 %', 'train_loss:', '0.3826160376518965', ' train_acc:', 0.8928125, 'time:', 11.783032894134521)
('66.6533 %', 'train_loss:', '0.3651995113864541', ' train_acc:', 0.8934375, 'time:', 11.514448881149292)
('69.3200 %', 'train_loss:', '0.3569508346542716', ' train_acc:', 0.896875, 'time:', 11.845484972000122)
