nohup: ignoring input
Loading data...
Loading train...
read 1 lines
read 10001 lines
read 20001 lines
read 30001 lines
read 40001 lines
read 50001 lines
read 60001 lines
read 70001 lines
read 80001 lines
read 90001 lines
read 100001 lines
read 110001 lines
read 120001 lines
read 130001 lines
read 140001 lines
read 150001 lines
read 160001 lines
read 170001 lines
read 180001 lines
read 190001 lines
read 200001 lines
read 210001 lines
read 220001 lines
read 230001 lines
read 240001 lines
read 250001 lines
read 260001 lines
read 270001 lines
read 280001 lines
read 290001 lines
read 300001 lines
read 310001 lines
read 320001 lines
read 330001 lines
read 340001 lines
read 350001 lines
read 360001 lines
read 370001 lines
read 380001 lines
read 390001 lines
read 400001 lines
read 410001 lines
read 420001 lines
read 430001 lines
read 440001 lines
read 450001 lines
read 460001 lines
read 470001 lines
read 480001 lines
read 490001 lines
read 500001 lines
read 510001 lines
read 520001 lines
read 530001 lines
read 540001 lines
read 550001 lines
Loading test...
read 1 lines
read 10001 lines
read 20001 lines
read 30001 lines
read 40001 lines
read 50001 lines
read 60001 lines
(gpu(0), 'dbpedia')
('0.5686 %', 'train_loss:', '2.6343586540222166', ' train_acc:', 0.530625, 'time:', 17.654328107833862)
('1.1400 %', 'train_loss:', '2.5964569234848023', ' train_acc:', 0.7590625, 'time:', 18.262516975402832)
('1.7114 %', 'train_loss:', '2.490862251520157', ' train_acc:', 0.8059375, 'time:', 16.903563022613525)
('2.2829 %', 'train_loss:', '2.2953306436538696', ' train_acc:', 0.8021875, 'time:', 16.7824490070343)
('2.8543 %', 'train_loss:', '2.033850697875023', ' train_acc:', 0.8159375, 'time:', 16.937633991241455)
('3.4257 %', 'train_loss:', '1.7604566478729249', ' train_acc:', 0.8196875, 'time:', 16.89047408103943)
('3.9971 %', 'train_loss:', '1.449905240535736', ' train_acc:', 0.8675, 'time:', 16.316077947616577)
('4.5686 %', 'train_loss:', '1.2433451828360558', ' train_acc:', 0.8875, 'time:', 17.096410036087036)
('5.1400 %', 'train_loss:', '1.0464820137619972', ' train_acc:', 0.9084375, 'time:', 16.554775953292847)
('5.7114 %', 'train_loss:', '0.8801394265890121', ' train_acc:', 0.9253125, 'time:', 17.482221841812134)
('6.2829 %', 'train_loss:', '0.7472048772871495', ' train_acc:', 0.944375, 'time:', 17.284111976623535)
('6.8543 %', 'train_loss:', '0.6571861040592194', ' train_acc:', 0.93875, 'time:', 16.587137937545776)
('7.4257 %', 'train_loss:', '0.5606943582743407', ' train_acc:', 0.9490625, 'time:', 16.808675050735474)
('7.9971 %', 'train_loss:', '0.5083872359991074', ' train_acc:', 0.945625, 'time:', 16.23878002166748)
('8.5686 %', 'train_loss:', '0.47445609629154206', ' train_acc:', 0.9525, 'time:', 16.69341015815735)
('9.1400 %', 'train_loss:', '0.4246239996701479', ' train_acc:', 0.9515625, 'time:', 16.961976766586304)
('9.7114 %', 'train_loss:', '0.3887875857204199', ' train_acc:', 0.9459375, 'time:', 16.752830028533936)
('10.2829 %', 'train_loss:', '0.3648906921967864', ' train_acc:', 0.950625, 'time:', 17.04460310935974)
('10.8543 %', 'train_loss:', '0.3311915584653616', ' train_acc:', 0.956875, 'time:', 16.739997148513794)
('11.4257 %', 'train_loss:', '0.3248080787435174', ' train_acc:', 0.953125, 'time:', 16.884110927581787)
('11.9971 %', 'train_loss:', '0.30256231684237717', ' train_acc:', 0.953125, 'time:', 16.98839497566223)
('12.5686 %', 'train_loss:', '0.27005035571753977', ' train_acc:', 0.96125, 'time:', 16.988518953323364)
('13.1400 %', 'train_loss:', '0.2618066378682852', ' train_acc:', 0.9596875, 'time:', 16.99718999862671)
('13.7114 %', 'train_loss:', '0.2520986633934081', ' train_acc:', 0.956875, 'time:', 17.178182125091553)
('14.2829 %', 'train_loss:', '0.2365182177722454', ' train_acc:', 0.96375, 'time:', 17.127713918685913)
('14.8543 %', 'train_loss:', '0.22924571372568608', ' train_acc:', 0.9634375, 'time:', 16.67178702354431)
('15.4257 %', 'train_loss:', '0.21368987726047636', ' train_acc:', 0.9671875, 'time:', 17.107248067855835)
('15.9971 %', 'train_loss:', '0.2138118237722665', ' train_acc:', 0.9659375, 'time:', 16.604286193847656)
('16.5686 %', 'train_loss:', '0.19821776791475712', ' train_acc:', 0.965, 'time:', 16.89916205406189)
('17.1400 %', 'train_loss:', '0.17809833087958396', ' train_acc:', 0.964375, 'time:', 16.784098148345947)
('17.7114 %', 'train_loss:', '0.1973360862582922', ' train_acc:', 0.9678125, 'time:', 16.998192071914673)
('18.2829 %', 'train_loss:', '0.18534047428518532', ' train_acc:', 0.96625, 'time:', 16.906239986419678)
('18.8543 %', 'train_loss:', '0.16496279974468053', ' train_acc:', 0.971875, 'time:', 16.72723698616028)
('19.4257 %', 'train_loss:', '0.16842791047878564', ' train_acc:', 0.9678125, 'time:', 16.73335599899292)
('19.9971 %', 'train_loss:', '0.17598871394060553', ' train_acc:', 0.965, 'time:', 16.669338941574097)
('20.5686 %', 'train_loss:', '0.1643456556927413', ' train_acc:', 0.970625, 'time:', 16.923967123031616)
('21.1400 %', 'train_loss:', '0.18204736857209355', ' train_acc:', 0.9646875, 'time:', 16.83458685874939)
('21.7114 %', 'train_loss:', '0.17140481462934987', ' train_acc:', 0.9665625, 'time:', 16.598770141601562)
('22.2829 %', 'train_loss:', '0.14656904203817248', ' train_acc:', 0.9709375, 'time:', 16.776712894439697)
('22.8543 %', 'train_loss:', '0.1420443376293406', ' train_acc:', 0.97125, 'time:', 16.73936104774475)
('23.4257 %', 'train_loss:', '0.14134529911912977', ' train_acc:', 0.9671875, 'time:', 16.692106008529663)
('23.9971 %', 'train_loss:', '0.1286859183665365', ' train_acc:', 0.9765625, 'time:', 16.818093061447144)
('24.5686 %', 'train_loss:', '0.13896632807329298', ' train_acc:', 0.9715625, 'time:', 17.02912187576294)
('25.1400 %', 'train_loss:', '0.12635530764004216', ' train_acc:', 0.9740625, 'time:', 16.77687692642212)
('25.7114 %', 'train_loss:', '0.12174620043952018', ' train_acc:', 0.97125, 'time:', 16.571133852005005)
('26.2829 %', 'train_loss:', '0.12779909837525338', ' train_acc:', 0.974375, 'time:', 16.976320028305054)
('26.8543 %', 'train_loss:', '0.13810211625648663', ' train_acc:', 0.973125, 'time:', 17.00383687019348)
('27.4257 %', 'train_loss:', '0.1345801747799851', ' train_acc:', 0.9734375, 'time:', 17.040639877319336)
('27.9971 %', 'train_loss:', '0.11451524942414835', ' train_acc:', 0.97875, 'time:', 16.83367109298706)
('28.5686 %', 'train_loss:', '0.12318413866916672', ' train_acc:', 0.9709375, 'time:', 16.428848028182983)
('29.1400 %', 'train_loss:', '0.11748894064920024', ' train_acc:', 0.9775, 'time:', 16.738863945007324)
('29.7114 %', 'train_loss:', '0.1283148228772916', ' train_acc:', 0.9728125, 'time:', 16.949640035629272)
('30.2829 %', 'train_loss:', '0.12124740397033747', ' train_acc:', 0.9765625, 'time:', 17.02061414718628)
('30.8543 %', 'train_loss:', '0.11228613617597148', ' train_acc:', 0.9778125, 'time:', 16.977664947509766)
('31.4257 %', 'train_loss:', '0.11896169967367314', ' train_acc:', 0.9728125, 'time:', 16.91075301170349)
('31.9971 %', 'train_loss:', '0.12387360413442366', ' train_acc:', 0.97375, 'time:', 16.832347869873047)
('32.5686 %', 'train_loss:', '0.11336261461139657', ' train_acc:', 0.974375, 'time:', 16.84580707550049)
('33.1400 %', 'train_loss:', '0.10652166551328264', ' train_acc:', 0.98, 'time:', 16.60878014564514)
('33.7114 %', 'train_loss:', '0.10564730814134236', ' train_acc:', 0.9721875, 'time:', 16.657238960266113)
('34.2829 %', 'train_loss:', '0.09392067658773158', ' train_acc:', 0.9803125, 'time:', 16.77957797050476)
('34.8543 %', 'train_loss:', '0.1142190635058796', ' train_acc:', 0.976875, 'time:', 16.783103942871094)
('35.4257 %', 'train_loss:', '0.10812847423774656', ' train_acc:', 0.975625, 'time:', 16.91071391105652)
('35.9971 %', 'train_loss:', '0.10203599545813631', ' train_acc:', 0.9775, 'time:', 16.816170930862427)
('36.5686 %', 'train_loss:', '0.09627683679398615', ' train_acc:', 0.9803125, 'time:', 16.900291919708252)
('37.1400 %', 'train_loss:', '0.1122927367023658', ' train_acc:', 0.9734375, 'time:', 16.85511589050293)
('37.7114 %', 'train_loss:', '0.0970042664941866', ' train_acc:', 0.9753125, 'time:', 16.66341495513916)
('38.2829 %', 'train_loss:', '0.10268425133894198', ' train_acc:', 0.9784375, 'time:', 16.917938947677612)
('38.8543 %', 'train_loss:', '0.10198934386251494', ' train_acc:', 0.978125, 'time:', 16.863828897476196)
('39.4257 %', 'train_loss:', '0.09222026899922639', ' train_acc:', 0.980625, 'time:', 16.85603094100952)
('39.9971 %', 'train_loss:', '0.09709027835458983', ' train_acc:', 0.976875, 'time:', 16.71080493927002)
('40.5686 %', 'train_loss:', '0.09717371974722483', ' train_acc:', 0.9778125, 'time:', 16.96874213218689)
('41.1400 %', 'train_loss:', '0.09441722509800457', ' train_acc:', 0.97875, 'time:', 16.603654861450195)
('41.7114 %', 'train_loss:', '0.09281474281451665', ' train_acc:', 0.9775, 'time:', 16.952252864837646)
('42.2829 %', 'train_loss:', '0.09142430302104913', ' train_acc:', 0.976875, 'time:', 16.71773386001587)
('42.8543 %', 'train_loss:', '0.08751702467736322', ' train_acc:', 0.9815625, 'time:', 16.83201503753662)
('43.4257 %', 'train_loss:', '0.09975463356182444', ' train_acc:', 0.9753125, 'time:', 16.530070781707764)
('43.9971 %', 'train_loss:', '0.08380792346375529', ' train_acc:', 0.980625, 'time:', 16.927849054336548)
('44.5686 %', 'train_loss:', '0.08206955694244243', ' train_acc:', 0.9771875, 'time:', 16.647634029388428)
('45.1400 %', 'train_loss:', '0.07691824006207754', ' train_acc:', 0.9834375, 'time:', 16.97523307800293)
('45.7114 %', 'train_loss:', '0.08673201831465122', ' train_acc:', 0.9803125, 'time:', 16.823777198791504)
('46.2829 %', 'train_loss:', '0.0921078623575886', ' train_acc:', 0.97625, 'time:', 16.749311923980713)
('46.8543 %', 'train_loss:', '0.09278758299478795', ' train_acc:', 0.9815625, 'time:', 16.92728090286255)
('47.4257 %', 'train_loss:', '0.0837309398141224', ' train_acc:', 0.984375, 'time:', 16.6842200756073)
('47.9971 %', 'train_loss:', '0.09668951595667749', ' train_acc:', 0.97625, 'time:', 16.950868844985962)
('48.5686 %', 'train_loss:', '0.08174279473430943', ' train_acc:', 0.98125, 'time:', 16.73664903640747)
('49.1400 %', 'train_loss:', '0.07343075647455408', ' train_acc:', 0.983125, 'time:', 16.8720440864563)
('49.7114 %', 'train_loss:', '0.07612763811717742', ' train_acc:', 0.9825, 'time:', 16.879714965820312)
('50.2829 %', 'train_loss:', '0.0750747757620411', ' train_acc:', 0.9828125, 'time:', 16.946027994155884)
('50.8543 %', 'train_loss:', '0.08494569048576522', ' train_acc:', 0.979375, 'time:', 16.839454889297485)
('51.4257 %', 'train_loss:', '0.08698126898612828', ' train_acc:', 0.9803125, 'time:', 16.349175930023193)
('51.9971 %', 'train_loss:', '0.09073091084806947', ' train_acc:', 0.98, 'time:', 16.92189311981201)
('52.5686 %', 'train_loss:', '0.08228791706555057', ' train_acc:', 0.97875, 'time:', 16.584635972976685)
