Namespace(bptt=2000, gpus='0', lambdas=0.1279, model_name='awd_lstm_lm_1150', path_to_params_file='./awd_lstm_lm_1150_wikitext-2.val.params', theta=0.662, window=2000)
Batch 2000/217646, ppl 57.016214
Batch 4000/217646, ppl 51.171666
Batch 6000/217646, ppl 45.854829
Batch 8000/217646, ppl 47.997605
Batch 10000/217646, ppl 51.167823
Batch 12000/217646, ppl 49.844371
Batch 14000/217646, ppl 53.028271
Batch 16000/217646, ppl 54.687291
Batch 18000/217646, ppl 54.977043
Batch 20000/217646, ppl 54.205143
Batch 22000/217646, ppl 55.932588
Batch 24000/217646, ppl 56.659940
Batch 26000/217646, ppl 54.564184
Batch 28000/217646, ppl 52.737781
Batch 30000/217646, ppl 52.593370
Batch 32000/217646, ppl 51.775663
Batch 34000/217646, ppl 52.399511
Batch 36000/217646, ppl 53.459793
Batch 38000/217646, ppl 53.915372
Batch 40000/217646, ppl 53.578404
Batch 42000/217646, ppl 52.712324
Batch 44000/217646, ppl 51.836789
Batch 46000/217646, ppl 51.582116
Batch 48000/217646, ppl 51.847346
Batch 50000/217646, ppl 52.126666
Batch 52000/217646, ppl 52.269429
Batch 54000/217646, ppl 51.189119
Batch 56000/217646, ppl 51.390356
Batch 58000/217646, ppl 51.536265
Batch 60000/217646, ppl 51.751260
Batch 62000/217646, ppl 51.730280
Batch 64000/217646, ppl 51.979210
Batch 66000/217646, ppl 52.185027
Batch 68000/217646, ppl 51.855522
Batch 70000/217646, ppl 52.457676
Batch 72000/217646, ppl 53.192839
Batch 74000/217646, ppl 53.586728
Batch 76000/217646, ppl 53.489568
Batch 78000/217646, ppl 53.713049
Batch 80000/217646, ppl 53.768724
Batch 82000/217646, ppl 53.926558
Batch 84000/217646, ppl 53.889669
Batch 86000/217646, ppl 53.258284
Batch 88000/217646, ppl 53.553758
Batch 90000/217646, ppl 54.308728
Batch 92000/217646, ppl 54.755563
Batch 94000/217646, ppl 55.297848
Batch 96000/217646, ppl 54.652071
Batch 98000/217646, ppl 54.468110
Batch 100000/217646, ppl 54.217178
Batch 102000/217646, ppl 54.556114
Batch 104000/217646, ppl 54.643285
Batch 106000/217646, ppl 54.827333
Batch 108000/217646, ppl 55.043109
Batch 110000/217646, ppl 54.868715
Batch 112000/217646, ppl 55.116325
Batch 114000/217646, ppl 55.333688
Batch 116000/217646, ppl 55.511026
Batch 118000/217646, ppl 55.739914
Batch 120000/217646, ppl 55.900073
Batch 122000/217646, ppl 56.282424
Batch 124000/217646, ppl 56.288863
Batch 126000/217646, ppl 56.076014
Batch 128000/217646, ppl 56.069722
Batch 130000/217646, ppl 56.409971
Batch 132000/217646, ppl 56.412480
Batch 134000/217646, ppl 56.555087
Batch 136000/217646, ppl 56.601634
Batch 138000/217646, ppl 56.648670
Batch 140000/217646, ppl 56.519266
Batch 142000/217646, ppl 56.399123
Batch 144000/217646, ppl 56.269202
Batch 146000/217646, ppl 56.169202
Batch 148000/217646, ppl 55.986585
Batch 150000/217646, ppl 56.046867
Batch 152000/217646, ppl 56.206272
Batch 154000/217646, ppl 56.110211
Batch 156000/217646, ppl 56.419448
Batch 158000/217646, ppl 56.493950
Batch 160000/217646, ppl 56.643584
Batch 162000/217646, ppl 56.617273
Batch 164000/217646, ppl 56.563710
Batch 166000/217646, ppl 56.491052
Batch 168000/217646, ppl 56.564296
Batch 170000/217646, ppl 56.697726
Batch 172000/217646, ppl 56.823496
Batch 174000/217646, ppl 56.881145
Batch 176000/217646, ppl 57.133569
Batch 178000/217646, ppl 57.331744
Batch 180000/217646, ppl 57.181010
Batch 182000/217646, ppl 57.142319
Batch 184000/217646, ppl 57.071205
Batch 186000/217646, ppl 57.049155
Batch 188000/217646, ppl 57.130049
Batch 190000/217646, ppl 57.278582
Batch 192000/217646, ppl 57.396336
Batch 194000/217646, ppl 57.327490
Batch 196000/217646, ppl 57.258638
Batch 198000/217646, ppl 57.268673
Batch 200000/217646, ppl 57.325352
Batch 202000/217646, ppl 57.416669
Batch 204000/217646, ppl 57.663737
Batch 206000/217646, ppl 57.660300
Batch 208000/217646, ppl 57.639709
Batch 210000/217646, ppl 57.799701
Batch 212000/217646, ppl 57.944420
Batch 214000/217646, ppl 58.070390
Batch 216000/217646, ppl 58.205495
Batch 2000/245569, ppl 62.484855
Batch 4000/245569, ppl 63.661132
Batch 6000/245569, ppl 66.895233
Batch 8000/245569, ppl 54.610039
Batch 10000/245569, ppl 50.520036
Batch 12000/245569, ppl 45.660584
Batch 14000/245569, ppl 45.843710
Batch 16000/245569, ppl 47.594643
Batch 18000/245569, ppl 49.261637
Batch 20000/245569, ppl 48.311470
Batch 22000/245569, ppl 47.932900
Batch 24000/245569, ppl 48.634163
Batch 26000/245569, ppl 49.405019
Batch 28000/245569, ppl 50.800722
Batch 30000/245569, ppl 51.314303
Batch 32000/245569, ppl 50.783420
Batch 34000/245569, ppl 50.807778
Batch 36000/245569, ppl 51.816239
Batch 38000/245569, ppl 52.969973
Batch 40000/245569, ppl 54.260128
Batch 42000/245569, ppl 55.250704
Batch 44000/245569, ppl 55.966722
Batch 46000/245569, ppl 56.716729
Batch 48000/245569, ppl 57.200701
Batch 50000/245569, ppl 57.418829
Batch 52000/245569, ppl 56.672450
Batch 54000/245569, ppl 55.737538
Batch 56000/245569, ppl 55.899561
Batch 58000/245569, ppl 56.160376
Batch 60000/245569, ppl 55.613651
Batch 62000/245569, ppl 54.308612
Batch 64000/245569, ppl 53.670287
Batch 66000/245569, ppl 52.979753
Batch 68000/245569, ppl 52.789240
Batch 70000/245569, ppl 53.202535
Batch 72000/245569, ppl 54.267966
Batch 74000/245569, ppl 55.037309
Batch 76000/245569, ppl 55.512407
Batch 78000/245569, ppl 56.033923
Batch 80000/245569, ppl 56.500131
Batch 82000/245569, ppl 56.634124
Batch 84000/245569, ppl 56.260345
Batch 86000/245569, ppl 55.504830
Batch 88000/245569, ppl 54.984036
Batch 90000/245569, ppl 54.133024
Batch 92000/245569, ppl 52.953088
Batch 94000/245569, ppl 52.021636
Batch 96000/245569, ppl 50.870891
Batch 98000/245569, ppl 50.352792
Batch 100000/245569, ppl 50.176964
Batch 102000/245569, ppl 50.543790
Batch 104000/245569, ppl 50.844644
Batch 106000/245569, ppl 51.328955
Batch 108000/245569, ppl 51.136724
Batch 110000/245569, ppl 51.392415
Batch 112000/245569, ppl 51.462884
Batch 114000/245569, ppl 51.631321
Batch 116000/245569, ppl 51.761489
Batch 118000/245569, ppl 51.774236
Batch 120000/245569, ppl 52.002787
Batch 122000/245569, ppl 52.237751
Batch 124000/245569, ppl 52.130030
Batch 126000/245569, ppl 52.093292
Batch 128000/245569, ppl 52.110914
Batch 130000/245569, ppl 52.118485
Batch 132000/245569, ppl 52.204083
Batch 134000/245569, ppl 52.333038
Batch 136000/245569, ppl 52.574696
Batch 138000/245569, ppl 52.305737
Batch 140000/245569, ppl 52.038664
Batch 142000/245569, ppl 51.917919
Batch 144000/245569, ppl 51.988383
Batch 146000/245569, ppl 52.153760
Batch 148000/245569, ppl 52.408753
Batch 150000/245569, ppl 52.622575
Batch 152000/245569, ppl 53.022781
Batch 154000/245569, ppl 53.411274
Batch 156000/245569, ppl 53.827221
Batch 158000/245569, ppl 54.152498
Batch 160000/245569, ppl 54.510080
Batch 162000/245569, ppl 54.844949
Batch 164000/245569, ppl 54.909246
Batch 166000/245569, ppl 55.093192
Batch 168000/245569, ppl 55.382050
Batch 170000/245569, ppl 55.575735
Batch 172000/245569, ppl 55.688606
Batch 174000/245569, ppl 55.870848
Batch 176000/245569, ppl 55.988761
Batch 178000/245569, ppl 56.100917
Batch 180000/245569, ppl 56.104043
Batch 182000/245569, ppl 56.288744
Batch 184000/245569, ppl 56.289959
Batch 186000/245569, ppl 56.269469
Batch 188000/245569, ppl 56.236790
Batch 190000/245569, ppl 56.195448
Batch 192000/245569, ppl 55.994137
Batch 194000/245569, ppl 56.084162
Batch 196000/245569, ppl 56.251667
Batch 198000/245569, ppl 56.442222
Batch 200000/245569, ppl 56.274956
Batch 202000/245569, ppl 56.212639
Batch 204000/245569, ppl 56.259744
Batch 206000/245569, ppl 56.089658
Batch 208000/245569, ppl 55.853897
Batch 210000/245569, ppl 55.598294
Batch 212000/245569, ppl 55.451572
Batch 214000/245569, ppl 55.478135
Batch 216000/245569, ppl 55.445651
Batch 218000/245569, ppl 55.158093
Batch 220000/245569, ppl 55.074295
Batch 222000/245569, ppl 55.068654
Batch 224000/245569, ppl 55.191388
Batch 226000/245569, ppl 55.274113
Batch 228000/245569, ppl 55.441082
Batch 230000/245569, ppl 55.405980
Batch 232000/245569, ppl 55.206357
Batch 234000/245569, ppl 55.194812
Batch 236000/245569, ppl 55.312801
Batch 238000/245569, ppl 55.585520
Batch 240000/245569, ppl 55.620360
Batch 242000/245569, ppl 55.786251
Batch 244000/245569, ppl 55.984338
Best validation loss 4.06, val ppl 58.18
Best test loss 4.03, test ppl 56.08
Total time cost 2000.61s
