Namespace(bptt=2000, gpus='2', lambdas=0.1279, save='awd_lstm_lm_600', theta=0.662, user_model=False, window=2000)
Batch 2000/217646, ppl 71.063968
Batch 4000/217646, ppl 58.396460
Batch 6000/217646, ppl 51.967203
Batch 8000/217646, ppl 54.489018
Batch 10000/217646, ppl 58.286045
Batch 12000/217646, ppl 55.655941
Batch 14000/217646, ppl 59.379555
Batch 16000/217646, ppl 61.363902
Batch 18000/217646, ppl 61.850484
Batch 20000/217646, ppl 61.180230
Batch 22000/217646, ppl 63.362235
Batch 24000/217646, ppl 64.282520
Batch 26000/217646, ppl 61.423625
Batch 28000/217646, ppl 58.897131
Batch 30000/217646, ppl 58.785008
Batch 32000/217646, ppl 57.870059
Batch 34000/217646, ppl 58.549309
Batch 36000/217646, ppl 59.905154
Batch 38000/217646, ppl 60.468163
Batch 40000/217646, ppl 60.097280
Batch 42000/217646, ppl 59.007020
Batch 44000/217646, ppl 57.725449
Batch 46000/217646, ppl 57.582272
Batch 48000/217646, ppl 57.862457
Batch 50000/217646, ppl 58.124138
Batch 52000/217646, ppl 58.287199
Batch 54000/217646, ppl 57.001819
Batch 56000/217646, ppl 57.252455
Batch 58000/217646, ppl 57.373558
Batch 60000/217646, ppl 57.577149
Batch 62000/217646, ppl 57.457670
Batch 64000/217646, ppl 57.656327
Batch 66000/217646, ppl 57.809069
Batch 68000/217646, ppl 57.312204
Batch 70000/217646, ppl 58.013343
Batch 72000/217646, ppl 58.833309
Batch 74000/217646, ppl 59.264770
Batch 76000/217646, ppl 59.121721
Batch 78000/217646, ppl 59.363294
Batch 80000/217646, ppl 59.396146
Batch 82000/217646, ppl 59.485285
Batch 84000/217646, ppl 59.442563
Batch 86000/217646, ppl 58.681533
Batch 88000/217646, ppl 59.098071
Batch 90000/217646, ppl 59.982181
Batch 92000/217646, ppl 60.556920
Batch 94000/217646, ppl 61.199939
Batch 96000/217646, ppl 60.447617
Batch 98000/217646, ppl 60.237654
Batch 100000/217646, ppl 59.925817
Batch 102000/217646, ppl 60.306361
Batch 104000/217646, ppl 60.400634
Batch 106000/217646, ppl 60.621221
Batch 108000/217646, ppl 60.850964
Batch 110000/217646, ppl 60.670766
Batch 112000/217646, ppl 60.915325
Batch 114000/217646, ppl 61.168866
Batch 116000/217646, ppl 61.307303
Batch 118000/217646, ppl 61.620616
Batch 120000/217646, ppl 61.857518
Batch 122000/217646, ppl 62.310003
Batch 124000/217646, ppl 62.279923
Batch 126000/217646, ppl 61.967571
Batch 128000/217646, ppl 61.929781
Batch 130000/217646, ppl 62.331056
Batch 132000/217646, ppl 62.374802
Batch 134000/217646, ppl 62.592756
Batch 136000/217646, ppl 62.670187
Batch 138000/217646, ppl 62.709671
Batch 140000/217646, ppl 62.579676
Batch 142000/217646, ppl 62.412380
Batch 144000/217646, ppl 62.241315
Batch 146000/217646, ppl 62.122935
Batch 148000/217646, ppl 61.947308
Batch 150000/217646, ppl 62.032336
Batch 152000/217646, ppl 62.225895
Batch 154000/217646, ppl 62.107142
Batch 156000/217646, ppl 62.468724
Batch 158000/217646, ppl 62.527206
Batch 160000/217646, ppl 62.674189
Batch 162000/217646, ppl 62.621047
Batch 164000/217646, ppl 62.530519
