2020-01-14 09:34:06,659 - root - INFO - Namespace(accumulate=None, attention_dropout=0.1, batch_size=128, dataset='126gb', dev_batch_size=32, dropout=0.1, early_stop=None, epochs=3, epsilon=1e-06, gpu=8, log_interval=10, lr=3e-05, lr_decay='linear', max_len=128, model_name='xlnet_cased_l12_h768_a12', model_parameters=None, only_inference=False, optimizer='Adam', output_dir='./output_dir', pad=True, seed=5, task_name='QQP', training_steps=14000, warmup_ratio=0.07)
2020-01-14 09:34:35,776 - root - INFO - processing dataset...
2020-01-14 09:34:49,382 - py.warnings - WARNING - /home/ubuntu/.local/lib/python3.6/site-packages/gluonnlp/data/dataset.py:169: UserWarning: 21 incomplete samples in /home/ubuntu/.mxnet/datasets/glue_qqp/train.tsv
  warnings.warn('%d incomplete samples in %s'%(num_missing, filename))

2020-01-14 09:34:56,734 - py.warnings - WARNING - /home/ubuntu/.local/lib/python3.6/site-packages/gluonnlp/data/dataset.py:169: UserWarning: 1 incomplete samples in /home/ubuntu/.mxnet/datasets/glue_qqp/dev.tsv
  warnings.warn('%d incomplete samples in %s'%(num_missing, filename))

2020-01-14 09:35:07,893 - root - INFO - Now we are doing XLNet classification training on [gpu(0), gpu(1), gpu(2), gpu(3), gpu(4), gpu(5), gpu(6), gpu(7)]!
2020-01-14 09:35:07,900 - root - INFO - training steps=14000
2020-01-14 09:36:01,069 - root - INFO - Time cost for the first forward-backward =53.16s
2020-01-14 09:36:12,332 - root - INFO - [Epoch 1 Batch 10/2843] loss=0.6593, lr=0.0000003
2020-01-14 09:36:22,351 - root - INFO - [Epoch 1 Batch 20/2843] loss=0.6658, lr=0.0000006
2020-01-14 09:36:32,426 - root - INFO - [Epoch 1 Batch 30/2843] loss=0.6493, lr=0.0000009
2020-01-14 09:36:42,312 - root - INFO - [Epoch 1 Batch 40/2843] loss=0.6630, lr=0.0000012
2020-01-14 09:36:52,256 - root - INFO - [Epoch 1 Batch 50/2843] loss=0.6470, lr=0.0000015
2020-01-14 09:37:02,210 - root - INFO - [Epoch 1 Batch 60/2843] loss=0.6599, lr=0.0000018
2020-01-14 09:37:12,109 - root - INFO - [Epoch 1 Batch 70/2843] loss=0.6434, lr=0.0000021
2020-01-14 09:37:22,021 - root - INFO - [Epoch 1 Batch 80/2843] loss=0.6379, lr=0.0000024
2020-01-14 09:37:32,093 - root - INFO - [Epoch 1 Batch 90/2843] loss=0.6203, lr=0.0000027
2020-01-14 09:37:42,071 - root - INFO - [Epoch 1 Batch 100/2843] loss=0.6086, lr=0.0000030
2020-01-14 09:37:51,901 - root - INFO - [Epoch 1 Batch 110/2843] loss=0.5935, lr=0.0000033
2020-01-14 09:38:01,732 - root - INFO - [Epoch 1 Batch 120/2843] loss=0.5621, lr=0.0000036
2020-01-14 09:38:11,682 - root - INFO - [Epoch 1 Batch 130/2843] loss=0.5611, lr=0.0000039
2020-01-14 09:38:21,712 - root - INFO - [Epoch 1 Batch 140/2843] loss=0.5674, lr=0.0000043
2020-01-14 09:38:31,582 - root - INFO - [Epoch 1 Batch 150/2843] loss=0.5434, lr=0.0000046
2020-01-14 09:38:41,629 - root - INFO - [Epoch 1 Batch 160/2843] loss=0.5351, lr=0.0000049
2020-01-14 09:38:51,525 - root - INFO - [Epoch 1 Batch 170/2843] loss=0.5292, lr=0.0000052
2020-01-14 09:39:01,355 - root - INFO - [Epoch 1 Batch 180/2843] loss=0.5096, lr=0.0000055
2020-01-14 09:39:11,270 - root - INFO - [Epoch 1 Batch 190/2843] loss=0.5184, lr=0.0000058
2020-01-14 09:39:21,267 - root - INFO - [Epoch 1 Batch 200/2843] loss=0.5152, lr=0.0000061
2020-01-14 09:39:31,212 - root - INFO - [Epoch 1 Batch 210/2843] loss=0.4959, lr=0.0000064
2020-01-14 09:39:41,043 - root - INFO - [Epoch 1 Batch 220/2843] loss=0.4715, lr=0.0000067
2020-01-14 09:39:51,088 - root - INFO - [Epoch 1 Batch 230/2843] loss=0.4846, lr=0.0000070
2020-01-14 09:40:00,933 - root - INFO - [Epoch 1 Batch 240/2843] loss=0.4679, lr=0.0000073
2020-01-14 09:40:11,000 - root - INFO - [Epoch 1 Batch 250/2843] loss=0.4731, lr=0.0000076
2020-01-14 09:40:20,948 - root - INFO - [Epoch 1 Batch 260/2843] loss=0.4533, lr=0.0000079
2020-01-14 09:40:30,790 - root - INFO - [Epoch 1 Batch 270/2843] loss=0.4519, lr=0.0000082
2020-01-14 09:40:40,765 - root - INFO - [Epoch 1 Batch 280/2843] loss=0.4629, lr=0.0000085
2020-01-14 09:40:50,669 - root - INFO - [Epoch 1 Batch 290/2843] loss=0.4521, lr=0.0000088
2020-01-14 09:41:00,476 - root - INFO - [Epoch 1 Batch 300/2843] loss=0.4514, lr=0.0000092
2020-01-14 09:41:10,543 - root - INFO - [Epoch 1 Batch 310/2843] loss=0.4386, lr=0.0000095
2020-01-14 09:41:20,492 - root - INFO - [Epoch 1 Batch 320/2843] loss=0.4223, lr=0.0000098
2020-01-14 09:41:30,309 - root - INFO - [Epoch 1 Batch 330/2843] loss=0.4145, lr=0.0000101
2020-01-14 09:41:40,327 - root - INFO - [Epoch 1 Batch 340/2843] loss=0.4338, lr=0.0000104
