2019-12-19 07:04:04,195 - root - INFO - Namespace(accumulate=None, attention_dropout=0.1, batch_size=32, cpu=None, dataset='126gb', dev_batch_size=32, dropout=0.1, early_stop=None, epochs=3, epsilon=1e-06, gpu=8, log_interval=10, lr=3e-05, lr_decay='linear', max_len=128, model_name='xlnet_cased_l24_h1024_a16', model_parameters=None, only_inference=False, output_dir='./output_dir', pad=True, seed=7, task_name='SST', training_steps=10000, warmup_ratio=0.1)
2019-12-19 07:04:48,353 - root - INFO - processing dataset...
2019-12-19 07:05:16,447 - root - INFO - Now we are doing XLNet classification training on [gpu(0), gpu(1), gpu(2), gpu(3), gpu(4), gpu(5), gpu(6), gpu(7)]!
2019-12-19 07:05:16,461 - root - INFO - training steps=10000.000000s
2019-12-19 07:05:40,458 - root - INFO - Time cost for the first forward-backward =23.98s
2019-12-19 07:06:00,663 - root - INFO - [Epoch 1 Batch 10/2110] loss=0.7635, lr=0.0000003
2019-12-19 07:06:18,054 - root - INFO - [Epoch 1 Batch 20/2110] loss=0.7521, lr=0.0000006
2019-12-19 07:06:35,628 - root - INFO - [Epoch 1 Batch 30/2110] loss=0.7515, lr=0.0000009
2019-12-19 07:06:53,008 - root - INFO - [Epoch 1 Batch 40/2110] loss=0.7531, lr=0.0000012
2019-12-19 07:07:10,570 - root - INFO - [Epoch 1 Batch 50/2110] loss=0.7163, lr=0.0000015
2019-12-19 07:07:28,290 - root - INFO - [Epoch 1 Batch 60/2110] loss=0.7006, lr=0.0000018
2019-12-19 07:07:45,767 - root - INFO - [Epoch 1 Batch 70/2110] loss=0.6947, lr=0.0000021
2019-12-19 07:08:03,069 - root - INFO - [Epoch 1 Batch 80/2110] loss=0.6797, lr=0.0000024
2019-12-19 07:08:20,606 - root - INFO - [Epoch 1 Batch 90/2110] loss=0.6864, lr=0.0000027
2019-12-19 07:08:38,295 - root - INFO - [Epoch 1 Batch 100/2110] loss=0.6899, lr=0.0000030
2019-12-19 07:08:55,888 - root - INFO - [Epoch 1 Batch 110/2110] loss=0.7031, lr=0.0000033
2019-12-19 07:09:13,394 - root - INFO - [Epoch 1 Batch 120/2110] loss=0.7032, lr=0.0000036
2019-12-19 07:09:30,084 - root - INFO - [Epoch 1 Batch 130/2110] loss=0.6326, lr=0.0000039
2019-12-19 07:09:47,306 - root - INFO - [Epoch 1 Batch 140/2110] loss=0.7030, lr=0.0000042
2019-12-19 07:10:04,639 - root - INFO - [Epoch 1 Batch 150/2110] loss=0.6838, lr=0.0000045
2019-12-19 07:10:22,041 - root - INFO - [Epoch 1 Batch 160/2110] loss=0.6923, lr=0.0000048
2019-12-19 07:10:39,528 - root - INFO - [Epoch 1 Batch 170/2110] loss=0.7025, lr=0.0000051
2019-12-19 07:10:56,958 - root - INFO - [Epoch 1 Batch 180/2110] loss=0.7071, lr=0.0000054
2019-12-19 07:11:14,271 - root - INFO - [Epoch 1 Batch 190/2110] loss=0.6854, lr=0.0000057
2019-12-19 07:11:31,628 - root - INFO - [Epoch 1 Batch 200/2110] loss=0.6862, lr=0.0000060
2019-12-19 07:11:49,084 - root - INFO - [Epoch 1 Batch 210/2110] loss=0.6816, lr=0.0000063
2019-12-19 07:12:06,655 - root - INFO - [Epoch 1 Batch 220/2110] loss=0.6845, lr=0.0000066
2019-12-19 07:12:24,068 - root - INFO - [Epoch 1 Batch 230/2110] loss=0.6871, lr=0.0000069
2019-12-19 07:12:41,571 - root - INFO - [Epoch 1 Batch 240/2110] loss=0.6674, lr=0.0000072
2019-12-19 07:12:58,909 - root - INFO - [Epoch 1 Batch 250/2110] loss=0.6819, lr=0.0000075
2019-12-19 07:13:16,874 - root - INFO - [Epoch 1 Batch 260/2110] loss=0.6760, lr=0.0000078
2019-12-19 07:13:34,450 - root - INFO - [Epoch 1 Batch 270/2110] loss=0.6847, lr=0.0000081
2019-12-19 07:13:51,950 - root - INFO - [Epoch 1 Batch 280/2110] loss=0.6811, lr=0.0000084
2019-12-19 07:14:09,167 - root - INFO - [Epoch 1 Batch 290/2110] loss=0.6928, lr=0.0000087
2019-12-19 07:14:26,484 - root - INFO - [Epoch 1 Batch 300/2110] loss=0.6889, lr=0.0000090
2019-12-19 07:14:43,635 - root - INFO - [Epoch 1 Batch 310/2110] loss=0.6651, lr=0.0000093
2019-12-19 07:15:00,883 - root - INFO - [Epoch 1 Batch 320/2110] loss=0.6700, lr=0.0000096
2019-12-19 07:15:18,474 - root - INFO - [Epoch 1 Batch 330/2110] loss=0.6658, lr=0.0000099
2019-12-19 07:15:36,401 - root - INFO - [Epoch 1 Batch 340/2110] loss=0.6526, lr=0.0000102
